标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
原装电梯两房 户型方正实用 生活气息浓厚,华侨城(番禺) ,市桥,VR看装修 房本满五年 随时看房,3,1个月以前发布,2室2厅,78.9平米,西南,简装,高楼层(共11层),1996年,塔楼,1350000.0,17111
此房满五不唯一，南北对流，有停车位，出入方便,岐山中路 ,石碁,VR看装修 房本满五年,0,1个月以前发布,3室1厅,62.42平米,南,简装,中楼层(共6层),,暂无数据,890000.0,14259
康裕园 南向 三房 中楼层 框架结构可以公积金,康裕园 ,市桥,VR看装修 房本满五年,2,8个月以前发布,3室1厅,93.5平米,南,简装,中楼层(共7层),1993年,板楼,1590000.0,17006
鸿城花园 近地铁交通便利 两房改小三房,鸿城花园 ,市桥,近地铁 VR看装修 房本满两年 随时看房,1,1个月以前发布,3室1厅,78.4平米,西北北,精装,低楼层(共28层),2000年,塔楼,1590000.0,20281
番禺广场东方花园，园区两房，安静不靠路,东方花园3区 ,番禺广场,近地铁 VR房源 房本满五年,1,一年前发布,2室1厅,65.5平米,南,简装,中楼层(共8层),1995年,塔楼,1180000.0,18016
银都大厦  温馨小三房 可用公积金 地铁100米,银都大厦 ,市桥,近地铁 VR房源 房本满五年 随时看房,11,9个月以前发布,3室2厅,86.1平米,东南,精装,低楼层(共28层),1998年,塔楼,1530000.0,17771
丽江花园丽字楼南向电梯高层视野开阔采光充足,丽江花园丽茹楼 ,南浦,近地铁 VR看装修 房本满五年,0,1个月以前发布,3室2厅,87.64平米,东南,其他,高楼层(共9层),1993年,塔楼,1790000.0,20425
交通方便、小区安静、物业服务好，通风采光好,东方花园又一村 ,番禺广场,近地铁 VR房源 房本满五年 随时看房,0,一年前发布,3室2厅,142.6平米,南,精装,低楼层(共15层),2002年,塔楼,2680000.0,18794
顺德碧桂园芷兰湾 4室2厅 东 东北,顺德碧桂园芷兰湾 ,顺德碧桂园,VR看装修 房本满五年,0,19,4室2厅,102.5平米,东东北,精装,低楼层(共11层),2009年,塔楼,1180000.0,11513
西区电梯高层，采光好，望花园，视野开阔，安静舒适,锦绣半岛西区 ,南浦,VR房源 房本满五年,1,16,2室1厅,86.61平米,南,精装,中楼层(共18层),2009年,塔楼,1780000.0,20552
祈福青怡居 南向大两房 低层 通风采光好 证过五年,祈福新村青怡居 ,祈福新村,VR房源 房本满两年 随时看房,2,2个月以前发布,2室2厅,68.9平米,南,简装,中楼层(共5层),2001年,板楼,1380000.0,20030
此房满五不唯一 格局好 视野开阔 采光充足,珠江花园 ,厦滘,近地铁 VR看装修 房本满五年,1,3个月以前发布,2室1厅,90.14平米,东北,其他,中楼层(共28层),2010年,塔楼,2270000.0,25184
面山望海，出门仲元，南向方正，小区清雅，诚心卖,凯德山海连城二期 ,莲花山,VR房源,31,2个月以前发布,3室2厅,109.33平米,东南南,精装,32层,,板塔结合,2210000.0,20215
对流户型，通风采光好，景观靓。,祈福新村天湖居 ,祈福新村,VR看装修 房本满五年,1,一年前发布,3室2厅,97.85平米,西北,其他,高楼层(共17层),2003年,板楼,1880000.0,19214
雄峰城 复式 上下两层 中高楼层,雄峰城 ,钟村,房本满五年 随时看房,0,一年前发布,2室1厅,60.78平米,东南,简装,中楼层(共27层),2007年,塔楼,670000.0,11024
近番禺广场小区管理，实用精装三房，东城配套,德安新村 ,市桥,近地铁 VR看装修 房本满五年 随时看房,18,一年前发布,3室2厅,72.3平米,南,精装,中楼层(共7层),1993年,塔楼,1100000.0,15215
满五唯一  次新装修  拎包入住 诚心出卖,华进明苑 ,洛溪,近地铁 VR看装修 房本满五年,4,一年前发布,3室1厅,95.97平米,西南,精装,高楼层(共6层),2001年,塔楼,1900000.0,19798
东南向精装修三房，阳台看小区园林跟游泳池  居住舒,亚运城天峯1区 ,亚运城,VR看装修 房本满两年,0,31,3室2厅,103.81平米,东南南,精装,高楼层(共50层),,塔楼,2290000.0,22060
南北对流阳台南向望公园奥园广场配套齐,奥园广场 ,桥南,房本满五年 随时看房,0,5个月以前发布,2室1厅,110.39平米,南北,精装,低楼层(共26层),2010年,塔楼,830000.0,7519
时代柏林 东南向四房 南北对流 精装修拎包即住,时代柏林 ,桥南,VR看装修 房本满五年,1,4个月以前发布,4室2厅,143.09平米,东南,精装,中楼层(共32层),,塔楼,5880000.0,41094
中间楼层 看花园  可四房  随时可看房,海伦堡流金岁月 ,桥南,VR看装修 房本满五年 随时看房,0,4个月以前发布,3室2厅,114.5平米,西南,精装,中楼层(共28层),2009年,塔楼,3480000.0,30394
中间楼层，南北对流，业主诚意出，满五不唯一,富丽家园乳芳园 ,大石,VR房源 房本满两年,7,一年前发布,1室1厅,59.2平米,南北,简装,中楼层(共8层),1995年,塔楼,850000.0,14359
高层视野开阔   生活配套齐全 过五年唯一 税费少,自在城市花园四期诺德名筑 ,汉溪长隆,VR看装修 房本满五年,3,2个月以前发布,2室1厅,71.85平米,北,其他,11层,,板塔结合,1820000.0,25331
地铁口醉笋次新小两房，楼层好格局正,新城市宜家 ,大石,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,2室1厅,68.73平米,南,精装,高楼层(共9层),,塔楼,2060000.0,29973
精装三房、户型方正、保养新净、拎包入住,锦绣花园南区 ,钟村,VR看装修 房本满五年,6,2个月以前发布,3室2厅,80.2平米,南北,精装,中楼层(共7层),1997年,塔楼,1480000.0,18454
楼一层方便长辈出入，空气舒服值得购买,东方白云花园 ,市桥北,VR房源 房本满五年 随时看房,3,7个月以前发布,3室1厅,97.64平米,北,简装,低楼层(共6层),2005年,板楼,1750000.0,17923
时代柏林 东南向四房 南北对流 精装修拎包即住,时代柏林 ,桥南,VR看装修 房本满五年,1,4个月以前发布,4室2厅,143.09平米,东南,精装,中楼层(共32层),塔楼,,5880000.0,41094
中间楼层，南北对流，业主诚意出，满五不唯一,富丽家园乳芳园 ,大石,VR房源 房本满两年,7,一年前发布,1室1厅,59.2平米,南北,简装,中楼层(共8层),塔楼,1995年,850000.0,14359
楼龄新，电梯房4房，南北对流，满五年,星誉花园 ,市桥北,VR看装修 房本满五年,0,14,4室2厅,137.83平米,南北,简装,低楼层(共21层),塔楼,2016年,3500000.0,25394
楼一层方便长辈出入，空气舒服值得购买,东方白云花园 ,市桥北,VR房源 房本满五年 随时看房,3,7个月以前发布,3室1厅,97.64平米,北,简装,低楼层(共6层),板楼,2005年,1750000.0,17923
精装三房、户型方正、保养新净、拎包入住,锦绣花园南区 ,钟村,VR看装修 房本满五年,6,2个月以前发布,3室2厅,80.2平米,南北,精装,中楼层(共7层),塔楼,1997年,1480000.0,18454
高层视野开阔   生活配套齐全 过五年唯一 税费少,自在城市花园四期诺德名筑 ,汉溪长隆,VR看装修 房本满五年,3,2个月以前发布,2室1厅,71.85平米,北,其他,11层,板塔结合,,1820000.0,25331
地铁口醉笋次新小两房，楼层好格局正,新城市宜家 ,大石,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,2室1厅,68.73平米,南,精装,高楼层(共9层),塔楼,,2060000.0,29973
铂世湾 新装修3房 即买即住 中高楼层景观好 证过两年,珠江铂世湾 ,华南新城,近地铁 VR看装修 房本满两年 随时看房,0,24,3室2厅,96.22平米,北,精装,中楼层(共32层),塔楼,2021年,3750000.0,38974
金山谷尚层大花园 南北对流 户型实用 装修保养好,金山谷尚层 ,金山谷,VR看装修 房本满五年 随时看房,0,25,3室2厅,130.02平米,南北,精装,中楼层(共32层),塔楼,2015年,4290000.0,32995
亚运城天珑 3室2厅 南,亚运城天珑 ,亚运城,VR看装修 随时看房,1,5个月以前发布,3室2厅,116.15平米,南,精装,中楼层(共53层),暂无数据,,2800000.0,24107
此房满五唯一，电梯温馨2房 采光足通风好 近地铁,丽江花园德荫楼 ,南浦,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,67.1平米,北,精装,低楼层(共16层),塔楼,1997年,1450000.0,21610
全新精装修高层两房，采光视野好，满五年不唯一无按揭,丽江花园德荫楼 ,南浦,近地铁 VR房源 房本满五年,14,一年前发布,2室1厅,66.9平米,东北,精装,高楼层(共16层),塔楼,1997年,1450000.0,21675
人车分流居家好房东南朝向可三房,广州雅居乐花园新地沁园 ,雅居乐,VR看装修 房本满两年,10,一年前发布,2室2厅,78.66平米,东北,其他,11层,塔楼,2010年,2300000.0,29240
华林居电梯三房  西南向  户型方正,丽江花园华林居 ,南浦,VR看装修 房本满五年 随时看房,2,4个月以前发布,3室2厅,99.8平米,西南,简装,中楼层(共9层),塔楼,1998年,2460000.0,24650
金龙城二期高层两房，业主急卖，就怕你不来,金龙城财富广场 ,亚运大道中,,6,30,2室2厅,68.63平米,南,简装,低楼层(共33层),塔楼,,670000.0,9763
媒体南区  小区中间位置  南向单边位,亚运城媒体村(南区) ,亚运城,近地铁 VR看装修 房本满五年 随时看房,2,8个月以前发布,2室2厅,77.44平米,南,精装,中楼层(共18层),暂无数据,2010年,1770000.0,22857
总家低 保养新 二次精装 视野无遮挡 无抵押交易快,亚运城媒体北村 ,亚运城,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,2室2厅,72平米,北,精装,高楼层(共18层),塔楼,2010年,1380000.0,19167
华林居 舒适大两房 环境好 小区安静 出入方便,丽江花园华林居 ,南浦,VR房源,3,2个月以前发布,2室1厅,73.6平米,西北,精装,高楼层(共6层),塔楼,1996年,1450000.0,19702
时代倾城（番禺）两房两厅一卫 过五唯一,时代倾城(番禺区) ,南村,VR看装修 房本满五年 随时看房,2,一年前发布,2室2厅,75.21平米,北,精装,中楼层(共33层),塔楼,2014年,1600000.0,21274
满五唯一 东南向 电梯两房 精装修拎包入住 近地铁,丽江花园丽波楼 ,南浦,VR看装修 房本满五年 随时看房,9,6个月以前发布,2室2厅,65.96平米,东南,精装,高楼层(共9层),塔楼,1993年,1290000.0,19558
一梯两户南北对流楼层好仲元 近地铁,海天花园 ,洛溪,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,3室1厅,81.1平米,南,精装,高楼层(共4层),板楼,1998年,1750000.0,21579
华南新城南区 中高楼层三房 业主诚意卖景观好,华南新城南区 ,华南新城,VR房源 房本满五年,8,4个月以前发布,3室2厅,134.77平米,南北,精装,中楼层(共12层),板塔结合,2011年,2880000.0,21370
电梯一房采光充足，配套设施齐全，交通便利，绿化好。,盛会国际公寓 ,市桥北,房本满五年 随时看房,25,8个月以前发布,1室1厅,31.66平米,北,简装,中楼层(共7层),塔楼,2011年,200000.0,6318
10年次电梯次新房，满五唯一税费少。,温馨里 ,市桥北,VR看装修 房本满五年 随时看房,15,7个月以前发布,2室1厅,70.41平米,南,精装,中楼层(共11层),塔楼,2013年,1640000.0,23293
此新小区/环境好/小高层/南北对流4房/视野开阔,亚运城天峯1区 ,亚运城,VR看装修 房本满两年 随时看房,1,一年前发布,4室2厅,134.33平米,南北,精装,中楼层(共25层),塔楼,,3690000.0,27470
浅山小筑 南向 3房带主套 安静舒适 双阳台,雅居乐花园浅山小筑 ,雅居乐,VR看装修 房本满五年 随时看房,11,9个月以前发布,3室2厅,103.1平米,南,精装,中楼层(共17层),塔楼,2010年,2880000.0,27935
业主急卖，满五唯一省税，精装修保养好,滨江绿园 ,大石,VR房源 房本满五年,36,一年前发布,3室1厅,105.64平米,南,精装,高楼层(共6层),板塔结合,2004年,1900000.0,17986
凯德山海连城 户型方正 通风采光好 看房方便 中楼层,凯德山海连城 ,莲花山,VR看装修 房本满两年 随时看房,0,17,4室2厅,138.65平米,北,其他,33层,塔楼,,2300000.0,16589
亚运城天骄 3室2厅 南,亚运城天骄 ,亚运城,VR看装修 随时看房,1,2个月以前发布,3室2厅,104.08平米,南,精装,高楼层(共57层),塔楼,,2300000.0,22099
祈福新村C区 一楼带前后阳台 有钥匙随时看房,祈福新村C区 ,祈福新村,近地铁 VR房源 房本满五年 随时看房,7,6个月以前发布,3室1厅,72.9平米,北,精装,低楼层(共4层),板楼,1995年,1380000.0,18931
好楼层 过5不唯一 小区中间位置 采光好 户型方正,康裕园 ,市桥,VR看装修 房本满五年 随时看房,1,11个月以前发布,3室2厅,99.35平米,南,简装,中楼层(共7层),1993年,塔楼,1680000.0,16910
尚上名筑三期满五年唯一物业，精致装修通风采光好,尚上名筑三期 ,亚运城,VR看装修 房本满五年,0,28,3室2厅,93.29平米,北,精装,高楼层(共31层),2017年,塔楼,1600000.0,17151
媒体村南向安静方正两房近地铁采光好,亚运城媒体村(南区) ,亚运城,近地铁 VR看装修 房本满五年 随时看房,2,19,2室1厅,77.49平米,东南南,简装,低楼层(共15层),2010年,塔楼,1580000.0,20390
丽水湾 小区环境好 人车分流 满五年 有心卖,富丽家园丽水湾 ,大石,VR房源 房本满五年 随时看房,0,2个月以前发布,3室2厅,82.99平米,南西,精装,中楼层(共11层),1995年,板塔结合,2200000.0,26510
广州碧桂园 精装两房 望小区园景 拎包入住,广州碧桂园美苑 ,南浦,近地铁 VR房源 房本满五年,0,12,2室1厅,68.1平米,东北,精装,中楼层(共7层),1998年,塔楼,1680000.0,24670
尚上次新三期 中低楼层自住保养好 换房急卖,尚上名筑三期 ,亚运城,VR看装修 房本满五年 随时看房,12,3个月以前发布,3室1厅,93.65平米,南北,精装,低楼层(共31层),2017年,塔楼,1490000.0,15911
祈福名都 电梯两房 中层 采光通风好 楼龄新,祈福新村祈福名都 ,祈福新村,VR看装修 房本满两年 随时看房,1,18,2室2厅,81.34平米,北,精装,中楼层(共26层),2014年,板塔结合,1850000.0,22745
电梯高层 精装修 采光通风好 全景望江,丽江花园星海洲 ,南浦,VR看装修 房本满五年 随时看房,29,一年前发布,2室1厅,65.3平米,东南,精装,中楼层(共25层),1999年,塔楼,1500000.0,22971
店长主推南国奥园三房带杂物房二次装修拎包入住随时看,南国奥园 ,汉溪长隆,近地铁 VR房源 房本满五年 随时看房,8,2个月以前发布,3室2厅,133.14平米,东,精装,中楼层(共13层),2005年,塔楼,3150000.0,23660
2号线洛溪 吉祥北街 南向，业主急急急,吉祥北街 ,洛溪,近地铁 VR看装修 房本满五年,18,5个月以前发布,2室1厅,67.2平米,南,简装,中楼层(共7层),,板楼,1030000.0,15328
精选毛坯好房，装出自己的风格.,保利公馆2010亚奥南苑 ,亚运城,VR看装修 房本满五年 随时看房,12,一年前发布,3室2厅,107.57平米,南北,毛坯,高楼层(共6层),2010年,板楼,1480000.0,13759
楼层好视野开阔，南北对流！保养好！,亚运城媒体北村 ,亚运城,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,2室2厅,78.92平米,南,精装,低楼层(共18层),2010年,塔楼,1690000.0,21415
安静不靠路，中层四房，保养好，满五唯一税低,富庭华园 ,大石,近地铁 VR看装修 房本满五年,0,3个月以前发布,4室1厅,119.6平米,东北,精装,中楼层(共7层),2002年,塔楼,2450000.0,20485
此房装修保养好，采光足，位置安静，小区楼龄新,亚运城天成 ,亚运城,VR看装修 房本满两年 随时看房,0,1个月以前发布,3室2厅,90.21平米,西北,精装,中楼层(共44层),2019年,塔楼,2000000.0,22171
地铁口仲元南向三房，业主诚心卖，装修保养好,吉祥北园D区 ,洛溪,近地铁 VR看装修 房本满五年,2,5个月以前发布,3室2厅,94.9平米,南,精装,高楼层(共7层),1993年,板塔结合,1680000.0,17703
满五唯一，实用南向小3房， 近地铁,祈福新村D区 ,祈福新村,VR看装修 房本满五年 随时看房,2,21,3室1厅,68.9平米,南,简装,中楼层(共4层),1995年,板楼,1050000.0,15240
康泰苑，低层2房，装修保养好，格局方正，采光通风好,康泰苑 ,市桥,VR看装修 房本满五年 随时看房,0,7个月以前发布,2室2厅,70平米,南,简装,低楼层(共7层),1990年,板楼,1050000.0,15000
房子11月份满两年，南向望园林安静舒适,珠江铂世湾 ,华南新城,VR看装修 房本满两年 随时看房,11,4个月以前发布,5室2厅,131.79平米,南,精装,低楼层(共32层),,塔楼,4600000.0,34905
满五唯一500米地铁小区管理 电梯 东南向望花园,鸿城花园 ,市桥,近地铁 VR房源 房本满五年,0,3个月以前发布,2室2厅,79.7平米,东南,精装,中楼层(共28层),2000年,塔楼,1495000.0,18758
电梯中高层，楼间距宽，配套成熟，人车分流。,金海岸花园聚湖 ,番禺客运站,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,98.91平米,南,精装,中楼层(共16层),2014年,塔楼,3280000.0,33162
中XIN小 满5年 南北对流  户型方正,禺秀园 ,市桥,近地铁 VR看装修 房本满五年 随时看房,6,4个月以前发布,3室2厅,102.6平米,南,其他,中楼层(共7层),,塔楼,1230000.0,11989
满五年唯一，无户口，无按揭，中间楼层，保养好,汇庭雅苑 ,桥南,VR看装修 房本满五年 随时看房,0,一年前发布,2室2厅,84.58平米,东,精装,中楼层(共5层),2003年,塔楼,1480000.0,17499
店长推近南向中高楼层通风采光好业主诚心卖,凯德山海连城二期 ,莲花山,VR看装修 房本满两年 随时看房,0,5个月以前发布,3室2厅,108.46平米,南,精装,32层,,板塔结合,2190000.0,20192
丽江花园德字厅出阳台，业主有心卖看房方便,丽江花园德汇楼 ,南浦,近地铁 VR房源 房本满五年,3,1个月以前发布,2室1厅,71.8平米,西南,简装,中楼层(共20层),1997年,塔楼,1450000.0,20195
南向 复试 全新装修 视野开阔,自在城市花园一二期 ,汉溪长隆,VR房源 房本满五年,6,5个月以前发布,4室2厅,215.94平米,南,其他,11层,2004年,塔楼,4800000.0,22229
珊瑚天峰 望江视野开阔 装修保养好,珊瑚湾畔 ,厦滘,VR看装修 随时看房,0,5个月以前发布,4室2厅,174.56平米,南,精装,中楼层(共33层),2005年,塔楼,5680000.0,32539
满五年不唯一，有心卖，望小区花园 业主自住 看房方便,锦绣半岛西区 ,南浦,VR看装修 房本满五年,1,一年前发布,3室2厅,109平米,东南南,其他,中楼层(共19层),2009年,塔楼,3100000.0,28441
祈福名都南向高层明星四房套房位置靓,祈福新村祈福名都 ,祈福新村,VR房源 房本满五年 随时看房,2,3个月以前发布,4室1厅,126.5平米,南,精装,中楼层(共33层),2014年,塔楼,4300000.0,33993
尚上名筑 精装2房 正南向 户型方正 可拎包入住 满五,尚上名筑二期 ,亚运城,VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,84.25平米,东南,精装,高楼层(共31层),2016年,塔楼,1400000.0,16618
70年产权 复式望花园 景观开阔无遮挡 保养好 拎包入住,星河湾赏心园 ,星河湾,VR房源 房本满两年,10,11个月以前发布,1室1厅,79.28平米,北,精装,高楼层(共17层),2002年,塔楼,1750000.0,22074
位置优越，地铁出口 保养新净，采光好。,祈福缤纷汇 ,祈福新村,近地铁 VR房源 房本满两年,5,一年前发布,1室1厅,42.82平米,南北,精装,33层,2017年,板塔结合,1050000.0,24522
近地铁口 地段优越 望园区游泳池安静景观好,锦绣香江花园紫荆园 ,汉溪长隆,近地铁 VR看装修 房本满五年 随时看房,8,8个月以前发布,3室2厅,108.93平米,东北,其他,9层,2004年,塔楼,3450000.0,31672
2016年小区南向三房 地铁口600米 装修新颖,悦尚公馆 ,大石,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,3室1厅,89.35平米,南,简装,中楼层(共12层),2015年,塔楼,1990000.0,22272
南向电梯三房 双阳台 采光好 精装修   拎包入住,华荟明苑 ,洛溪,近地铁 VR房源 房本满五年,0,16,3室2厅,108平米,南,精装,低楼层(共12层),2002年,塔楼,3200000.0,29630
星海公园旁电梯房，易上车，交通便利，采光视野好,星海国际 ,市桥,房本满五年 随时看房,17,一年前发布,1室1厅,49.24平米,东南,精装,中楼层(共9层),,塔楼,330000.0,6702
小区中间位置三房 南向 电梯高层,祈福水城 ,沙湾,VR看装修 房本满五年,0,13,3室1厅,88.54平米,南,精装,高楼层(共11层),2008年,塔楼,1800000.0,20330
尚上名筑 精装2房 正南向 户型方正 可拎包入住 满五,尚上名筑二期 ,亚运城,VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,84.25平米,东南,精装,高楼层(共31层),2016年,塔楼,1400000.0,16618
房子高楼层视野开阔看小区园林，拎包入住,华南新城北区 ,华南新城,VR房源 房本满两年 随时看房,31,一年前发布,3室2厅,105.37平米,南,精装,低楼层(共12层),2011年,板塔结合,2330000.0,22113
星河湾对流两房两卫，中楼层，装修保养好，业主诚心~,广州星河湾朗心园 ,星河湾,VR房源 房本满两年,5,4个月以前发布,2室2厅,95.8平米,南北,精装,中楼层(共9层),2001年,塔楼,2990000.0,31211
