标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
流溪河畔，小区环境优美，生态宜居。,雅居乐小院流溪 ,赤草,VR看装修 房本满五年,0,一年前发布,3室2厅,140.71平米,南,其他,中楼层(共17层),2013年,塔楼,1200000.0,8529
楼层漂亮，视野好，小区环境靓。,珠江国际城 ,神岗镇,VR看装修 房本满两年,1,3个月以前发布,3室2厅,100.32平米,东北,精装,中楼层(共28层),2017年,板塔结合,850000.0,8473
紫泉翠荔嘉园  亲民小区  舒适小区,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年,4,一年前发布,2室2厅,76.11平米,东南,精装,中楼层(共6层),2006年,板楼,560000.0,7358
户型方正 高层复式3房2卫  南北对流 采光好,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室1厅,106.89平米,东南北,毛坯,高楼层(共6层),2007年,塔楼,620000.0,5801
大城云山  地铁站800米 满五唯一 有钥匙,大城云山 ,太平镇,近地铁 VR看装修 房本满五年 随时看房,2,7个月以前发布,3室2厅,106.18平米,东南,毛坯,高楼层(共9层),2013年,塔楼,660000.0,6216
视野开阔 使用率高 负离子空气 养老度假,珠光山水御苑 ,江浦街,VR看装修,1,6个月以前发布,4室2厅,102.51平米,东北,其他,中楼层(共30层),2016年,塔楼,750000.0,7317
地铁口  雅居乐物业  带连廊,雅居乐小院流溪 ,赤草,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,116.53平米,西北,毛坯,中楼层(共18层),2015年,塔楼,950000.0,8153
14号线 神岗站 次新房两房 视野好无遮挡,人盛巴厘天地 ,神岗镇,VR看装修 房本满两年,2,1个月以前发布,2室2厅,74.75平米,西北,精装,高楼层(共18层),2018年,塔楼,530000.0,7091
双拼别墅，带装修，保养好，拎包即住,珠江国际城 ,神岗镇,VR房源 房本满五年 随时看房,6,一年前发布,6室4厅,354.52平米,南,简装,2层,,板塔结合,4300000.0,12130
紫泉翠荔嘉园电梯高层3房 看荔枝林,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,10,一年前发布,3室2厅,107.03平米,南,毛坯,高楼层(共18层),2010年,塔楼,880000.0,8222
小高层 看流溪河 南北对流采光好,珠光流溪御景 ,赤草,VR房源 房本满五年 随时看房,5,9个月以前发布,3室2厅,95.94平米,东南西北,毛坯,6层,2010年,暂无数据,598000.0,6234
地理位置及为优越，有风云岭湿地公园、,托斯卡纳(从化区) ,新城片区,VR房源 房本满五年 随时看房,8,一年前发布,3室2厅,135.61平米,南,毛坯,中楼层(共6层),,板楼,1200000.0,8849
业主诚心出，地铁口，高速口，河堤，华润。,上城湾畔B区 ,江浦街,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,95.72平米,北,其他,中楼层(共17层),2009年,塔楼,1400000.0,14626
上雅君庭 近地铁口 生活交通出行便利,上雅君庭 ,太平镇,近地铁 VR看装修 房本满两年 随时看房,0,6个月以前发布,1室1厅,56.35平米,南,毛坯,中楼层(共21层),,塔楼,430000.0,7631
神岗站巴厘天地毛坯三房 看小区花园 诚心出可议,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,104.65平米,南,毛坯,高楼层(共10层),2013年,塔楼,550000.0,5256
七星路   两房变三房无暗房   南向,七星路 ,江浦街,VR看装修 房本满五年 随时看房,0,5个月以前发布,2室2厅,75.43平米,南北,其他,低楼层(共2层),,暂无数据,450000.0,5966
中高楼层，采光充足，带装修，满五,从化怡景楼 ,太平镇,VR看装修 房本满五年 随时看房,3,一年前发布,2室2厅,72.54平米,东,毛坯,高楼层(共8层),,塔楼,400000.0,5515
紫泉翠荔嘉圆 拎包入住精装大两房 好楼层,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年,1,2个月以前发布,2室2厅,67.04平米,西北,简装,低楼层(共6层),,塔楼,520000.0,7757
巴厘天地楼层好 通风采光，格局方正 生活配套成熟,人盛巴厘天地 ,神岗镇,VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,100.87平米,西北,精装,中楼层(共18层),2018年,塔楼,700000.0,6940
从化温泉富力泉天下 带简单装修小独栋 天台望山景河景,富力泉天下 ,温泉镇,VR房源 房本满五年 随时看房,2,6个月以前发布,5室2厅,226.63平米,东南,简装,3层,塔楼,独栋别墅,1500000.0,6619
人盛巴厘天地 2室2厅 南 西,人盛巴厘天地 ,神岗镇,VR房源 房本满五年 随时看房,0,1个月以前发布,2室2厅,83.97平米,南西,其他,低楼层(共17层),2014年,塔楼,570000.0,6789
格局方正视野开阔 景观好，优越生活乐章,方圆明月山溪 ,温泉镇,VR房源 房本满五年 随时看房,6,一年前发布,1室1厅,57.98平米,南北,简装,低楼层(共18层),2014年,塔楼,320000.0,5520
上雅君庭 太平地铁站  刚需小户型,上雅君庭 ,太平镇,近地铁 VR看装修 房本满两年 随时看房,8,6个月以前发布,1室1厅,56.35平米,南北,毛坯,低楼层(共21层),,塔楼,410000.0,7276
珠江国际城大三房，全新未入住，双阳台，近地神岗地铁,珠江国际城 ,神岗镇,近地铁 VR看装修 房本满两年 随时看房,0,2个月以前发布,3室2厅,118.36平米,南,精装,低楼层(共27层),2018年,板塔结合,1030000.0,8703
时代印象 太平地铁站 精装修 拎包入住,时代印象 ,太平镇,近地铁 VR看装修,3,2个月以前发布,3室2厅,99.91平米,东南,精装,中楼层(共32层),,塔楼,1260000.0,12612
南北对流，采光充足，交通便利，闹中取静,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,20,3室2厅,105.41平米,南北,精装,低楼层(共6层),2006年,板楼,860000.0,8159
时代幸汇   东南向   楼层靓,时代幸汇 ,江浦街,VR看装修 房本满两年,0,3个月以前发布,3室2厅,99.43平米,东南,精装,中楼层(共24层),,板楼,928000.0,9334
此房证满五年，户型格局方正实用，南北对流，采光好。,荔枝花园 ,新城片区,VR房源 房本满五年,0,18,4室2厅,153平米,东南,其他,3层,1997年,板塔结合,1840000.0,12027
南向，地铁口房，雅居乐滨江花园！,雅居乐滨江花园 ,江浦街,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,123.21平米,南,精装,中楼层(共11层),2012年,塔楼,1650000.0,13392
精装3房，保养好，环境优美，交通便利。,珠江国际城 ,神岗镇,VR看装修 随时看房,0,1个月以前发布,3室2厅,89.5平米,东北,精装,中楼层(共28层),,暂无数据,760000.0,8492
流溪河畔，小区环境优美，生态宜居。,雅居乐小院流溪 ,赤草,VR看装修 房本满五年,0,一年前发布,3室2厅,140.71平米,南,其他,中楼层(共17层),2013年,塔楼,1200000.0,8529
楼层漂亮，视野好，小区环境靓。,珠江国际城 ,神岗镇,VR看装修 房本满两年,1,3个月以前发布,3室2厅,100.32平米,东北,精装,中楼层(共28层),2017年,板塔结合,850000.0,8473
紫泉翠荔嘉园  亲民小区  舒适小区,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年,4,一年前发布,2室2厅,76.11平米,东南,精装,中楼层(共6层),2006年,板楼,560000.0,7358
视野宽阔无遮挡，采光充足，交通便利，闹中取静,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,8,4室2厅,121.57平米,西北,精装,低楼层(共6层),塔楼,,960000.0,7897
时代印象 太平地铁站 精装修 拎包入住,时代印象 ,太平镇,近地铁 VR看装修,3,2个月以前发布,3室2厅,99.91平米,东南,精装,中楼层(共32层),塔楼,,1260000.0,12612
七星路   两房变三房无暗房   南向,七星路 ,江浦街,VR看装修 房本满五年 随时看房,0,5个月以前发布,2室2厅,75.43平米,南北,其他,低楼层(共2层),暂无数据,,450000.0,5966
珠江国际城大三房，全新未入住，双阳台，近地神岗地铁,珠江国际城 ,神岗镇,近地铁 VR看装修 房本满两年 随时看房,0,2个月以前发布,3室2厅,118.36平米,南,精装,低楼层(共27层),板塔结合,2018年,1030000.0,8703
上雅君庭 太平地铁站  刚需小户型,上雅君庭 ,太平镇,近地铁 VR看装修 房本满两年 随时看房,8,6个月以前发布,1室1厅,56.35平米,南北,毛坯,低楼层(共21层),塔楼,,410000.0,7276
南北对流，采光充足，交通便利，闹中取静,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,20,3室2厅,105.41平米,南北,精装,低楼层(共6层),板楼,2006年,860000.0,8159
"业主诚心出，户型方正,采光充足。",珠光御景山水城 ,江浦街,VR看装修 房本满五年 随时看房,0,29,3室2厅,91.02平米,南,毛坯,高楼层(共24层),塔楼,2015年,660000.0,7252
南向，地铁口房，雅居乐滨江花园！,雅居乐滨江花园 ,江浦街,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,123.21平米,南,精装,中楼层(共11层),塔楼,2012年,1650000.0,13392
地铁口100米，南向精装修，采光靓，视野好居住舒适,时代印象 ,太平镇,近地铁 VR看装修 随时看房,2,1个月以前发布,3室2厅,98.18平米,南,精装,中楼层(共32层),暂无数据,2021年,1280000.0,13038
此房证满五年，户型格局方正实用，南北对流，采光好。,荔枝花园 ,新城片区,VR房源 房本满五年,0,18,4室2厅,153平米,东南,其他,3层,板塔结合,1997年,1840000.0,12027
精装3房，保养好，环境优美，交通便利。,珠江国际城 ,神岗镇,VR看装修 随时看房,0,1个月以前发布,3室2厅,89.5平米,东北,精装,中楼层(共28层),暂无数据,,760000.0,8492
流溪河畔，小区环境优美，生态宜居。,雅居乐小院流溪 ,赤草,VR看装修 房本满五年,0,一年前发布,3室2厅,140.71平米,南,其他,中楼层(共17层),塔楼,2013年,1200000.0,8529
紫泉翠荔嘉园  太平地铁站 精装修 拎包入住,紫泉翠荔嘉园 ,太平镇,VR房源 房本满五年 随时看房,0,一年前发布,3室2厅,90.99平米,西北,精装,中楼层(共18层),塔楼,2010年,800000.0,8793
此房南北对流，中楼层，视野宽阔无遮挡，采光充足,紫泉翠荔嘉园 ,太平镇,VR房源 房本满五年 随时看房,0,28,4室2厅,131.39平米,南,其他,中楼层(共6层),板楼,2007年,950000.0,7231
巴厘天地大三房 中高层视野开阔 南向通风 户型方正,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,121.03平米,东南,毛坯,17层,塔楼,2011年,760000.0,6280
小区环境优美，人文素质好，居住环境舒适,珠光流溪御景 ,赤草,VR看装修 房本满五年 随时看房,1,12,3室2厅,97.75平米,东北,其他,中楼层(共27层),塔楼,2012年,738000.0,7550
紫泉翠荔嘉园  亲民小区  舒适小区,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年,4,一年前发布,2室2厅,76.11平米,东南,精装,中楼层(共6层),板楼,2006年,560000.0,7358
楼层漂亮，视野好，小区环境靓。,珠江国际城 ,神岗镇,VR看装修 房本满两年,1,3个月以前发布,3室2厅,100.32平米,东北,精装,中楼层(共28层),板塔结合,2017年,850000.0,8473
全新毛坯2房2厅 毛坯可自行装修喜欢的风格,大城云山 ,太平镇,近地铁 VR看装修 房本满五年 随时看房,20,一年前发布,2室2厅,81.7平米,南北,毛坯,中楼层(共9层),塔楼,2016年,495000.0,6059
急卖，无遮挡，采光好，南向双阳台，珠江国际城大三房,珠江国际城 ,神岗镇,近地铁 VR看装修 房本满两年 随时看房,0,1个月以前发布,3室2厅,121.94平米,南,简装,低楼层(共26层),板塔结合,,1000000.0,8201
河畔小区环境优美花草茂盛生态宜居,雅居乐小院流溪 ,赤草,VR看装修 房本满两年 随时看房,0,14,3室2厅,116.62平米,东南南,其他,高楼层(共5层),暂无数据,,1155000.0,9904
时代幸汇   东南向   楼层靓,时代幸汇 ,江浦街,VR看装修 房本满两年,0,3个月以前发布,3室2厅,99.43平米,东南,精装,中楼层(共24层),板楼,,928000.0,9334
知识城北，太平站800米，满五不唯一，有钥匙,大城云山 ,太平镇,近地铁 VR看装修 房本满五年 随时看房,8,7个月以前发布,2室2厅,81.7平米,南北,毛坯,高楼层(共9层),塔楼,2013年,500000.0,6120
此房满五年，阳台望花园，安静惬意，,雅居乐滨江花园 ,江浦街,近地铁 VR房源 房本满五年 随时看房,0,8,2室1厅,77.65平米,北,其他,低楼层(共11层),塔楼,,1185000.0,15261
大阳台，户型美丽，楼层好，三房两卫,人盛巴厘天地 ,神岗镇,VR房源 房本满五年 随时看房,0,9个月以前发布,3室1厅,123.73平米,西北,毛坯,中楼层(共17层),塔楼,2012年,730000.0,5900
简装小别墅，花园100方左右，私密性好，出行交通便利,逸泉山庄 ,赤草,VR房源 房本满五年 随时看房,5,3个月以前发布,3室2厅,137.44平米,南北,简装,3层,暂无数据,,2150000.0,15644
珠江国际城  南向三房  业主诚心出  过五唯一,珠江国际城 ,神岗镇,VR房源 房本满五年 随时看房,8,4个月以前发布,3室1厅,104.77平米,南,简装,低楼层(共28层),板塔结合,,799000.0,7627
雅居乐滨江花园 3室2厅 南,雅居乐滨江花园 ,江浦街,近地铁 VR看装修 房本满两年,0,21,3室2厅,120.03平米,南,其他,高楼层(共5层),塔楼,,1520000.0,12664
刚需毛坯两房  可装修成自己喜欢的风格 户型方正实用,人盛巴厘天地 ,神岗镇,VR看装修 随时看房,0,8个月以前发布,2室2厅,82.1平米,东南,毛坯,高楼层(共17层),塔楼,2013年,520000.0,6334
珠江国际城 3室2厅 东北,珠江国际城 ,神岗镇,VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,100.37平米,东北,精装,低楼层(共28层),板塔结合,2017年,810000.0,8071
此房楼层好，视野宽阔，采光充足，交通便利,珠江国际城 ,神岗镇,近地铁 VR看装修 随时看房,2,6个月以前发布,3室2厅,103.97平米,南,精装,中楼层(共27层),板塔结合,,880000.0,8464
此房满五 户型方正  环境舒适  刚需两房三房,从化怡景楼 ,太平镇,VR看装修 房本满五年,0,一年前发布,2室2厅,72.54平米,东北,精装,中楼层(共8层),塔楼,2010年,900000.0,12407
刚需电梯2房  2梯4户 时代印象旁,星汇峰 ,太平镇,VR看装修 房本满五年 随时看房,2,一年前发布,2室2厅,75.76平米,东南,毛坯,高楼层(共9层),塔楼,2010年,850000.0,11220
地铁1房，采光好，格局方正，精装修,新光百德广场 ,太平镇,近地铁 房本满五年,1,一年前发布,1室1厅,52.58平米,南,其他,中楼层(共16层),塔楼,2014年,368000.0,6999
逸泉山庄 准地铁口 电梯大三房 南北正对流 满五年,逸泉山庄 ,赤草,近地铁 VR看装修 房本满五年,12,一年前发布,3室2厅,138.72平米,南北,其他,低楼层(共11层),塔楼,2011年,1500000.0,10814
视野开阔  采光通透  户型方正,回归路小区 ,太平镇,VR看装修 房本满五年,3,一年前发布,3室2厅,81平米,南,简装,高楼层(共8层),暂无数据,,680000.0,8396
房格局方正，空气好衣食住行生活方便，望山景。,珠光御景山水城 ,江浦街,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,101.36平米,北,其他,中楼层(共32层),塔楼,,840000.0,8288
智慧国际，近地铁口，出行方便，适合办公,智汇国际 ,太平镇,近地铁 房本满五年,0,一年前发布,2室1厅,74.13平米,南,精装,高楼层(共25层),塔楼,2016年,680000.0,9174
逸泉山庄197平别墅，看中可谈,逸泉山庄 ,赤草,VR房源 房本满五年,4,一年前发布,5室2厅,197.3平米,南北,精装,3层,暂无数据,,4500000.0,22808
房子产权清晰 无按揭 可随时过户,莱茵水岸 ,江浦街,近地铁 VR房源 房本满五年,0,2个月以前发布,3室1厅,122.86平米,南,精装,高楼层(共22层),塔楼,2013年,1880000.0,15302
山水城96方中层 精装修 不靠路位置安静,珠光御景山水城 ,江浦街,VR看装修 房本满五年,7,一年前发布,3室1厅,96.24平米,东北,精装,中楼层(共32层),塔楼,2014年,960000.0,9976
中楼层，自住保养好，生活配套成熟,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年,0,7个月以前发布,2室1厅,71.74平米,南北,精装,中楼层(共18层),塔楼,2018年,700000.0,9758
地铁口，视野开阔，可做复式，南北对流，配套成熟,逸泉山庄 ,赤草,近地铁 VR看装修 房本满五年 随时看房,6,一年前发布,3室1厅,95平米,南,精装,高楼层(共15层),塔楼,2011年,1150000.0,12106
岭南风别墅 三层大平层 装修保养好 位置安静 绿化好,逸泉山庄 ,赤草,VR房源 房本满五年 随时看房,4,一年前发布,5室2厅,177.98平米,南,其他,3层,暂无数据,,3810000.0,21407
镇北路 3室2厅 南,镇北路 ,河滨北路,VR房源 房本满五年,1,9个月以前发布,3室2厅,88.97平米,南,其他,高楼层(共7层),暂无数据,,690000.0,7756
神岗站 东南向大三房 安静舒适 风景好 流溪河边,人盛巴厘天地 ,神岗镇,VR看装修 房本满两年,0,7个月以前发布,3室2厅,125.31平米,东南,毛坯,高楼层(共17层),塔楼,2012年,1050000.0,8380
智汇国际写字楼  近地铁 格局方正 视野采光好,智汇国际 ,太平镇,近地铁 房本满两年,1,一年前发布,1室2厅,53.62平米,南西南,其他,高楼层(共25层),塔楼,2016年,600000.0,11190
别墅区洋房，精装2房，东南向看流溪河，全新没住过,紫泉流溪湾 ,太平镇,VR看装修 房本满五年,0,一年前发布,2室2厅,82.62平米,东南,精装,低楼层(共17层),板楼,2018年,1250000.0,15130
格局好:户型方正，使用，可随意摆放家电家具,银农楼 ,太平镇,近地铁 VR看装修 房本满五年 随时看房,10,一年前发布,2室1厅,61.46平米,东南,简装,中楼层(共7层),塔楼,2002年,550000.0,8949
珠光物业管理的小区，私家泳池和篮球场,珠光山水御苑 ,江浦街,VR看装修 房本满五年,0,9个月以前发布,3室2厅,103.84平米,南北,毛坯,中楼层(共31层),塔楼,2017年,775000.0,7464
巴厘天地3房2卫业主急出手可商量 楼层好,人盛巴厘天地 ,神岗镇,VR看装修 房本满两年 随时看房,0,一年前发布,3室1厅,122.22平米,南北,毛坯,高楼层(共17层),塔楼,2012年,1080000.0,8837
逸泉山庄规划总面积是3000亩，一共分6个区域开发,逸泉山庄 ,赤草,近地铁 VR房源 随时看房,2,8个月以前发布,3室2厅,111.1平米,北,简装,中楼层(共4层),暂无数据,,1250000.0,11252
交通便捷，市场就在小区楼下，生活配套齐全,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年,0,一年前发布,3室2厅,100.49平米,东南,其他,低楼层(共18层),塔楼,2018年,870000.0,8658
新村北路靓户型，温馨舒适，冬暖夏凉,新村北路 ,旧城区,VR看装修 房本满五年,0,一年前发布,3室2厅,109.82平米,东南,精装,中楼层(共8层),塔楼,,830000.0,7558
温馨两房、望花园 户型靓采光好，近地铁口楼下步行街,欣荣宏国际商贸城 ,江浦街,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室2厅,90.9平米,东北,精装,低楼层(共18层),塔楼,2013年,1380000.0,15182
逸泉映翠，国企物业，两房南向望花园，户型方正实用,逸泉映翠 ,江浦街,VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,85.23平米,东南,毛坯,低楼层(共23层),塔楼,2015年,650000.0,7627
龙井村非限购靓房，带装修，南向三房，双阳台,龙井村 ,江浦街,VR看装修 房本满五年,7,一年前发布,3室1厅,93.99平米,南北,简装,中楼层(共8层),暂无数据,,800000.0,8512
山水御苑 3房2卫 不靠马路 很安静 视野开阔 没有遮挡,珠光山水御苑 ,江浦街,VR看装修 房本满两年,0,9个月以前发布,3室2厅,102.54平米,南,其他,低楼层(共32层),塔楼,2016年,730000.0,7120
地铁口旁，精装，拎包入住小别墅，前后花园,逸泉山庄 ,赤草,VR房源 房本满五年,15,一年前发布,3室2厅,137.44平米,南北,其他,3层,暂无数据,,2800000.0,20373
地铁口楼盘，家私家电齐全，次新房，保养好,时代印象 ,太平镇,近地铁 VR看装修,0,5个月以前发布,3室2厅,88.98平米,北,精装,中楼层(共32层),塔楼,,1760000.0,19780
河滨北路 户型方正 通风采光好 看房方便 急,河滨北路 ,河滨北路,VR房源 房本满五年,0,6个月以前发布,3室1厅,110.27平米,南,精装,中楼层(共8层),塔楼,,1210000.0,10974
河堤边 星河绿洲 三房两卫南向望花园,星河绿洲 ,江浦街,VR看装修 房本满五年,0,一年前发布,3室2厅,142.45平米,南北,毛坯,低楼层(共13层),塔楼,2009年,1500000.0,10531
太平地铁800米   全新精装   户型方正,大城云山 ,太平镇,近地铁 VR看装修 房本满五年,0,一年前发布,3室3厅,117.71平米,北,精装,中楼层(共17层),塔楼,2016年,1660000.0,14103
巴厘天地  南北对流  望流溪河 花园  阳光充足,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年 随时看房,0,一年前发布,2室2厅,83.23平米,南,毛坯,中楼层(共17层),塔楼,2012年,690000.0,8291
宏业楼 户型方正 通风采光好 看房方便 急,宏业楼 ,河滨北路,VR看装修 房本满五年,0,4个月以前发布,4室2厅,114.96平米,南,其他,低楼层(共9层),塔楼,,1500000.0,13049
华标荔苑 过二 地铁口物业 交通方便 灵动设计,华标荔苑 ,太平镇,近地铁 VR看装修 房本满五年,3,一年前发布,2室2厅,92平米,东南,毛坯,低楼层(共6层),塔楼,2013年,1350000.0,14674
巴厘天地看流溪河景观方正户型，还看小区花园,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,129.87平米,东南,毛坯,高楼层(共17层),塔楼,2012年,1090000.0,8394
精装好房 双卫 原装电梯房 正规商品房,雍晟美景家园 ,旧城区,VR看装修 房本满五年,0,一年前发布,3室2厅,118平米,南,简装,中楼层(共9层),塔楼,2005年,1880000.0,15933
地铁口800米，南向大两房，采光好,大城云山 ,太平镇,近地铁 VR看装修 房本满五年,0,一年前发布,2室2厅,90.88平米,西南,精装,中楼层(共17层),塔楼,2016年,1150000.0,12655
精装，温馨，复式，全屋精装修。,碧桂园从化1960 ,河滨北路,房本满两年,2,一年前发布,2室2厅,50.44平米,东南,精装,低楼层(共7层),暂无数据,,750000.0,14870
