标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
碧桂园凤凰城凤盈苑 别墅 户型方正 看房方便,碧桂园凤凰城凤盈苑 ,凤凰城,VR房源,2,2个月以前发布,6室2厅,240.25平米,南,其他,1层,2002年,塔楼,6000000.0,24974
雅景苑 南向望花园 安静舒适 户型方正,雅景苑 ,滨江东,近地铁 VR看装修 房本满五年 随时看房,1,16,2室1厅,68.47平米,南,简装,高楼层(共9层),2002年,塔楼,2000000.0,29210
汇侨新城北区，户型方正，光线好,汇侨新城北区 ,新市,VR看装修 房本满两年 随时看房,9,一年前发布,3室2厅,88.45平米,东南,其他,高楼层(共9层),2000年,塔楼,1250000.0,14133
南向两房，看小区花园、视野开阔，采光充足，配套齐全,合汇学府名郡 ,白江,VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,81.73平米,东南,精装,高楼层(共32层),2018年,塔楼,1090000.0,13337
商品满五不唯一，电梯组织中，花园小区，安静,金羊花园 ,杨箕,近地铁 VR看装修 房本满五年,9,10个月以前发布,3室2厅,91.79平米,南北,简装,高楼层(共9层),2000年,塔楼,5360000.0,58395
二期中层精装三房 保养好看花园位置安静,顺欣花园 ,新塘北,VR看装修 房本满五年 随时看房,3,7个月以前发布,3室2厅,98.65平米,北,精装,中楼层(共20层),,塔楼,1100000.0,11151
沙园 2室1厅 西,沙园 ,沙园,近地铁 VR看装修 随时看房,0,15,2室1厅,59.05平米,西,简装,高楼层(共9层),2002年,塔楼,1580000.0,26757
荔港南湾 G区东南向三房 保养好,城启荔港南湾 ,南岸路,VR房源 房本满五年,1,4个月以前发布,3室1厅,90.47平米,东南,其他,中楼层(共34层),2008年,塔楼,4300000.0,47530
刚需三居室  可三代同堂  户型南北对流  单边位,天马丽苑二期 ,铁路西,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,95平米,南北,其他,高楼层(共33层),2013年,塔楼,1000000.0,10527
纪念堂旁边，加装平层电梯，精品装修，正规三房,解放北路(越秀区) ,解放北,VR看装修 房本满五年,2,11个月以前发布,3室2厅,85.08平米,东西北,其他,中楼层(共7层),1990年,塔楼,3880000.0,45605
鸿城花园 近地铁交通便利 两房改小三房,鸿城花园 ,市桥,近地铁 VR看装修 房本满两年 随时看房,1,1个月以前发布,3室1厅,78.4平米,西北北,精装,低楼层(共28层),2000年,塔楼,1590000.0,20281
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),1988年,板楼,380000.0,15200
此房满五不唯一，采光通风好，楼层不错，业主诚心放卖,保利麓苑 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,3室1厅,93.61平米,东北,精装,低楼层(共33层),,塔楼,5600000.0,59823
户型方正，中高楼层，视野好，采光好,越秀岭南山畔 ,科学城,近地铁 VR看装修 房本满五年 随时看房,11,9个月以前发布,3室2厅,97.56平米,西南,精装,高楼层(共32层),2014年,塔楼,3750000.0,38438
"保利城地铁, 3房南望花园，采光好 安静舒适！",保利城 ,铁路西,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,103.61平米,南,简装,低楼层(共25层),2012年,塔楼,1000000.0,9652
富雅名居 新塘地铁口 精装三房,富雅名居 ,新塘北,VR房源 房本满五年,6,一年前发布,3室1厅,90.16平米,东南,精装,高楼层(共9层),2005年,塔楼,720000.0,7986
番禺广场东方花园，园区两房，安静不靠路,东方花园3区 ,番禺广场,近地铁 VR房源 房本满五年,1,一年前发布,2室1厅,65.5平米,南,简装,中楼层(共8层),1995年,塔楼,1180000.0,18016
锦绣新天地 4房 业主诚心出手,锦绣新天地 ,新塘南,VR看装修 房本满两年 随时看房,0,11个月以前发布,4室1厅,132平米,南,精装,中楼层(共11层),2007年,塔楼,1580000.0,11970
视野开阔 使用率高 负离子空气 养老度假,珠光山水御苑 ,江浦街,VR看装修,1,6个月以前发布,4室2厅,102.51平米,东北,其他,中楼层(共30层),2016年,塔楼,750000.0,7317
招商雍景湾 精致小三房 中高层 安静位置,招商雍景湾北区 ,知识城,近地铁 VR看装修 房本满两年,0,1个月以前发布,3室2厅,89.53平米,北,简装,高楼层(共22层),,平房,1500000.0,16755
东区五期，高楼层精装修两房，拎包入住,金雅苑 ,滨江东,VR房源 房本满五年,9,8个月以前发布,2室1厅,67.77平米,北,精装,21层,2001年,塔楼,2780000.0,41022
天湖峰境 望湖景 高层 3房2厅1卫,峰境园 ,北兴镇,VR房源 房本满五年,3,7个月以前发布,3室1厅,97.73平米,南,其他,中楼层(共29层),2010年,塔楼,690000.0,7061
中海誉城北苑 3室1厅 南,中海誉城北苑 ,香雪,VR房源 房本满五年 随时看房,5,5个月以前发布,3室1厅,122.21平米,南,精装,高楼层(共33层),2014年,塔楼,2600000.0,21275
银都大厦  温馨小三房 可用公积金 地铁100米,银都大厦 ,市桥,近地铁 VR房源 房本满五年 随时看房,11,9个月以前发布,3室2厅,86.1平米,东南,精装,低楼层(共28层),1998年,塔楼,1530000.0,17771
南北对流，地铁口，配套齐全、小区管理完善.,松园大厦(花都区) ,旧区,VR看装修 房本满五年,0,17,3室2厅,82.74平米,南,精装,中楼层(共8层),,暂无数据,630000.0,7615
华景方正安静电梯两房，精装修，可拎包入住,华景新城怡华台 ,华景新城,VR看装修 房本满五年,4,6个月以前发布,2室2厅,75.24平米,西北,精装,高楼层(共19层),1999年,塔楼,3880000.0,51569
户型方正 三房带主套 中楼层 东向安静望花园 满五唯一,保利心语 ,珠江新城中,VR房源 房本满五年,3,1个月以前发布,3室1厅,104.74平米,东,其他,中楼层(共32层),2009年,塔楼,11500000.0,109796
位置好，近区府，格局方正采光好 南向小三房,碧泰豪苑 ,旧区,VR看装修 房本满五年,9,一年前发布,3室1厅,87.25平米,南,精装,中楼层(共16层),2015年,塔楼,900000.0,10316
丽江花园丽字楼南向电梯高层视野开阔采光充足,丽江花园丽茹楼 ,南浦,近地铁 VR看装修 房本满五年,0,1个月以前发布,3室2厅,87.64平米,东南,其他,高楼层(共9层),1993年,塔楼,1790000.0,20425
宏达北路 2室1厅 南,宏达北路 ,新塘南,VR看装修 房本满五年,0,1个月以前发布,2室1厅,73.87平米,南,简装,中楼层(共6层),,暂无数据,395000.0,5348
万寿路 大院管理 南向 大三房 保养新,万寿路 ,前进路,VR看装修 房本满五年 随时看房,7,8个月以前发布,3室1厅,107.06平米,东南南,其他,中楼层(共9层),,暂无数据,2380000.0,22231
区府城芯，丽江楼房地铁口专梯专户契税1.5%江景房，,创基丽江国际 ,增城区府,VR看装修 房本满五年 随时看房,1,8个月以前发布,3室2厅,130.27平米,南,精装,高楼层(共36层),2017年,塔楼,2290000.0,17579
三房两卫，视野开阔，华师，黄广附,万科城市之光E区 ,文冲,近地铁 VR房源 随时看房,2,1个月以前发布,3室1厅,87.91平米,西西北,精装,低楼层(共30层),,塔楼,4280000.0,48687
东方名都 五房大平层 位置好 中高楼层 视野好,东方名都花园 ,白江,近地铁 VR房源 房本满五年 随时看房,34,一年前发布,5室1厅,204.03平米,南北,毛坯,30层,2013年,板楼,3450000.0,16910
金时花园2房，上车盘，首付低，月供低。,金时花园 ,荔城增江,VR看装修 房本满两年 随时看房,2,3个月以前发布,2室1厅,80.28平米,南,其他,高楼层(共18层),2017年,板塔结合,550000.0,6852
14号线 神岗站 次新房两房 视野好无遮挡,人盛巴厘天地 ,神岗镇,VR看装修 房本满两年,2,1个月以前发布,2室2厅,74.75平米,西北,精装,高楼层(共18层),2018年,塔楼,530000.0,7091
南向望花园，厨房带天然气，民水民电,汇东国际花园 ,白江,近地铁 VR看装修 房本满五年,9,7个月以前发布,1室0厅,41.59平米,南,简装,中楼层(共26层),2011年,塔楼,423000.0,10171
瑞晖花园 南向方正大2房 随时看房,瑞晖花园 ,石井,VR看装修 房本满五年 随时看房,4,一年前发布,2室1厅,81.42平米,南,简装,高楼层(共6层),2002年,塔楼,1180000.0,14493
湖滨苑 低楼层 实用两房 有钥匙随时看房,湖滨小区 ,东湖,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,2室1厅,48.2平米,南,简装,中楼层(共6层),,塔楼,1720000.0,35685
交通方便、小区安静、物业服务好，通风采光好,东方花园又一村 ,番禺广场,近地铁 VR房源 房本满五年 随时看房,0,一年前发布,3室2厅,142.6平米,南,精装,低楼层(共15层),2002年,塔楼,2680000.0,18794
都府小区 广中路校址 两房 框架 过五唯一,都府社区 ,公园前,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,2室1厅,32.02平米,北,其他,中楼层(共9层),1998年,塔楼,1300000.0,40600
江南西 南北通透 地铁盘 明亮两房 高实用率 一少 唯一,江南西路 ,江南西,近地铁 VR看装修 房本满两年 随时看房,2,3个月以前发布,2室1厅,30.79平米,南北,精装,中楼层(共8层),板楼,,1190000.0,38649
低楼层，全新未住 上下楼梯方便 业主诚意卖房,广州万科城 ,永宁,VR看装修 随时看房,8,6个月以前发布,3室2厅,95.31平米,南,精装,低楼层(共34层),板塔结合,,850000.0,8919
富雅都市华庭 3室2厅 北,富雅都市华庭 ,新塘北,VR看装修 房本满两年 随时看房,4,6个月以前发布,3室2厅,109.36平米,北,其他,低楼层(共11层),塔楼,,988000.0,9035
顺德碧桂园芷兰湾 4室2厅 东 东北,顺德碧桂园芷兰湾 ,顺德碧桂园,VR看装修 房本满五年,0,19,4室2厅,102.5平米,东东北,精装,低楼层(共11层),塔楼,2009年,1180000.0,11513
西区电梯高层，采光好，望花园，视野开阔，安静舒适,锦绣半岛西区 ,南浦,VR房源 房本满五年,1,16,2室1厅,86.61平米,南,精装,中楼层(共18层),塔楼,2009年,1780000.0,20552
金融城 西南朝向两房满五唯一低楼层,棠德花苑 ,棠下,近地铁 VR房源 房本满两年,9,6个月以前发布,2室1厅,60.39平米,南西,其他,低楼层(共9层),塔楼,1997年,1420000.0,23514
区庄村精装修三房，可领包入住，交通生活便利,区庄村 ,黄花岗,VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,61.91平米,南,精装,中楼层(共9层),塔楼,1990年,2520000.0,40705
香滨高层望湖，视野开阔，保养好安静,金地香山湖 ,永宁,VR看装修 随时看房,2,2个月以前发布,3室2厅,99.84平米,东南,精装,中楼层(共32层),暂无数据,,930000.0,9315
广州敏捷绿湖首府 3室2厅 东北,广州敏捷绿湖首府 ,石滩镇,VR房源 随时看房,0,9个月以前发布,3室2厅,91.27平米,东北,精装,高楼层(共32层),塔楼,2019年,670000.0,7341
东骏花园 区府板块 近地铁 安静不靠路,东骏花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,11个月以前发布,2室2厅,77.8平米,南,精装,低楼层(共8层),塔楼,2001年,880000.0,11312
祈福青怡居 南向大两房 低层 通风采光好 证过五年,祈福新村青怡居 ,祈福新村,VR房源 房本满两年 随时看房,2,2个月以前发布,2室2厅,68.9平米,南,简装,中楼层(共5层),板楼,2001年,1380000.0,20030
此房满五不唯一 格局好 视野开阔 采光充足,珠江花园 ,厦滘,近地铁 VR看装修 房本满五年,1,3个月以前发布,2室1厅,90.14平米,东北,其他,中楼层(共28层),塔楼,2010年,2270000.0,25184
"业主诚心卖,厅侧出阳台, 视野开阔 通风采光好",天河广场 ,东圃,近地铁 VR看装修 房本满五年,3,一年前发布,2室1厅,77.39平米,东南,简装,32层,塔楼,1996年,2350000.0,30366
面山望海，出门仲元，南向方正，小区清雅，诚心卖,凯德山海连城二期 ,莲花山,VR房源,31,2个月以前发布,3室2厅,109.33平米,东南南,精装,32层,板塔结合,,2210000.0,20215
昌岗地铁 小区复式大两房 原三房 旺中带静 电梯已公示,海外花园 ,昌岗,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.94平米,东南,精装,高楼层(共9层),塔楼,2001年,2650000.0,28210
对流户型，通风采光好，景观靓。,祈福新村天湖居 ,祈福新村,VR看装修 房本满五年,1,一年前发布,3室2厅,97.85平米,西北,其他,高楼层(共17层),板楼,2003年,1880000.0,19214
金融城内举步繁华少有低预算三房,天成居 ,车陂,近地铁 VR房源 房本满五年,0,6个月以前发布,3室2厅,102.11平米,北,简装,中楼层(共16层),塔楼,2000年,3700000.0,36236
燕塘地铁3/6号线 金燕花苑 原装电梯南北向 精装三房,金燕花苑 ,燕塘,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室1厅,95.24平米,南北,精装,中楼层(共26层),塔楼,2002年,3150000.0,33075
南北对流大四房，装修保养好，带2个车位，,碧桂园豪进左岸 ,石滩镇,VR看装修 房本满两年 随时看房,4,9个月以前发布,4室2厅,142.76平米,南,其他,低楼层(共21层),塔楼,2018年,1080000.0,7566
阳光城星悦组团南向两房精装急出,阳光城丽景湾·星悦 ,进港大道,VR看装修 房本满两年 随时看房,1,一年前发布,2室1厅,74.8平米,南,精装,低楼层(共30层),塔楼,,920000.0,12300
合适刚需上车，格局很方正实用，小区管理，安静舒适,百合苑B区 ,员村,近地铁 VR看装修 房本满五年 随时看房,1,1个月以前发布,2室1厅,45.79平米,东,简装,中楼层(共9层),塔楼,1996年,1380000.0,30138
安静舒适两房，环境优美，有车位,碧桂园映象 ,福和镇,VR房源 房本满五年,3,9个月以前发布,2室1厅,73.52平米,南,其他,中楼层(共17层),塔楼,2017年,430000.0,5849
大型小区 电梯温馨精装小两 房产权清晰 保养好东南向,鸿图苑 ,汾水,VR看装修 房本满两年,2,3个月以前发布,2室1厅,51.28平米,东南,精装,中楼层(共9层),塔楼,1997年,1280000.0,24961
华景新城五期安静三房两卫 得房率高,华景新城怡景园 ,华景新城,VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,96.78平米,西南东南东,简装,低楼层(共10层),塔楼,1998年,3990000.0,41228
全新装修，园芯位置，北向高层，保养很漂亮，拎包入住,富力金港城东区 ,花东镇,VR看装修 房本满五年,0,9个月以前发布,2室1厅,83.15平米,北,简装,高楼层(共11层),塔楼,2014年,730000.0,8780
三大房含两大露台  拎包入住 配套成熟 智能小区,绿地珑玥府 ,荔城增江,VR看装修 房本满两年,0,3个月以前发布,4室2厅,115.18平米,南,精装,高楼层(共31层),塔楼,,1200000.0,10419
观海美寓 精装三房 随时可以看房,观海美寓 ,南沙湾,近地铁 VR看装修 房本满五年,0,一年前发布,2室2厅,85.74平米,西北,精装,中楼层(共17层),塔楼,,1000000.0,11664
雄峰城 复式 上下两层 中高楼层,雄峰城 ,钟村,房本满五年 随时看房,0,一年前发布,2室1厅,60.78平米,东南,简装,中楼层(共27层),塔楼,2007年,670000.0,11024
东南向望河，大面积3房，楼层很好，房子保养很新。,天马河壹号 ,铁路西,近地铁 VR看装修 房本满两年,0,一年前发布,3室1厅,110.59平米,东南,精装,高楼层(共18层),塔楼,2012年,1620000.0,14649
紫泉翠荔嘉园电梯高层3房 看荔枝林,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,10,一年前发布,3室2厅,107.03平米,南,毛坯,高楼层(共18层),塔楼,2010年,880000.0,8222
锦绣新天地 三房 东南向 安静望花园 近出口！,锦绣新天地 ,新塘南,VR房源 房本满五年 随时看房,0,2个月以前发布,3室1厅,91.05平米,东南,简装,中楼层(共16层),2009年,塔楼,910000.0,9995
豪景花园  正规三房 有装修  刚需上车必看,豪景花园 ,沙河,VR房源 房本满五年 随时看房,11,一年前发布,3室1厅,89.34平米,西,简装,高楼层(共19层),2013年,塔楼,2700000.0,30222
江南西路 2室1厅 东南,江南西路 ,江南西,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,2室1厅,67.46平米,东南,简装,中楼层(共18层),,塔楼,2500000.0,37059
春鸿居，南向大两房，带平台，配套完善,春鸿居 ,元下田,近地铁 VR看装修 房本满五年 随时看房,1,11个月以前发布,2室1厅,59.98平米,南,精装,低楼层(共9层),1997年,塔楼,1050000.0,17506
昌岗地铁 小区复式大两房 原三房 旺中带静 电梯已公示,海外花园 ,昌岗,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.94平米,东南,精装,高楼层(共9层),2001年,塔楼,2650000.0,28210
税局宿舍 江边200米 家门口是十号线地铁站 滨江东路站,怡乐路13号大院 ,滨江东,VR看装修 房本满五年,1,2个月以前发布,2室1厅,55.58平米,南,简装,低楼层(共9层),2002年,塔楼,1400000.0,25189
面山望海，出门仲元，南向方正，小区清雅，诚心卖,凯德山海连城二期 ,莲花山,VR房源,31,2个月以前发布,3室2厅,109.33平米,东南南,精装,32层,,板塔结合,2210000.0,20215
对流户型，通风采光好，景观靓。,祈福新村天湖居 ,祈福新村,VR看装修 房本满五年,1,一年前发布,3室2厅,97.85平米,西北,其他,高楼层(共17层),2003年,板楼,1880000.0,19214
原装电梯3房，近地铁口，生活配套完善,工会大厦 ,旧区,VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,80.42平米,北,精装,中楼层(共15层),,塔楼,830000.0,10321
