标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
区府市民广场 人民公园 雅居乐名门十八 4房3卫,雅居乐雍逸豪庭 ,新区,近地铁 VR房源 房本满五年,6,5个月以前发布,4室2厅,183.6平米,南,其他,中楼层(共18层),2009年,塔楼,2980000.0,16231
正对别墅区三房  配套齐全 位于圆盘旁 位置安静宜居,时代城 ,铁路西,VR看装修 房本满五年 随时看房,0,一年前发布,3室1厅,113.17平米,南,精装,低楼层(共25层),2013年,塔楼,1560000.0,13785
广州产权  电梯高层 4房南北对流带装修,花都颐和山庄 ,狮岭镇,VR看装修 房本满两年,4,一年前发布,4室2厅,141.92平米,北南,精装,低楼层(共18层),,塔楼,730000.0,5144
风神花园原始3房，户型方正，南北对流,风神花园 ,铁路西,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,91.44平米,南北,简装,低楼层(共11层),,塔楼,780000.0,8531
天马丽苑二期南向单边位采光通透户型方正,天马丽苑二期 ,铁路西,VR房源 房本满两年,1,5个月以前发布,3室1厅,100.09平米,南,精装,中楼层(共33层),2013年,塔楼,1190000.0,11890
此房南向采光通透，大阳台直连主卧，不靠马路位置安静,东方文德森岛湖 ,花城街,VR房源 房本满两年 随时看房,0,8,3室2厅,97.14平米,南,精装,低楼层(共39层),塔楼,,1150000.0,11839
雅居乐花城雅郡 4室2厅 东南 南,雅居乐花城雅郡 ,铁路西,VR看装修 随时看房,0,2个月以前发布,4室2厅,105.77平米,东南南,精装,高楼层(共33层),暂无数据,,1500000.0,14182
天湖峰境 望湖景 高层 3房2厅1卫,峰境园 ,北兴镇,VR房源 房本满五年,3,7个月以前发布,3室1厅,97.73平米,南,其他,中楼层(共29层),塔楼,2010年,690000.0,7061
"保利城地铁, 3房南望花园，采光好 安静舒适！",保利城 ,铁路西,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,103.61平米,南,简装,低楼层(共25层),塔楼,2012年,1000000.0,9652
融创文旅城A2  中高楼层 拎包入住,雪域澜庭A2区 ,花城街,VR看装修 房本满五年 随时看房,1,5个月以前发布,3室2厅,96.76平米,东南,精装,低楼层(共33层),塔楼,2018年,1850000.0,19120
广州北站地铁口500米精装修3房1卫，小高层低密度洋房,豪骏名苑 ,铁路西,VR房源 房本满两年,1,3个月以前发布,3室2厅,92.57平米,南,精装,高楼层(共16层),塔楼,2012年,1190000.0,12856
刚需三居室  可三代同堂  户型南北对流  单边位,天马丽苑二期 ,铁路西,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,95平米,南北,其他,高楼层(共33层),塔楼,2013年,1000000.0,10527
南北对流，地铁口，配套齐全、小区管理完善.,松园大厦(花都区) ,旧区,VR看装修 房本满五年,0,17,3室2厅,82.74平米,南,精装,中楼层(共8层),暂无数据,,630000.0,7615
东骏花园 区府板块 近地铁 安静不靠路,东骏花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,11个月以前发布,2室2厅,77.8平米,南,精装,低楼层(共8层),塔楼,2001年,880000.0,11312
位置好，近区府，格局方正采光好 南向小三房,碧泰豪苑 ,旧区,VR看装修 房本满五年,9,一年前发布,3室1厅,87.25平米,南,精装,中楼层(共16层),塔楼,2015年,900000.0,10316
满五唯一无按揭小区环境好房子光线很好，急卖,华侨花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,8,8个月以前发布,3室2厅,109.25平米,南,精装,高楼层(共9层),塔楼,,998000.0,9136
房子满五年 ，楼层好，视野宽阔，采光充足 地段好,美力花园 ,旧区,VR看装修 房本满五年 随时看房,1,24,3室2厅,101.56平米,南,其他,中楼层(共8层),塔楼,2004年,1150000.0,11324
揽峰三房两卫，户型方正，中高楼层，视野开阔,花都颐和山庄 ,狮岭镇,VR看装修 房本满五年,3,10个月以前发布,3室2厅,107.89平米,南北,其他,高楼层(共18层),塔楼,,600000.0,5562
花都湖旁边新小区十年内电梯三房,富庄庭 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,2个月以前发布,3室1厅,95.78平米,南,精装,中楼层(共20层),塔楼,2011年,1330000.0,13886
全新装修，园芯位置，北向高层，保养很漂亮，拎包入住,富力金港城东区 ,花东镇,VR看装修 房本满五年,0,9个月以前发布,2室1厅,83.15平米,北,简装,高楼层(共11层),塔楼,2014年,730000.0,8780
岭南公馆 马鞍山旁 精装三房 配套完善成熟,岭南公馆 ,新区,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,96.67平米,西南,其他,中楼层(共18层),塔楼,2010年,1400000.0,14483
原装电梯3房，近地铁口，生活配套完善,工会大厦 ,旧区,VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,80.42平米,北,精装,中楼层(共15层),塔楼,,830000.0,10321
东南向望河，大面积3房，楼层很好，房子保养很新。,天马河壹号 ,铁路西,近地铁 VR看装修 房本满两年,0,一年前发布,3室1厅,110.59平米,东南,精装,高楼层(共18层),塔楼,2012年,1620000.0,14649
小面积实用户型，采光好，楼距宽，华师附旁.,雪域澜庭A1区 ,花城街,VR看装修 房本满两年 随时看房,0,5个月以前发布,1室1厅,45.03平米,西,精装,低楼层(共31层),塔楼,2018年,800000.0,17766
毛坯大三房 大阳台设计 户型方正 无抵押,颐和盛世 ,炭步,VR看装修 房本满五年,5,一年前发布,3室1厅,109.69平米,西南,毛坯,低楼层(共25层),塔楼,2011年,570000.0,5197
云峰学府花园 2室2厅 东,云峰学府花园 ,秀全街,VR房源 房本满五年,0,1个月以前发布,2室2厅,81.35平米,东,精装,低楼层(共15层),塔楼,2016年,850000.0,10449
华景雅苑，次新房，2016年建成的小区，此房是南北对流,华景雅苑德维轩 ,秀全街,VR看装修,0,2个月以前发布,3室2厅,117.3平米,南北,精装,高楼层(共15层),塔楼,2016年,1210000.0,10316
楼往位置 中层南向望花园 装修保养新净 拎包入住,万科天景花园 ,铁路西,近地铁 VR看装修 房本满两年,0,2个月以前发布,4室2厅,142.59平米,南北,精装,中楼层(共25层),塔楼,2008年,1750000.0,12273
正对别墅区三房  配套齐全 位于圆盘旁 位置安静宜居,时代城 ,铁路西,VR看装修 房本满五年 随时看房,0,一年前发布,3室1厅,113.17平米,南,精装,低楼层(共25层),塔楼,2013年,1560000.0,13785
区府市民广场 人民公园 雅居乐名门十八 4房3卫,雅居乐雍逸豪庭 ,新区,近地铁 VR房源 房本满五年,6,5个月以前发布,4室2厅,183.6平米,南,其他,中楼层(共18层),塔楼,2009年,2980000.0,16231
风神花园原始3房，户型方正，南北对流,风神花园 ,铁路西,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,91.44平米,南北,简装,低楼层(共11层),塔楼,,780000.0,8531
港式电梯房 南向 花都湖景观 主城区景观 一眼看穿,湖畔花园 ,旧区,VR看装修 房本满五年,1,8个月以前发布,3室2厅,83.61平米,西南,简装,高楼层(共26层),塔楼,1995年,790000.0,9449
天马丽苑二期南向单边位采光通透户型方正,天马丽苑二期 ,铁路西,VR房源 房本满两年,1,5个月以前发布,3室1厅,100.09平米,南,精装,中楼层(共33层),塔楼,2013年,1190000.0,11890
公园前9号小区 3室2厅 南,公园前9号小区 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,30,3室2厅,82.21平米,南,其他,高楼层(共8层),板楼,1994年,499000.0,6070
祈福辉煌台 户型格局方正 南向采光通风好,祈福辉煌台 ,铁路西,VR房源 房本满两年 随时看房,1,7个月以前发布,3室2厅,109.67平米,南西南,精装,中楼层(共29层),塔楼,2009年,1180000.0,10760
双赢如家公寓 1室0厅 东南,双赢如家公寓 ,铁路西,近地铁 VR看装修 房本满两年 随时看房,0,1个月以前发布,1室0厅,36.72平米,东南,简装,中楼层(共9层),2013年,塔楼,298000.0,8116
港式电梯房 南向 花都湖景观 主城区景观 一眼看穿,湖畔花园 ,旧区,VR看装修 房本满五年,1,8个月以前发布,3室2厅,83.61平米,西南,简装,高楼层(共26层),1995年,塔楼,790000.0,9449
公园前9号小区 3室2厅 南,公园前9号小区 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,30,3室2厅,82.21平米,南,其他,高楼层(共8层),1994年,板楼,499000.0,6070
中房观湖国际 可以直接进花都湖的小区 全新装修未入住,中房观湖国际 ,旧区,VR房源 房本满五年 随时看房,1,7,4室3厅,212.65平米,南北,精装,低楼层(共28层),2008年,塔楼,2700000.0,12697
私人平台140方，地铁口雅居乐物业，南北对流大三房,雅居乐雍华廷二期 ,新区,近地铁 VR房源 房本满五年 随时看房,1,2个月以前发布,3室2厅,140.73平米,南北,简装,低楼层(共12层),2002年,塔楼,2280000.0,16202
天马丽苑二期 3室2厅 东北,天马丽苑二期 ,铁路西,VR看装修 房本满两年 随时看房,0,14,3室2厅,132.2平米,东北,精装,中楼层(共34层),2007年,塔楼,1430000.0,10817
广州北站 石米框架结构  不是顶楼 3房户型,福宁路 ,旧区,近地铁 VR看装修 房本满五年,4,3个月以前发布,2室2厅,80.12平米,南北,其他,高楼层(共7层),,塔楼,460000.0,5742
天马丽苑二期南向单边位采光通透户型方正,天马丽苑二期 ,铁路西,VR房源 房本满两年,1,5个月以前发布,3室1厅,100.09平米,南,精装,中楼层(共33层),2013年,塔楼,1190000.0,11890
东晖名苑 区府板块 一梯两户 南北对流,东晖名苑 ,旧区,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,121.65平米,南北,精装,中楼层(共8层),2004年,板楼,1350000.0,11098
南向两房 装修保养未入住 近地铁 配套成熟 看房方便,雅居乐花城雅郡 ,铁路西,VR看装修 随时看房,0,4个月以前发布,3室2厅,82.28平米,南,精装,高楼层(共33层),,暂无数据,1050000.0,12762
三房两厅两卫，格局方正，采光好，通风好,保利城 ,铁路西,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,102.42平米,南,精装,低楼层(共25层),2012年,塔楼,1060000.0,10350
豪利幸福里南向三房，业主自住精装修，小区安静不吵,豪利幸福里 ,狮岭镇,VR看装修 房本满两年 随时看房,1,一年前发布,3室1厅,84.5平米,南,精装,低楼层(共11层),2013年,板楼,800000.0,9468
班芙小镇 中楼层南向三房 户型方正 采光好,班芙小镇 ,狮岭镇,VR看装修 随时看房,0,12,3室2厅,93.16平米,东南南,毛坯,高楼层(共23层),,塔楼,730000.0,7836
"精装修,低楼层,旧区少有四房两卫格局",建设北路 ,旧区,近地铁 VR看装修 房本满五年 随时看房,1,16,4室2厅,95.75平米,南,其他,中楼层(共7层),,暂无数据,780000.0,8147
电梯房 秀外 地铁口   南阳台  小区停车免费,花城路 ,旧区,近地铁 VR看装修 房本满两年 随时看房,7,一年前发布,3室2厅,76.59平米,南,简装,高楼层(共8层),,板楼,740000.0,9662
保利地铁三房 南向望花园，安静舒 适视野宽阔！,保利城 ,铁路西,近地铁 VR看装修 房本满两年 随时看房,0,7个月以前发布,3室2厅,103.15平米,南,精装,中楼层(共25层),2011年,塔楼,1120000.0,10858
机场北成熟大盘 大两房 中层阳台视野直望花园,富力金港城东区 ,花东镇,VR房源 房本满五年,0,20,2室1厅,82.45平米,北,精装,中楼层(共16层),2011年,塔楼,730000.0,8854
精装修加独立车位，省一级 花果山地铁口物业,花城苑 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,27,4室2厅,146.79平米,南,精装,中楼层(共8层),2001年,塔楼,1500000.0,10219
富力金港城近入口中高层大两房看花园景观光线好。,富力金港城东区 ,花东镇,VR房源 房本满五年 随时看房,1,一年前发布,2室1厅,82.61平米,北,精装,高楼层(共18层),2013年,塔楼,690000.0,8353
雅居乐物业狮城国际 环境较好适合居住，交通出行方便,致岭假日花园 ,狮岭镇,VR看装修 房本满两年 随时看房,1,5个月以前发布,3室2厅,99.1平米,南,精装,高楼层(共15层),,板塔结合,950000.0,9587
近地铁口，近秀全公园，格局方正，面积实用,花城路 ,旧区,VR看装修 房本满五年 随时看房,7,22,2室1厅,57.2平米,南,简装,中楼层(共7层),1996年,板楼,350000.0,6119
首付预算不高，装修保养新净，可直接拎包入住,学府南苑 ,秀全街,VR看装修 房本满五年,1,26,3室1厅,80.22平米,南,其他,中楼层(共15层),2013年,塔楼,750000.0,9350
房子方正适用，中高楼层通风阳光充足，公园地铁市场齐,祈福生活无限 ,新区,VR房源 房本满五年 随时看房,2,2个月以前发布,2室1厅,42.27平米,西,精装,中楼层(共12层),2010年,塔楼,748000.0,17696
富力金港城南区高楼层单边位靓大三房两卫,富力金港城南区 ,花东镇,房本满五年 随时看房,0,1个月以前发布,3室1厅,105.71平米,南西南,精装,高楼层(共19层),2012年,塔楼,660000.0,6244
棠澍板块  锦砖低楼层   南向  满五唯一,文苑小区 ,旧区,VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,119.6平米,南,其他,低楼层(共6层),2004年,板楼,1100000.0,9198
风神花园原始3房，户型方正，南北对流,风神花园 ,铁路西,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,91.44平米,南北,简装,低楼层(共11层),,塔楼,780000.0,8531
五年唯一 南向 三房带主套 住家精装修 通风性比较不错,骏威锦东花园C区 ,新区,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,109.85平米,南,简装,低楼层(共19层),2012年,塔楼,2000000.0,18207
900米地铁口，次新楼。拎包入住,时代城 ,铁路西,VR看装修 房本满五年 随时看房,0,3个月以前发布,3室1厅,89.51平米,东南,精装,低楼层(共30层),2010年,塔楼,1280000.0,14301
房子东北偏东，能晒到太阳，满五唯一税费低，保养好,富力金港城东区 ,花东镇,VR房源 房本满五年 随时看房,0,9个月以前发布,3室2厅,93.85平米,东北,其他,高楼层(共18层),2011年,塔楼,1080000.0,11508
祈福辉煌台 户型格局方正 南向采光通风好,祈福辉煌台 ,铁路西,VR房源 房本满两年 随时看房,1,7个月以前发布,3室2厅,109.67平米,南西南,精装,中楼层(共29层),2009年,塔楼,1180000.0,10760
花都田美河畔 南向 视野开阔 无遮挡 实用两房 住家,来福花园 ,旧区,近地铁 VR房源 房本满五年,0,6,2室2厅,78.34平米,南,精装,中楼层(共6层),塔楼,,630000.0,8042
广州北站地铁口 祈福天龙苑2房南向 刚需上车首 选,祈福天龙苑 ,铁路西,近地铁 VR房源 房本满五年 随时看房,0,2个月以前发布,2室1厅,75.24平米,东北,精装,中楼层(共28层),塔楼,2014年,900000.0,11962
广州北站地铁口  精装小2房 适合刚需上车的您,祈福万景峰 ,铁路西,近地铁 VR房源 房本满两年,0,1个月以前发布,2室1厅,60.4平米,北,其他,高楼层(共27层),塔楼,2018年,800000.0,13246
地铁口 南向中层 格局方正 装修保养新净 通风采光好,保利悦廷 ,铁路西,近地铁 VR房源 房本满五年 随时看房,0,1个月以前发布,3室2厅,95.41平米,南,精装,低楼层(共32层),塔楼,,1300000.0,13626
尚品四期南向三房 阳台无遮挡视野好,尚品雅居山语 ,秀全街,VR看装修 房本满两年 随时看房,0,9个月以前发布,3室2厅,114.1平米,南,毛坯,高楼层(共27层),塔楼,2019年,1380000.0,12095
雅宝新城  雅宝名居 中高楼层 新装修,雅宝新城 ,秀全街,VR房源 房本满五年,3,7个月以前发布,4室2厅,195.77平米,东南,精装,中楼层(共29层),塔楼,2017年,2250000.0,11494
小区是05年的小区，房龄比较新，使用面积多,逸贤苑 ,旧区,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室1厅,121.06平米,南,其他,中楼层(共8层),塔楼,2006年,1110000.0,9170
机场通勤车站点 天贵路 体育馆东门 配套成熟 一站,五洲花园 ,旧区,近地铁 VR房源 房本满五年,0,5个月以前发布,3室2厅,123.14平米,南,其他,低楼层(共8层),塔楼,1995年,980000.0,7959
装修保养好 主套对流 配套齐全 交通方便,天马河壹号一期 ,铁路西,近地铁 VR看装修 房本满五年,3,一年前发布,3室2厅,91.07平米,东北,精装,中楼层(共18层),塔楼,2009年,980000.0,10761
轩逸荟 精装3房 高层南向看花园 证过二年,智烨山水豪庭 ,狮岭镇,VR看装修 房本满五年 随时看房,31,一年前发布,3室2厅,80平米,南,精装,中楼层(共18层),塔楼,2013年,760000.0,9500
此房房产证满二年，看房方便，高层急出手,云峰学府花园 ,秀全街,VR看装修 房本满两年,3,5个月以前发布,3室2厅,92.69平米,北,简装,高楼层(共15层),塔楼,2011年,910000.0,9818
祈福辉煌台 带开发商装修 南北对流 中高层 采光通风好,祈福辉煌台 ,铁路西,VR房源 房本满五年,2,5个月以前发布,3室2厅,109.49平米,北东北,精装,高楼层(共29层),塔楼,2015年,1150000.0,10504
嘉汇城二期 精装三房 产权清晰 房子干净整洁,嘉汇城一期 ,镜湖大道,VR看装修 房本满五年,9,一年前发布,3室2厅,100.4平米,南,精装,低楼层(共30层),塔楼,2017年,1200000.0,11953
南向两房 装修保养未入住 近地铁 配套成熟 看房方便,雅居乐花城雅郡 ,铁路西,VR看装修 随时看房,0,4个月以前发布,3室2厅,82.28平米,南,精装,高楼层(共33层),暂无数据,,1050000.0,12762
三房两厅两卫，格局方正，采光好，通风好,保利城 ,铁路西,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,102.42平米,南,精装,低楼层(共25层),塔楼,2012年,1060000.0,10350
棠澍板块  锦砖低楼层   南向  满五唯一,文苑小区 ,旧区,VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,119.6平米,南,其他,低楼层(共6层),板楼,2004年,1100000.0,9198
机场北成熟大盘 大两房 中层阳台视野直望花园,富力金港城东区 ,花东镇,VR房源 房本满五年,0,20,2室1厅,82.45平米,北,精装,中楼层(共16层),塔楼,2011年,730000.0,8854
雅居乐物业狮城国际 环境较好适合居住，交通出行方便,致岭假日花园 ,狮岭镇,VR看装修 房本满两年 随时看房,1,5个月以前发布,3室2厅,99.1平米,南,精装,高楼层(共15层),板塔结合,,950000.0,9587
富力金港城南区高楼层单边位靓大三房两卫,富力金港城南区 ,花东镇,房本满五年 随时看房,0,1个月以前发布,3室1厅,105.71平米,南西南,精装,高楼层(共19层),塔楼,2012年,660000.0,6244
富力金港城近入口中高层大两房看花园景观光线好。,富力金港城东区 ,花东镇,VR房源 房本满五年 随时看房,1,一年前发布,2室1厅,82.61平米,北,精装,高楼层(共18层),塔楼,2013年,690000.0,8353
近地铁口，近秀全公园，格局方正，面积实用,花城路 ,旧区,VR看装修 房本满五年 随时看房,7,22,2室1厅,57.2平米,南,简装,中楼层(共7层),板楼,1996年,350000.0,6119
首付预算不高，装修保养新净，可直接拎包入住,学府南苑 ,秀全街,VR看装修 房本满五年,1,26,3室1厅,80.22平米,南,其他,中楼层(共15层),塔楼,2013年,750000.0,9350
豪利幸福里南向三房，业主自住精装修，小区安静不吵,豪利幸福里 ,狮岭镇,VR看装修 房本满两年 随时看房,1,一年前发布,3室1厅,84.5平米,南,精装,低楼层(共11层),板楼,2013年,800000.0,9468
电梯房 秀外 地铁口   南阳台  小区停车免费,花城路 ,旧区,近地铁 VR看装修 房本满两年 随时看房,7,一年前发布,3室2厅,76.59平米,南,简装,高楼层(共8层),板楼,,740000.0,9662
"精装修,低楼层,旧区少有四房两卫格局",建设北路 ,旧区,近地铁 VR看装修 房本满五年 随时看房,1,16,4室2厅,95.75平米,南,其他,中楼层(共7层),暂无数据,,780000.0,8147
精装修加独立车位，省一级 花果山地铁口物业,花城苑 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,27,4室2厅,146.79平米,南,精装,中楼层(共8层),塔楼,2001年,1500000.0,10219
房子方正适用，中高楼层通风阳光充足，公园地铁市场齐,祈福生活无限 ,新区,VR房源 房本满五年 随时看房,2,2个月以前发布,2室1厅,42.27平米,西,精装,中楼层(共12层),塔楼,2010年,748000.0,17696
班芙小镇 中楼层南向三房 户型方正 采光好,班芙小镇 ,狮岭镇,VR看装修 随时看房,0,12,3室2厅,93.16平米,东南南,毛坯,高楼层(共23层),塔楼,,730000.0,7836
东晖名苑 区府板块 一梯两户 南北对流,东晖名苑 ,旧区,近地铁 VR看装修 房本满五年 随时看房,2,一年前发布,3室2厅,121.65平米,南北,精装,中楼层(共8层),板楼,2004年,1350000.0,11098
此房不靠铁路，安静舒适，全新装修,云峰学府花园 ,秀全街,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,96.33平米,南,简装,高楼层(共15层),塔楼,2011年,1050000.0,10901
广州北站地铁口500米 祈福天龙苑精装2房拎包入住,祈福天龙苑 ,铁路西,近地铁 VR房源 房本满五年 随时看房,0,30,2室1厅,75.38平米,北南,精装,中楼层(共27层),2014年,塔楼,1000000.0,13267
花城路地铁口，精装南向3房，可上独立天台,秀全大道 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,15,3室1厅,78.47平米,南,其他,高楼层(共6层),,塔楼,580000.0,7392
楼层采光视野好 配套设施齐全 交通便利,雪域澜庭A1区 ,花城街,VR看装修 房本满五年,1,9个月以前发布,1室1厅,55.7平米,南,精装,低楼层(共31层),2018年,塔楼,880000.0,15799
小区中位置 楼龄新 中高层 东南朝向 车位充足,祈福天龙苑 ,铁路西,近地铁 VR房源 房本满五年 随时看房,0,5个月以前发布,3室2厅,91.57平米,南,精装,中楼层(共28层),2014年,塔楼,1330000.0,14525
满五唯一，无抵押，产权清晰，看房方便,富力金港城东区 ,花东镇,VR看装修 房本满五年,2,5个月以前发布,2室1厅,83.15平米,北,简装,中楼层(共11层),2014年,板塔结合,636000.0,7649
森岛湖三房两卫，业主自住精装修，一线湖景大阳台,东方文德森岛湖 ,花城街,VR看装修 随时看房,0,1个月以前发布,3室2厅,108.31平米,北,精装,中楼层(共39层),,塔楼,1180000.0,10895
花都湖就在家门口，马鞍山公园旁,祈福生活无限 ,新区,VR房源 房本满五年 随时看房,10,一年前发布,2室2厅,41.84平米,西南,精装,低楼层(共12层),2010年,塔楼,680000.0,16253
天马丽苑南向精装3房，中楼层诚心出,天马丽苑二期 ,铁路西,VR房源 房本满五年 随时看房,1,21,3室1厅,97.55平米,南,精装,中楼层(共35层),2015年,塔楼,1080000.0,11072
时代城 3室2厅 北,时代城 ,铁路西,VR看装修 房本满五年,0,12,3室2厅,107.48平米,北,精装,低楼层(共31层),2014年,塔楼,1460000.0,13584
免个税原装电梯房 视野开阔 区府公园旁 索菲亚定制,永大新城 ,旧区,近地铁 VR看装修 房本满两年,4,8个月以前发布,3室2厅,92.76平米,北,精装,高楼层(共9层),,板楼,1180000.0,12722
