标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
区庄村精装修三房，可领包入住，交通生活便利,区庄村 ,黄花岗,VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,61.91平米,南,精装,中楼层(共9层),塔楼,1990年,2520000.0,40705
商品满五不唯一，电梯组织中，花园小区，安静,金羊花园 ,杨箕,近地铁 VR看装修 房本满五年,9,10个月以前发布,3室2厅,91.79平米,南北,简装,高楼层(共9层),塔楼,2000年,5360000.0,58395
纪念堂旁边，加装平层电梯，精品装修，正规三房,解放北路(越秀区) ,解放北,VR看装修 房本满五年,2,11个月以前发布,3室2厅,85.08平米,东西北,其他,中楼层(共7层),塔楼,1990年,3880000.0,45605
丽苑大厦 原装电梯 精装修两房自住 安静 保养采光好,丽苑大厦(越秀区) ,东川路,近地铁 VR房源 房本满五年,33,6个月以前发布,2室1厅,78.45平米,东,精装,高楼层(共17层),塔楼,1998年,3300000.0,42066
华侨乐园 东南向两房 业主急出 有K随时看楼,华侨乐园 ,淘金,近地铁 VR房源 房本满五年,5,8个月以前发布,2室1厅,75.55平米,东南,简装,低楼层(共26层),塔楼,1995年,2980000.0,39445
东风西范围 满五唯一 中层单位 安静近公园 低层邻医院,盘福路 ,盘福,近地铁 VR房源 房本满五年,1,2个月以前发布,2室1厅,52.27平米,南西,精装,中楼层(共9层),塔楼,,1800000.0,34437
入省东风西 离纪念堂地铁站200米 南北对流,解放北路(越秀区) ,解放北,近地铁 VR房源 房本满两年 随时看房,8,一年前发布,3室1厅,37.02平米,南北,精装,中楼层(共7层),塔楼,,1330000.0,35927
天河龙岗院子管理电梯刚需小三房安静不吵,水荫路 ,水荫,近地铁 VR看装修 房本满五年,5,5个月以前发布,3室1厅,67.08平米,东南,简装,高楼层(共8层),塔楼,,1880000.0,28027
东兴小区 封闭式管理 小区环境安静 东南向,东兴小区 ,五羊新城,近地铁 VR看装修 房本满五年,1,4个月以前发布,3室2厅,76.2平米,东南,其他,低楼层(共9层),塔楼,1995年,3600000.0,47245
建设二马路有位置加装电梯 一房一厅 户型方正南北对流,建设二马路 ,建设路,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,1室1厅,39.86平米,南北,简装,中楼层(共7层),板楼,,1300000.0,32615
华侨乐园 南向安静 大三房 户型好 装修靓,华侨乐园 ,淘金,近地铁 VR看装修 房本满五年 随时看房,32,一年前发布,3室2厅,129平米,西南,精装,低楼层(共18层),塔楼,1995年,5300000.0,41086
黄花岗 先烈中路 环市东路 电梯框架两房,环市东路 ,环市东,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,77.28平米,南,精装,中楼层(共9层),塔楼,,2900000.0,37526
东南向电梯两房，安静舒适，通风采光好,东方花苑 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,5,3个月以前发布,2室1厅,74.04平米,东南,简装,高楼层(共9层),塔楼,1999年,3540000.0,47812
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),塔楼,,3900000.0,60862
大院管理 原小北 加装电梯平层 实用率92% 全明布局,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,5个月以前发布,3室1厅,99.63平米,东南北,精装,高楼层(共9层),塔楼,1993年,6480000.0,65041
中楼层 南向 格局方正 交通便利,大新路 ,解放南,近地铁 VR看装修 房本满五年,1,1个月以前发布,4室1厅,78.26平米,南,简装,中楼层(共9层),塔楼,,1990000.0,25429
原装电梯楼高层楼龄新视野好方正实用采光好交通便利,金湾畔大厦 ,越秀南,VR看装修 房本满五年,0,1个月以前发布,1室1厅,47.17平米,北,精装,高楼层(共41层),塔楼,2009年,2250000.0,47700
西门口九年升知Y舒适独立大院采光好一梯两户,净慧路 ,西门口,近地铁 VR房源 房本满五年 随时看房,8,7个月以前发布,2室1厅,53.1平米,东,简装,中楼层(共8层),塔楼,,1180000.0,22223
采光通风好 交通便利 配套成熟 环境优美,解放中路 ,公园前,近地铁 VR看装修 房本满五年 随时看房,12,4个月以前发布,2室1厅,32.65平米,南西南,简装,高楼层(共9层),塔楼,,690000.0,21134
环球广场 有独立卫生间 西门口单间 全新装修家私免费,环球广场 ,西华路,近地铁 房本满两年,2,10个月以前发布,1室1厅,29.01平米,东,精装,高楼层(共15层),塔楼,,500000.0,17236
署前小大院环境管理，安静东南向楼层好全明屋采光很好,教工新村 ,东山口,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室1厅,51.34平米,东南南,精装,低楼层(共8层),塔楼,1996年,3400000.0,66226
寺右二马路精装带主套南向三房 配套成熟 交通方便,寺右二马路 ,五羊新城,近地铁 VR看装修 房本满五年,3,9个月以前发布,3室1厅,76.02平米,南北,其他,低楼层(共9层),塔楼,1989年,3480000.0,45778
高层南向望江  楼下地铁站 原装电梯 住宅性质 视野好,锦源国际公寓 ,北京路,VR看装修 房本满五年,1,1个月以前发布,1室1厅,37.93平米,南,其他,中楼层(共37层),塔楼,1997年,1199900.0,31635
朝天 商品房，石米框架 顶楼带天台，细积总j低,朝天路 ,西门口,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,2室1厅,37.4平米,东,简装,高楼层(共9层),塔楼,,1120000.0,29947
原装电梯房 位置安静 南北向 楼龄新 朝阳社区 精装修,文德路 ,北京路,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,29.8平米,南,其他,中楼层(共13层),塔楼,,1050000.0,35235
此房满五不唯一，采光通风好，楼层不错，业主诚心放卖,保利麓苑 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,3室1厅,93.61平米,东北,精装,低楼层(共33层),塔楼,,5600000.0,59823
省府旁省一级小北本bu+越秀公园天然氧吧+精装三房,应元路 ,小北,VR看装修 房本满五年 随时看房,3,9个月以前发布,3室2厅,76.03平米,东南,简装,低楼层(共6层),板楼,,3830000.0,50375
都府小区 广中路校址 两房 框架 过五唯一,都府社区 ,公园前,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,2室1厅,32.02平米,北,其他,中楼层(共9层),塔楼,1998年,1300000.0,40600
湖滨苑 低楼层 实用两房 有钥匙随时看房,湖滨小区 ,东湖,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,2室1厅,48.2平米,南,简装,中楼层(共6层),塔楼,,1720000.0,35685
共和西小区 3室1厅 东,共和西小区 ,杨箕,近地铁 VR看装修 房本满两年,2,22,3室1厅,99.8平米,东,简装,高楼层(共31层),塔楼,,8000000.0,80161
区庄村精装修三房，可领包入住，交通生活便利,区庄村 ,黄花岗,VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,61.91平米,南,精装,中楼层(共9层),塔楼,1990年,2520000.0,40705
商品满五不唯一，电梯组织中，花园小区，安静,金羊花园 ,杨箕,近地铁 VR看装修 房本满五年,9,10个月以前发布,3室2厅,91.79平米,南北,简装,高楼层(共9层),塔楼,2000年,5360000.0,58395
纪念堂旁边，加装平层电梯，精品装修，正规三房,解放北路(越秀区) ,解放北,VR看装修 房本满五年,2,11个月以前发布,3室2厅,85.08平米,东西北,其他,中楼层(共7层),塔楼,1990年,3880000.0,45605
丽苑大厦 原装电梯 精装修两房自住 安静 保养采光好,丽苑大厦(越秀区) ,东川路,近地铁 VR房源 房本满五年,33,6个月以前发布,2室1厅,78.45平米,东,精装,高楼层(共17层),塔楼,1998年,3300000.0,42066
华侨乐园 东南向两房 业主急出 有K随时看楼,华侨乐园 ,淘金,近地铁 VR房源 房本满五年,5,8个月以前发布,2室1厅,75.55平米,东南,简装,低楼层(共26层),塔楼,1995年,2980000.0,39445
东风西范围 满五唯一 中层单位 安静近公园 低层邻医院,盘福路 ,盘福,近地铁 VR房源 房本满五年,1,2个月以前发布,2室1厅,52.27平米,南西,精装,中楼层(共9层),塔楼,,1800000.0,34437
入省东风西 离纪念堂地铁站200米 南北对流,解放北路(越秀区) ,解放北,近地铁 VR房源 房本满两年 随时看房,8,一年前发布,3室1厅,37.02平米,南北,精装,中楼层(共7层),塔楼,,1330000.0,35927
天河龙岗院子管理电梯刚需小三房安静不吵,水荫路 ,水荫,近地铁 VR看装修 房本满五年,5,5个月以前发布,3室1厅,67.08平米,东南,简装,高楼层(共8层),塔楼,,1880000.0,28027
东兴小区 封闭式管理 小区环境安静 东南向,东兴小区 ,五羊新城,近地铁 VR看装修 房本满五年,1,4个月以前发布,3室2厅,76.2平米,东南,其他,低楼层(共9层),塔楼,1995年,3600000.0,47245
建设二马路有位置加装电梯 一房一厅 户型方正南北对流,建设二马路 ,建设路,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,1室1厅,39.86平米,南北,简装,中楼层(共7层),板楼,,1300000.0,32615
华侨乐园 南向安静 大三房 户型好 装修靓,华侨乐园 ,淘金,近地铁 VR看装修 房本满五年 随时看房,32,一年前发布,3室2厅,129平米,西南,精装,低楼层(共18层),塔楼,1995年,5300000.0,41086
黄花岗 先烈中路 环市东路 电梯框架两房,环市东路 ,环市东,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,77.28平米,南,精装,中楼层(共9层),塔楼,,2900000.0,37526
东南向电梯两房，安静舒适，通风采光好,东方花苑 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,5,3个月以前发布,2室1厅,74.04平米,东南,简装,高楼层(共9层),塔楼,1999年,3540000.0,47812
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),塔楼,,3900000.0,60862
大院管理 原小北 加装电梯平层 实用率92% 全明布局,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,5个月以前发布,3室1厅,99.63平米,东南北,精装,高楼层(共9层),塔楼,1993年,6480000.0,65041
环球广场 有独立卫生间 西门口单间 全新装修家私免费,环球广场 ,西华路,近地铁 房本满两年,2,10个月以前发布,1室1厅,29.01平米,东,精装,高楼层(共15层),塔楼,,500000.0,17236
署前小大院环境管理，安静东南向楼层好全明屋采光很好,教工新村 ,东山口,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室1厅,51.34平米,东南南,精装,低楼层(共8层),塔楼,1996年,3400000.0,66226
采光通风好 交通便利 配套成熟 环境优美,解放中路 ,公园前,近地铁 VR看装修 房本满五年 随时看房,12,4个月以前发布,2室1厅,32.65平米,南西南,简装,高楼层(共9层),塔楼,,690000.0,21134
中楼层 南向 格局方正 交通便利,大新路 ,解放南,近地铁 VR看装修 房本满五年,1,1个月以前发布,4室1厅,78.26平米,南,简装,中楼层(共9层),塔楼,,1990000.0,25429
西门口九年升知Y舒适独立大院采光好一梯两户,净慧路 ,西门口,近地铁 VR房源 房本满五年 随时看房,8,7个月以前发布,2室1厅,53.1平米,东,简装,中楼层(共8层),塔楼,,1180000.0,22223
原装电梯楼高层楼龄新视野好方正实用采光好交通便利,金湾畔大厦 ,越秀南,VR看装修 房本满五年,0,1个月以前发布,1室1厅,47.17平米,北,精装,高楼层(共41层),塔楼,2009年,2250000.0,47700
交通方便，配套成熟，生活便利，大院管理,水荫路 ,水荫,近地铁 VR看装修 房本满五年,3,10个月以前发布,3室1厅,92.76平米,东西,其他,高楼层(共9层),塔楼,1990年,3100000.0,33420
此房是住宅性质  原装电梯 高层视野开阔 交通便捷,广东国际大厦 ,淘金,近地铁 VR看装修 房本满五年,2,18,3室2厅,158.02平米,东东南南,精装,中楼层(共35层),塔楼,1990年,5500000.0,34806
朝天 商品房，石米框架 顶楼带天台，细积总j低,朝天路 ,西门口,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,2室1厅,37.4平米,东,简装,高楼层(共9层),塔楼,,1120000.0,29947
寺右二马路精装带主套南向三房 配套成熟 交通方便,寺右二马路 ,五羊新城,近地铁 VR看装修 房本满五年,3,9个月以前发布,3室1厅,76.02平米,南北,其他,低楼层(共9层),塔楼,1989年,3480000.0,45778
此房满五不唯一，采光通风好，楼层不错，业主诚心放卖,保利麓苑 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,3室1厅,93.61平米,东北,精装,低楼层(共33层),塔楼,,5600000.0,59823
原装电梯房 位置安静 南北向 楼龄新 朝阳社区 精装修,文德路 ,北京路,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,29.8平米,南,其他,中楼层(共13层),塔楼,,1050000.0,35235
纪念堂旁边，加装平层电梯，精品装修，正规三房,解放北路(越秀区) ,解放北,VR看装修 房本满五年,2,11个月以前发布,3室2厅,85.08平米,东西北,其他,中楼层(共7层),塔楼,1990年,3880000.0,45605
商品满五不唯一，电梯组织中，花园小区，安静,金羊花园 ,杨箕,近地铁 VR看装修 房本满五年,9,10个月以前发布,3室2厅,91.79平米,南北,简装,高楼层(共9层),塔楼,2000年,5360000.0,58395
省府旁省一级小北本bu+越秀公园天然氧吧+精装三房,应元路 ,小北,VR看装修 房本满五年 随时看房,3,9个月以前发布,3室2厅,76.03平米,东南,简装,低楼层(共6层),板楼,,3830000.0,50375
都府小区 广中路校址 两房 框架 过五唯一,都府社区 ,公园前,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,2室1厅,32.02平米,北,其他,中楼层(共9层),塔楼,1998年,1300000.0,40600
湖滨苑 低楼层 实用两房 有钥匙随时看房,湖滨小区 ,东湖,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,2室1厅,48.2平米,南,简装,中楼层(共6层),塔楼,,1720000.0,35685
区庄村精装修三房，可领包入住，交通生活便利,区庄村 ,黄花岗,VR看装修 房本满五年 随时看房,5,4个月以前发布,3室1厅,61.91平米,南,精装,中楼层(共9层),塔楼,1990年,2520000.0,40705
天河龙岗院子管理电梯刚需小三房安静不吵,水荫路 ,水荫,近地铁 VR看装修 房本满五年,5,5个月以前发布,3室1厅,67.08平米,东南,简装,高楼层(共8层),塔楼,,1880000.0,28027
东兴小区 封闭式管理 小区环境安静 东南向,东兴小区 ,五羊新城,近地铁 VR看装修 房本满五年,1,4个月以前发布,3室2厅,76.2平米,东南,其他,低楼层(共9层),塔楼,1995年,3600000.0,47245
东风西范围 满五唯一 中层单位 安静近公园 低层邻医院,盘福路 ,盘福,近地铁 VR房源 房本满五年,1,2个月以前发布,2室1厅,52.27平米,南西,精装,中楼层(共9层),塔楼,,1800000.0,34437
华侨乐园 东南向两房 业主急出 有K随时看楼,华侨乐园 ,淘金,近地铁 VR房源 房本满五年,5,8个月以前发布,2室1厅,75.55平米,东南,简装,低楼层(共26层),塔楼,1995年,2980000.0,39445
入省东风西 离纪念堂地铁站200米 南北对流,解放北路(越秀区) ,解放北,近地铁 VR房源 房本满两年 随时看房,8,一年前发布,3室1厅,37.02平米,南北,精装,中楼层(共7层),塔楼,,1330000.0,35927
共和西小区 3室1厅 东,共和西小区 ,杨箕,近地铁 VR看装修 房本满两年,2,22,3室1厅,99.8平米,东,简装,高楼层(共31层),塔楼,,8000000.0,80161
丽苑大厦 原装电梯 精装修两房自住 安静 保养采光好,丽苑大厦(越秀区) ,东川路,近地铁 VR房源 房本满五年,33,6个月以前发布,2室1厅,78.45平米,东,精装,高楼层(共17层),塔楼,1998年,3300000.0,42066
大院管理 原小北 加装电梯平层 实用率92% 全明布局,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,5个月以前发布,3室1厅,99.63平米,东南北,精装,高楼层(共9层),塔楼,1993年,6480000.0,65041
建设二马路有位置加装电梯 一房一厅 户型方正南北对流,建设二马路 ,建设路,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,1室1厅,39.86平米,南北,简装,中楼层(共7层),板楼,,1300000.0,32615
旧部qian 中层南北对流近地铁通风采光充,大新路 ,解放南,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,45.03平米,南,简装,中楼层(共8层),暂无数据,,1300000.0,28870
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),塔楼,,3900000.0,60862
黄花岗 先烈中路 环市东路 电梯框架两房,环市东路 ,环市东,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,77.28平米,南,精装,中楼层(共9层),塔楼,,2900000.0,37526
东山培正，电梯平层实用三房，全明屋，框架结构,东华东路 ,东川路,近地铁 VR看装修 房本满五年,2,3个月以前发布,3室1厅,64.08平米,东北,其他,中楼层(共9层),塔楼,,3900000.0,60862
建设二马路有位置加装电梯 一房一厅 户型方正南北对流,建设二马路 ,建设路,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,1室1厅,39.86平米,南北,简装,中楼层(共7层),板楼,,1300000.0,32615
大院管理 原小北 加装电梯平层 实用率92% 全明布局,小北路 ,小北,近地铁 VR看装修 房本满五年 随时看房,8,5个月以前发布,3室1厅,99.63平米,东南北,精装,高楼层(共9层),塔楼,1993年,6480000.0,65041
旧部qian 中层南北对流近地铁通风采光充,大新路 ,解放南,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,45.03平米,南,简装,中楼层(共8层),暂无数据,,1300000.0,28870
永福西约高层视野开阔采光通风好交通便利安全安静,永福路永福西约 ,黄花岗,近地铁 VR看装修 房本满五年,6,一年前发布,2室1厅,45.25平米,西南,简装,高楼层(共9层),塔楼,1995年,1630000.0,36023
黄田小区，邻近麓湖，低层两房，安静，房改,黄田小区 ,麓景,近地铁 VR房源 房本满五年 随时看房,16,一年前发布,2室1厅,59.2平米,东西,简装,低楼层(共9层),塔楼,1988年,1700000.0,28717
淘金路 电梯精装好房 一梯两户南北对流采光好　双阳台,淘金路 ,淘金,VR看装修 房本满五年 随时看房,4,一年前发布,2室1厅,65.78平米,南北,精装,中楼层(共9层),塔楼,1990年,3300000.0,50168
水荫直街 东南巷 小户型 有电梯,水荫直街 ,水荫,近地铁 VR看装修 房本满五年 随时看房,0,4个月以前发布,2室1厅,55.58平米,南,精装,高楼层(共8层),塔楼,1992年,2280000.0,41022
中山一路 低楼层 南北对流安静两房,中山一路 ,东风东,近地铁 VR看装修 房本满两年 随时看房,5,5个月以前发布,2室1厅,63.5平米,南北,精装,低楼层(共8层),塔楼,,2690000.0,42363
农林东路 一手业主 原装电梯 全明四房 安静光线好,农林东路 ,东山口,近地铁 VR房源 房本满五年 随时看房,101,一年前发布,4室2厅,172.45平米,南,简装,低楼层(共10层),塔楼,,8500000.0,49290
站西路 小两房 刚需上车 户型方正 采光通透,站西路 ,流花站前,近地铁 VR看装修 房本满五年,1,4个月以前发布,2室1厅,54.09平米,南,简装,中楼层(共7层),塔楼,,1200000.0,22186
淘金路 东南向 三房两厅 大院管理,淘金路 ,淘金,VR看装修 房本满五年,1,12,3室2厅,104.89平米,东南,简装,中楼层(共9层),塔楼,1996年,3600000.0,34322
火车头大院里 三房带储物间 新加电梯高层 精装修,东园新村 ,东山口,近地铁 VR看装修 房本满五年 随时看房,9,4个月以前发布,3室1厅,88.94平米,南北,精装,高楼层(共7层),板楼,,5200000.0,58467
房子大院管理+户型实用+南向厅出阳台+采光通风好,淘金路 ,淘金,近地铁 VR看装修 房本满两年,5,一年前发布,2室1厅,60.36平米,南,简装,中楼层(共9层),塔楼,1992年,2770000.0,45892
华侨乐园 南向安静 大三房 户型好 装修靓,华侨乐园 ,淘金,近地铁 VR看装修 房本满五年 随时看房,32,一年前发布,3室2厅,129平米,西南,精装,低楼层(共18层),塔楼,1995年,5300000.0,41086
诗书路  加装电梯平层  两房一厅  西北向,诗书路 ,人民路,近地铁 VR房源 房本满五年,10,11个月以前发布,2室1厅,52.37平米,东,简装,低楼层(共9层),塔楼,,1340000.0,25588
东南向电梯两房，安静舒适，通风采光好,东方花苑 ,杨箕,近地铁 VR看装修 房本满五年 随时看房,5,3个月以前发布,2室1厅,74.04平米,东南,简装,高楼层(共9层),塔楼,1999年,3540000.0,47812
黄花岗 先烈中路 环市东路 电梯框架两房,环市东路 ,环市东,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,77.28平米,南,精装,中楼层(共9层),塔楼,,2900000.0,37526
省级东川 品质小区 南向大阳台 业主诚心出,体委大院 ,东川路,VR房源 房本满五年 随时看房,1,9个月以前发布,2室2厅,69.03平米,东南,简装,中楼层(共8层),塔楼,1993年,3500000.0,50703
海印大厦  大两房  户型方正实用 看房方便,海印大厦 ,东湖,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室1厅,79.1平米,南,其他,中楼层(共29层),塔楼,2001年,3900000.0,49305
东南西向两房，房改实用高，六榕路模范社区,六榕路 ,西门口,VR房源 房本满五年 随时看房,0,4个月以前发布,2室1厅,57.19平米,东南西,其他,中楼层(共7层),塔楼,,1450000.0,25355
东湖板块南向精装两房户型方正看房提前预约,大沙头路 ,东湖,近地铁 VR看装修 房本满五年,0,2个月以前发布,2室1厅,35.7平米,南,精装,中楼层(共9层),塔楼,1992年,1550000.0,43418
越秀区 公园前 户型方正  带大阳台,解放中路 ,公园前,VR看装修 随时看房,0,23,2室1厅,53.79平米,东南,简装,高楼层(共8层),塔楼,,1150000.0,21380
越瑞大厦电梯全明3房带阳台户型方正31000/平,越瑞大厦 ,人民路,VR看装修 房本满五年,1,1个月以前发布,3室1厅,85.63平米,西南,简装,高楼层(共18层),塔楼,2000年,2670000.0,31181
东华东 电梯三房 一梯两户 南北对流 装修新净,东华东路 ,东川路,近地铁 VR看装修 房本满五年,1,17,3室1厅,77.8平米,南北,精装,中楼层(共9层),塔楼,,3680000.0,47301
电梯平层，南向一房，马赛克外墙，小户型上车,德政北路 ,农讲所,近地铁 VR房源 房本满五年 随时看房,0,16,1室0厅,24.31平米,南,精装,高楼层(共9层),塔楼,,738000.0,30358
农讲所社区旺中带静加装电梯大三房 南北向使用率高,中山四路 ,公园前,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,85.07平米,南北,毛坯,中楼层(共9层),塔楼,2003年,3550000.0,41731
东环路电梯南向三房，位置安静，南北对流，框架结构,东环路6号大院 ,环市东,近地铁 VR看装修 房本满五年 随时看房,4,2个月以前发布,3室2厅,97.85平米,南北,简装,中楼层(共9层),塔楼,1998年,5600000.0,57231
西门品大院管理 平层电梯 视野开阔 20方平台,纸行路 ,西门口,近地铁 VR看装修 房本满五年,0,5个月以前发布,2室1厅,70.61平米,北,简装,中楼层(共9层),塔楼,,2250000.0,31866
公园前地铁 人民公园旁边 一梯一户 带大天台四面单边,中山五路 ,公园前,近地铁 VR看装修 房本满五年,11,6个月以前发布,3室1厅,67.32平米,东南西北,简装,高楼层(共6层),板楼,,2350000.0,34908
淘金路 电梯精装好房 一梯两户南北对流采光好　双阳台,淘金路 ,淘金,VR看装修 房本满五年 随时看房,4,一年前发布,2室1厅,65.78平米,南北,精装,中楼层(共9层),1990年,塔楼,3300000.0,50168
农林东路 一手业主 原装电梯 全明四房 安静光线好,农林东路 ,东山口,近地铁 VR房源 房本满五年 随时看房,101,一年前发布,4室2厅,172.45平米,南,简装,低楼层(共10层),,塔楼,8500000.0,49290
永福西约高层视野开阔采光通风好交通便利安全安静,永福路永福西约 ,黄花岗,近地铁 VR看装修 房本满五年,6,一年前发布,2室1厅,45.25平米,西南,简装,高楼层(共9层),1995年,塔楼,1630000.0,36023
火车头大院里 三房带储物间 新加电梯高层 精装修,东园新村 ,东山口,近地铁 VR看装修 房本满五年 随时看房,9,4个月以前发布,3室1厅,88.94平米,南北,精装,高楼层(共7层),,板楼,5200000.0,58467
黄田小区，邻近麓湖，低层两房，安静，房改,黄田小区 ,麓景,近地铁 VR房源 房本满五年 随时看房,16,一年前发布,2室1厅,59.2平米,东西,简装,低楼层(共9层),1988年,塔楼,1700000.0,28717
水荫直街 东南巷 小户型 有电梯,水荫直街 ,水荫,近地铁 VR看装修 房本满五年 随时看房,0,4个月以前发布,2室1厅,55.58平米,南,精装,高楼层(共8层),1992年,塔楼,2280000.0,41022
电梯平层，南向一房，马赛克外墙，小户型上车,德政北路 ,农讲所,近地铁 VR房源 房本满五年 随时看房,0,16,1室0厅,24.31平米,南,精装,高楼层(共9层),,塔楼,738000.0,30358
农讲所社区旺中带静加装电梯大三房 南北向使用率高,中山四路 ,公园前,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,85.07平米,南北,毛坯,中楼层(共9层),2003年,塔楼,3550000.0,41731
