标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
海湾一号精装花园洋房，通风采光很好，业主诚心放卖,碧桂园海湾1号 ,南沙港,VR看装修 房本满五年 随时看房,0,4个月以前发布,3室2厅,99.57平米,南,精装,低楼层(共17层),,塔楼,1450000.0,14563
中间楼层视野好 三房一卫 全新未入住,时代香海彼岸 ,南沙湾,近地铁 VR看装修 随时看房,1,一年前发布,3室2厅,87.02平米,北,其他,中楼层(共32层),,塔楼,1380000.0,15859
中海熙园 3室2厅 东北,中海熙园 ,东涌,VR看装修 房本满两年 随时看房,0,6,3室2厅,89.78平米,东北,精装,中楼层(共22层),,塔楼,1750000.0,19493
南沙医谷旁 南向两房高楼层 ，视野景观开阔，光线充足,珠江源昌花园 ,横沥,VR看装修 房本满五年 随时看房,1,2个月以前发布,2室1厅,79.66平米,东南,其他,高楼层(共27层),,塔楼,780000.0,9792
南沙碧桂园天玺湾全屋定制拎包入住东南向单边位三房,碧桂园天玺湾 ,进港大道,VR看装修 房本满五年 随时看房,0,28,3室2厅,93平米,南,其他,低楼层(共30层),2014年,板塔结合,1450000.0,15592
户型方正 空间开阔 交通便利 配套完善,南沙城 ,金洲,房本满五年,0,4个月以前发布,1室0厅,43.35平米,北,精装,中楼层(共18层),2013年,塔楼,300000.0,6921
逸涛雅苑3房，蕉门河旁一楼带50平花园,逸涛雅苑 ,进港大道,VR房源 房本满五年,3,一年前发布,3室1厅,69.55平米,南北,简装,低楼层(共6层),,塔楼,1010000.0,14522
地铁口丰庭花园 南北对流实用三房 大阳台 采光通风好,丰庭花园 ,金洲,VR房源 房本满五年 随时看房,8,1个月以前发布,3室1厅,89.98平米,南北,精装,高楼层(共11层),2005年,板楼,1060000.0,11781
距离金洲地铁站800米的次新住宅小区，业主急卖急卖,通大旭日园 ,金洲,VR看装修 随时看房,0,4个月以前发布,2室2厅,86.42平米,西南,精装,低楼层(共24层),,塔楼,1300000.0,15043
金州商圈  蕉门河景在家门口  生活舒适惬意,南沙云山诗意 ,金洲,VR房源 房本满五年 随时看房,3,一年前发布,3室2厅,101.99平米,北,简装,中楼层(共18层),2014年,塔楼,1750000.0,17159
越秀滨海新城一楼复式6房 少有户型 无欠款 看房方便,越秀滨海新城 ,进港大道,VR房源 房本满五年 随时看房,5,6个月以前发布,6室2厅,109.5平米,南,精装,低楼层(共34层),,塔楼,2500000.0,22832
南沙自贸区金州繁华商圈，户型方正,南沙大都汇 ,金洲,房本满五年 随时看房,172,一年前发布,2室1厅,68.95平米,南,精装,中楼层(共28层),,板塔结合,436000.0,6324
阳光城悦然府正南向交房全新未住诚心卖,阳光城悦然府 ,进港大道,VR看装修 房本满两年 随时看房,0,3个月以前发布,3室2厅,83.94平米,南,精装,低楼层(共33层),2020年,塔楼,1450000.0,17275
越秀滨海新城 3室1厅 南,越秀滨海新城 ,进港大道,VR房源 房本满两年 随时看房,8,3个月以前发布,3室1厅,97平米,南,其他,高楼层(共34层),2019年,塔楼,1320000.0,13609
金洲地铁口旁丰庭花园南北对流两房业主诚心卖无抵押,丰庭花园 ,金洲,VR房源 房本满五年 随时看房,19,9个月以前发布,2室1厅,82.84平米,南北,精装,中楼层(共8层),2005年,板楼,820000.0,9899
越秀滨海新城 4室1厅 南,越秀滨海新城 ,进港大道,VR房源 房本满两年 随时看房,1,1个月以前发布,4室1厅,105.49平米,南,精装,低楼层(共34层),,塔楼,1650000.0,15642
采光充足，电梯高楼层，通风好。,保利星满花园 ,榄核镇,VR看装修 房本满两年,0,一年前发布,3室2厅,104.14平米,南,精装,中楼层(共32层),,塔楼,1620000.0,15556
全新未住 格局方正 看园区景观好 业主含泪出,南沙保利南怡湾 ,黄阁,VR房源 房本满五年 随时看房,14,8个月以前发布,2室1厅,66.13平米,东北,精装,中楼层(共28层),,塔楼,790000.0,11947
此房满二毛坯南北通透，可自行设计装修，星河品质小区,星河山海湾 ,南沙港,近地铁 VR房源 房本满五年 随时看房,3,3个月以前发布,4室2厅,134.35平米,南北,毛坯,低楼层(共29层),,塔楼,2600000.0,19353
南沙湾东苑 3室1厅 东,南沙湾东苑 ,南沙港,VR看装修 房本满五年,0,1个月以前发布,3室1厅,112.62平米,东,精装,低楼层(共26层),2011年,板塔结合,2100000.0,18647
两房客户可以看看 兰庭精装保养南向两房,广晟海韵兰庭 ,进港大道,VR房源 房本满五年 随时看房,0,5个月以前发布,2室2厅,79.74平米,南,精装,中楼层(共18层),2012年,塔楼,1000000.0,12541
阳光城澜悦，精装修小三房，保养好，有全屋定制,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,1,2个月以前发布,3室2厅,86.89平米,南,精装,中楼层(共33层),,塔楼,1450000.0,16688
南沙湾东苑3+1房两卫，毛胚格局方正实用，带车位,南沙湾东苑 ,南沙港,VR看装修 随时看房,118,3个月以前发布,4室2厅,139.26平米,东南,毛坯,低楼层(共19层),2017年,板塔结合,2100000.0,15080
南向看山，大阳台舒适安静，保养好,南沙碧桂园 ,金洲,VR房源 房本满五年,1,2个月以前发布,2室2厅,90.15平米,南,其他,中楼层(共18层),2007年,板塔结合,1050000.0,11648
丰庭花园南北对流三房一卫业主诚心卖,丰庭花园 ,金洲,VR看装修 房本满五年 随时看房,1,3个月以前发布,3室2厅,92.88平米,南北,精装,中楼层(共10层),2005年,板楼,1050000.0,11305
：房子满五唯一税费少 房子一楼带hua园 203方,南沙碧桂园 ,金洲,VR看装修 房本满五年 随时看房,1,7个月以前发布,3室1厅,89.25平米,南,精装,低楼层(共6层),2007年,板塔结合,1980000.0,22185
森林公园内的  方正实用2卫3房 值得一看,星河丹堤 ,金洲,VR看装修 房本满五年 随时看房,7,9个月以前发布,3室2厅,120.53平米,东南,精装,低楼层(共18层),2021年,塔楼,1920000.0,15930
地铁口近、户型方正大三房、采光好、独立门口,南沙保利城 ,黄阁,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室2厅,104.62平米,南,精装,中楼层(共32层),2017年,塔楼,1280000.0,12235
正南朝向 三开间朝南 中间楼层 随时可以看房,富力伯爵山 ,南沙港,VR看装修 房本满五年 随时看房,0,3个月以前发布,2室2厅,86.95平米,南,精装,中楼层(共11层),,塔楼,1000000.0,11501
南沙金洲板块，装修好，三房，近商场。,越秀滨海悦城 ,金洲,VR房源 房本满五年,0,15,3室1厅,119.59平米,南,精装,高楼层(共31层),,塔楼,2295000.0,19191
南沙区府  龙光棕榈水岸 环境好 保养好望花园 安静,龙光棕榈水岸北区 ,南沙区府,VR看装修 房本满五年,1,1个月以前发布,3室2厅,108平米,东北,精装,中楼层(共17层),,塔楼,1650000.0,15278
自住标准装修 个性化设计 全屋定制 新颖风格复式单位,保利半岛南地块 ,黄阁,VR房源 房本满两年 随时看房,3,7个月以前发布,4室2厅,100.73平米,东北,精装,中楼层(共19层),,板塔结合,2560000.0,25415
富力伯爵山 小区环境优美 南向采光好 看房随时 唯一,富力伯爵山 ,南沙港,VR看装修 房本满两年,0,1个月以前发布,3室2厅,132.41平米,东南,精装,低楼层(共11层),,塔楼,1380000.0,10423
金洲地段，配套成熟，房子新装修4年保养好随时可看！,海棠花园(南沙) ,进港大道,VR房源 房本满五年 随时看房,1,1个月以前发布,3室2厅,86.37平米,北,简装,低楼层(共13层),,板塔结合,870000.0,10073
一线江景夜景 洁净如新诚让 附全屋家具电器拎包入住,富力天海湾 ,明珠湾,VR看装修 房本满五年,4,5个月以前发布,3室2厅,97.19平米,南,其他,中楼层(共31层),,塔楼,1430000.0,14714
南北对流，户型方正实用，看湖，空气好,星河丹堤 ,金洲,VR房源 房本满五年 随时看房,1,19,3室1厅,143.19平米,南北,毛坯,10层,,塔楼,1980000.0,13828
滨海御城稀有户型 小区中间位安静 保养好 带产权车位,越秀滨海御城 ,金洲,VR房源 房本满五年 随时看房,0,5个月以前发布,4室2厅,124.95平米,南,精装,中楼层(共32层),,塔楼,3000000.0,24010
十八号地铁 舒适三房两卫 户型好 无遮挡视野,中国铁建海悦国际 ,万顷沙,VR看装修 房本满两年,0,6,3室1厅,96平米,南,精装,中楼层(共30层),,塔楼,1500000.0,15625
南北对流高楼层，通风采光佳，生活出入方便,南沙境界 ,黄阁,VR看装修 房本满五年 随时看房,1,8个月以前发布,4室2厅,118.2平米,东北,精装,高楼层(共22层),2013年,板塔结合,1500000.0,12691
碧桂园豪庭 中间楼层 金洲地铁金隆  满五 无抵押,南沙碧桂园豪庭 ,金洲,VR看装修 房本满五年 随时看房,0,2个月以前发布,2室2厅,79.75平米,东北,精装,中楼层(共18层),2014年,塔楼,1180000.0,14797
时代云图 地铁口 东南向，通透户型，采光好，很安静,时代云图 ,金洲,VR看装修 房本满两年 随时看房,2,5个月以前发布,3室2厅,83.8平米,东南南,精装,低楼层(共31层),2016年,塔楼,1500000.0,17900
高层江景南北对流四房业主含泪割肉.,金科博翠明珠 ,明珠湾,VR看装修 随时看房,1,2个月以前发布,4室2厅,107.31平米,西南,精装,高楼层(共19层),,塔楼,3200000.0,29821
南沙湾星河大盘  近地铁  业主诚意,星河山海湾 ,南沙港,近地铁 VR房源 房本满两年 随时看房,11,8个月以前发布,3室1厅,88.34平米,东,毛坯,中楼层(共33层),,塔楼,1488000.0,16845
越秀滨海御城近满五年地铁口高层大三房视野开阔,越秀滨海御城 ,金洲,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,94.93平米,北,精装,高楼层(共32层),,塔楼,1780000.0,18751
南沙奥园 2室1厅 南,南沙奥园 ,南沙湾,近地铁 VR看装修 房本满五年,4,2个月以前发布,2室1厅,78平米,南,其他,中楼层(共7层),2012年,塔楼,800000.0,10257
滨海隽城 南北对流户型 通风好 业主诚心出,越秀滨海隽城 ,金洲,VR看装修 房本满五年,6,5个月以前发布,3室2厅,117.24平米,南北,精装,低楼层(共18层),2012年,塔楼,1800000.0,15354
阳光城丽景湾·澜悦 4室2厅 南 西南,阳光城丽景湾·澜悦 ,进港大道,VR房源 房本满两年,2,1个月以前发布,4室2厅,104.82平米,南西南,其他,中楼层(共33层),,塔楼,2020000.0,19272
两房客户可以看看 兰庭精装保养南向两房,广晟海韵兰庭 ,进港大道,VR房源 房本满五年 随时看房,0,5个月以前发布,2室2厅,79.74平米,南,精装,中楼层(共18层),2012年,塔楼,1000000.0,12541
南向看山，大阳台舒适安静，保养好,南沙碧桂园 ,金洲,VR房源 房本满五年,1,2个月以前发布,2室2厅,90.15平米,南,其他,中楼层(共18层),2007年,板塔结合,1050000.0,11648
：房子满五唯一税费少 房子一楼带hua园 203方,南沙碧桂园 ,金洲,VR看装修 房本满五年 随时看房,1,7个月以前发布,3室1厅,89.25平米,南,精装,低楼层(共6层),2007年,板塔结合,1980000.0,22185
丰庭花园南北对流三房一卫业主诚心卖,丰庭花园 ,金洲,VR看装修 房本满五年 随时看房,1,3个月以前发布,3室2厅,92.88平米,南北,精装,中楼层(共10层),2005年,板楼,1050000.0,11305
南沙自贸区金州繁华商圈，户型方正,南沙大都汇 ,金洲,房本满五年 随时看房,172,一年前发布,2室1厅,68.95平米,南,精装,中楼层(共28层),,板塔结合,436000.0,6324
阳光城澜悦，精装修小三房，保养好，有全屋定制,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,1,2个月以前发布,3室2厅,86.89平米,南,精装,中楼层(共33层),,塔楼,1450000.0,16688
越秀滨海新城 4室1厅 南,越秀滨海新城 ,进港大道,VR房源 房本满两年 随时看房,1,1个月以前发布,4室1厅,105.49平米,南,精装,低楼层(共34层),,塔楼,1650000.0,15642
越秀滨海御城 3房2卫 南向 看花园 楼距宽 视野好,越秀滨海御城 ,金洲,VR房源 房本满五年 随时看房,12,9个月以前发布,3室1厅,107.98平米,南,精装,低楼层(共32层),2013年,塔楼,2200000.0,20375
户型方正实用，刚需好选择，自住出租皆宜,南沙境界 ,黄阁,VR房源 房本满五年,0,一年前发布,2室1厅,75.2平米,北,其他,中楼层(共17层),2013年,板塔结合,780000.0,10373
横沥18号线，中山医旁，云水雅苑,云水雅苑 ,横沥,VR看装修 房本满两年 随时看房,6,一年前发布,3室2厅,106.23平米,南北,简装,低楼层(共17层),,塔楼,1280000.0,12050
森林公园内的  方正实用2卫3房 值得一看,星河丹堤 ,金洲,VR看装修 房本满五年 随时看房,7,9个月以前发布,3室2厅,120.53平米,东南,精装,低楼层(共18层),2021年,塔楼,1920000.0,15930
高层视野好，南北对流格局，户型方正，毛坯房可塑性。,越秀滨海悦城 ,金洲,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室2厅,117.13平米,南,精装,高楼层(共31层),2013年,塔楼,2050000.0,17502
金洲地铁口南向三房 带车位 景观视野漂亮,越秀滨海御城 ,金洲,VR看装修 房本满两年 随时看房,2,7个月以前发布,3室2厅,107.98平米,南,精装,低楼层(共32层),2013年,塔楼,2580000.0,23894
金洲地铁口旁丰庭花园南北对流两房业主诚心卖无抵押,丰庭花园 ,金洲,VR房源 房本满五年 随时看房,19,9个月以前发布,2室1厅,82.84平米,南北,精装,中楼层(共8层),2005年,板楼,820000.0,9899
越秀滨海新城 3室1厅 南,越秀滨海新城 ,进港大道,VR房源 房本满两年 随时看房,8,3个月以前发布,3室1厅,97平米,南,其他,高楼层(共34层),2019年,塔楼,1320000.0,13609
阳光城悦然府正南向交房全新未住诚心卖,阳光城悦然府 ,进港大道,VR看装修 房本满两年 随时看房,0,3个月以前发布,3室2厅,83.94平米,南,精装,低楼层(共33层),2020年,塔楼,1450000.0,17275
采光充足，电梯高楼层，通风好。,保利星满花园 ,榄核镇,VR看装修 房本满两年,0,一年前发布,3室2厅,104.14平米,南,精装,中楼层(共32层),,塔楼,1620000.0,15556
中高楼层，精装修，明亮，光线好，间格实用的二房单位,新玥花园 ,榄核镇,VR房源 房本满五年 随时看房,0,23,2室1厅,75.7平米,南,简装,高楼层(共30层),,塔楼,880000.0,11625
