标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
此房满五，业主一直自住，楼层好，采光好，视野开阔,时代糖果三期 ,金沙洲,VR看装修 房本满五年,2,3个月以前发布,2室2厅,77平米,东东南,精装,中楼层(共18层),,塔楼,1060000.0,13767
金名都西区近大门中楼层南向两卫三房,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,19,3室2厅,91.16平米,东南,精装,45层,2017年,板塔结合,2000000.0,21940
时代水岸 改善4房  高楼层电梯 视野好 户型方正,时代水岸二期 ,金沙洲,VR看装修 房本满两年,0,16,4室2厅,127.21平米,北南,精装,高楼层(共33层),2019年,塔楼,2860000.0,22483
万科四季花城 电梯两房 南向实用户型 近广州,万科四季花城俪姗美筑 ,金沙洲,VR看装修 房本满五年,1,17,2室2厅,71.19平米,南,精装,中楼层(共23层),2008年,塔楼,990000.0,13907
御景湾一线望江2房 东向 高层视野 满5唯一无贷款,恒大御景湾 ,金沙洲,VR看装修 房本满五年,2,3个月以前发布,2室2厅,93.15平米,东,精装,高楼层(共58层),,塔楼,1570000.0,16855
此房满五唯一，视野宽阔，采光充足，配套设施齐全,恒大御景湾 ,金沙洲,VR看装修 随时看房,0,一年前发布,2室2厅,89平米,西南,精装,低楼层(共32层),,板塔结合,1470000.0,16517
岐海苑 位置安静 户型方正 电梯中高层望花园,岐海苑 ,金沙洲,VR看装修,0,1个月以前发布,3室2厅,105.61平米,南,简装,中楼层(共15层),,塔楼,1700000.0,16097
降价诚售，户型好易改善靓居，过五,时代糖果三期 ,金沙洲,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室2厅,88.28平米,东北,精装,高楼层(共18层),,塔楼,1350000.0,15293
业主急售 高层望江 房子保养好 产权清晰,时代水岸二期 ,金沙洲,VR看装修 房本满五年,2,6个月以前发布,3室2厅,95.08平米,西北,精装,中楼层(共49层),,塔楼,2180000.0,22929
花园中大三房  保养好  满五唯一,时代糖果三期 ,金沙洲,VR看装修 房本满五年,0,3个月以前发布,3室2厅,114.79平米,东南,精装,低楼层(共18层),,板塔结合,1600000.0,13939
万科四季花城 南向情景洋房 带天台大花园 证过5唯一,万科四季花城天竹轩 ,金沙洲,VR房源 房本满五年 随时看房,3,6个月以前发布,3室2厅,79.88平米,东南,精装,高楼层(共5层),,塔楼,1580000.0,19780
过五不唯一，看房方便，东南向入户有个大的阳台,万科四季花城云山美筑 ,金沙洲,VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,106.41平米,东南,精装,低楼层(共18层),,塔楼,1630000.0,15319
精装3房，望小区园林景观，看房方便，可以小刀,万科四季花城蔷薇苑 ,金沙洲,VR看装修 房本满五年 随时看房,9,一年前发布,3室1厅,87.4平米,东北,精装,中楼层(共6层),,板楼,1450000.0,16591
恒大御景半岛小区 环江而立 环境绿化好 全区温馨,恒大御景半岛 ,金沙洲,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,96.8平米,东南,精装,中楼层(共31层),,塔楼,1980000.0,20455
此价包含车位 C区入户花园4房  二次装修,中海金沙湾C区 ,金沙洲,VR房源 房本满五年,1,5个月以前发布,4室2厅,187.53平米,北南,简装,低楼层(共33层),,塔楼,5300000.0,28263
金沙洲岐海苑小区，电梯精装两房，生活便利 近广州,岐海苑 ,金沙洲,VR看装修 房本满五年,0,1个月以前发布,2室2厅,83.34平米,北,精装,中楼层(共11层),2011年,塔楼,1150000.0,13799
沙面新城 此房满五唯一 采光充足 视野宽阔,沙面新城 ,金沙洲,VR房源 房本满五年 随时看房,0,11,2室1厅,75.15平米,南,简装,中楼层(共8层),2003年,塔楼,1020000.0,13573
岐海苑 高层两房 户型方正实用 采光好 业主诚意出售,岐海苑 ,金沙洲,VR看装修 房本满五年 随时看房,0,11,2室1厅,72.38平米,北,简装,中楼层(共17层),,塔楼,1030000.0,14231
多两个阳台空间 保养新净 业主诚意出售,万科四季花城蔷薇苑 ,金沙洲,VR看装修 房本满五年,0,10,3室2厅,87.12平米,西北,其他,低楼层(共6层),,板楼,1600000.0,18366
广佛成熟生活圈交通便利望江装修精致两房。,金名都 ,金沙洲,VR房源 房本满五年,8,一年前发布,2室1厅,77平米,东北,精装,45层,2013年,板塔结合,1450000.0,18832
恒大御景半岛 奢华别墅 环境优美 业主诚心出售,恒大御景半岛紫杉湖 ,金沙洲,VR房源 房本满五年 随时看房,0,一年前发布,6室3厅,256.74平米,南北,精装,1层,塔楼,双拼别墅,10500000.0,40898
靓3房 全新未住 西南向 景观好 楼层好 业主诚心出售,新希望金沙公馆 ,金沙洲,VR看装修 随时看房,0,一年前发布,3室2厅,97平米,西南,精装,高楼层(共33层),2023年,塔楼,1850000.0,19073
电梯大两房，东南向，格局方正，环境好,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年 随时看房,5,6个月以前发布,2室2厅,83.19平米,南北,精装,低楼层(共33层),,板塔结合,1490000.0,17911
万科四季花城 电梯南向三房 证过五年唯一,万科四季花城灏山美筑 ,金沙洲,VR房源 房本满五年 随时看房,8,一年前发布,3室1厅,103平米,东南,精装,低楼层(共21层),,板楼,1680000.0,16311
时代糖果二期 1室1厅 南向中高楼层满五产权清晰,时代糖果二期 ,金沙洲,VR看装修 房本满五年 随时看房,1,一年前发布,1室1厅,56.96平米,南,精装,中楼层(共17层),,塔楼,860000.0,15099
满5唯一，税费少，高楼层，采光好,时代糖果一期 ,金沙洲,VR房源 房本满五年,0,2个月以前发布,1室1厅,56.99平米,东,精装,12层,,塔楼,810000.0,14214
万科四季花城 近广州地铁 望湖南向户型 实用电梯房,万科四季花城灏山美筑 ,金沙洲,VR看装修 房本满五年 随时看房,3,5个月以前发布,3室2厅,83.2平米,南北,精装,中楼层(共23层),,板楼,1380000.0,16587
敏捷花城里 金沙洲 黄岐 实惠出售 电梯大两房 安静,敏捷花城里 ,金沙洲,VR看装修 房本满五年 随时看房,4,一年前发布,2室2厅,83.85平米,南,精装,低楼层(共34层),,塔楼,1150000.0,13715
金名都免爬坡  南向三房  保养新  南北对流,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,2个月以前发布,3室2厅,91.55平米,东南,精装,44层,,板塔结合,1850000.0,20208
时代水岸 改善4房  高楼层电梯 视野好 户型方正,时代水岸二期 ,金沙洲,VR看装修 房本满两年,0,16,4室2厅,127.21平米,北南,精装,高楼层(共33层),2019年,塔楼,2860000.0,22483
金名都西区近大门中楼层南向两卫三房,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,19,3室2厅,91.16平米,东南,精装,45层,2017年,板塔结合,2000000.0,21940
万科四季花城 电梯两房 南向实用户型 近广州,万科四季花城俪姗美筑 ,金沙洲,VR看装修 房本满五年,1,17,2室2厅,71.19平米,南,精装,中楼层(共23层),2008年,塔楼,990000.0,13907
新荔湾花苑 交通便利 成熟小区 诚心出售,新荔湾花园 ,金沙洲,VR看装修 房本满五年 随时看房,0,5个月以前发布,1室1厅,32.72平米,南,精装,高楼层(共8层),1998年,塔楼,392000.0,11981
此房满五，业主一直自住，楼层好，采光好，视野开阔,时代糖果三期 ,金沙洲,VR看装修 房本满五年,2,3个月以前发布,2室2厅,77平米,东东南,精装,中楼层(共18层),,塔楼,1060000.0,13767
业主急售 高层望江 房子保养好 产权清晰,时代水岸二期 ,金沙洲,VR看装修 房本满五年,2,6个月以前发布,3室2厅,95.08平米,西北,精装,中楼层(共49层),,塔楼,2180000.0,22929
御景湾一线望江2房 东向 高层视野 满5唯一无贷款,恒大御景湾 ,金沙洲,VR看装修 房本满五年,2,3个月以前发布,2室2厅,93.15平米,东,精装,高楼层(共58层),,塔楼,1570000.0,16855
此房满五唯一，视野宽阔，采光充足，配套设施齐全,恒大御景湾 ,金沙洲,VR看装修 随时看房,0,一年前发布,2室2厅,89平米,西南,精装,低楼层(共32层),,板塔结合,1470000.0,16517
岐海苑 位置安静 户型方正 电梯中高层望花园,岐海苑 ,金沙洲,VR看装修,0,1个月以前发布,3室2厅,105.61平米,南,简装,中楼层(共15层),,塔楼,1700000.0,16097
降价诚售，户型好易改善靓居，过五,时代糖果三期 ,金沙洲,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室2厅,88.28平米,东北,精装,高楼层(共18层),,塔楼,1350000.0,15293
房子格局好，业主急售，价格可谈！！,时代糖果二期 ,金沙洲,VR房源 房本满五年,0,28,1室1厅,57平米,南,精装,高楼层(共17层),,塔楼,850000.0,14913
附平台  大阳台户型  自住保养好,时代糖果二期 ,金沙洲,VR房源 房本满五年,0,11,3室2厅,87平米,东北,简装,低楼层(共17层),,塔楼,1350000.0,15518
中海金沙湾视野宽阔，采光充足，看房方便,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年 随时看房,2,2个月以前发布,2室1厅,85.58平米,东北,精装,高楼层(共33层),,板塔结合,1550000.0,18112
万科四季花城  温馨实用两房  过5唯一,万科四季花城茉莉苑 ,金沙洲,VR看装修 房本满五年 随时看房,3,7个月以前发布,2室2厅,73.08平米,东南,精装,低楼层(共6层),,板楼,1050000.0,14368
恒大御景半岛小区 环江而立 环境绿化好 全区温馨,恒大御景半岛 ,金沙洲,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,96.8平米,东南,精装,中楼层(共31层),,塔楼,1980000.0,20455
精装3房，望小区园林景观，看房方便，可以小刀,万科四季花城蔷薇苑 ,金沙洲,VR看装修 房本满五年 随时看房,9,一年前发布,3室1厅,87.4平米,东北,精装,中楼层(共6层),,板楼,1450000.0,16591
此价包含车位 C区入户花园4房  二次装修,中海金沙湾C区 ,金沙洲,VR房源 房本满五年,1,5个月以前发布,4室2厅,187.53平米,北南,简装,低楼层(共33层),,塔楼,5300000.0,28263
过五不唯一，看房方便，东南向入户有个大的阳台,万科四季花城云山美筑 ,金沙洲,VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,106.41平米,东南,精装,低楼层(共18层),,塔楼,1630000.0,15319
金沙洲金名都东南向三房不爬坡近交通要道出行方便,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,91平米,东南,精装,45层,2017年,板塔结合,1950000.0,21429
证满五年唯一物业  少税费  自住保养好,金名都 ,金沙洲,VR看装修 房本满两年 随时看房,10,一年前发布,3室2厅,91.67平米,西南,精装,26层,2017年,板塔结合,1780000.0,19418
沙面新城望花园二房二卫  带产权车位 采光通风好,沙面新城 ,金沙洲,VR房源 房本满五年,3,6个月以前发布,2室2厅,79.07平米,西南,精装,高楼层(共8层),2001年,塔楼,960000.0,12142
沙面新城 此房满五唯一 采光充足 视野宽阔,沙面新城 ,金沙洲,VR房源 房本满五年 随时看房,0,11,2室1厅,75.15平米,南,简装,中楼层(共8层),2003年,塔楼,1020000.0,13573
金沙洲金名都东南向三房不爬坡近交通要道出行方便,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,91平米,东南,精装,45层,2017年,板塔结合,1950000.0,21429
证满五年唯一物业  少税费  自住保养好,金名都 ,金沙洲,VR看装修 房本满两年 随时看房,10,一年前发布,3室2厅,91.67平米,西南,精装,26层,2017年,板塔结合,1780000.0,19418
精装3房，望小区园林景观，看房方便，可以小刀,万科四季花城蔷薇苑 ,金沙洲,VR看装修 房本满五年 随时看房,9,一年前发布,3室1厅,87.4平米,东北,精装,中楼层(共6层),,板楼,1450000.0,16591
过五不唯一，看房方便，东南向入户有个大的阳台,万科四季花城云山美筑 ,金沙洲,VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,106.41平米,东南,精装,低楼层(共18层),,塔楼,1630000.0,15319
此价包含车位 C区入户花园4房  二次装修,中海金沙湾C区 ,金沙洲,VR房源 房本满五年,1,5个月以前发布,4室2厅,187.53平米,北南,简装,低楼层(共33层),,塔楼,5300000.0,28263
精品三房  全屋定制装修  保养好,时代天境 ,金沙洲,VR看装修,1,18,3室2厅,85平米,东北,精装,高楼层(共32层),,板塔结合,1880000.0,22118
前排恒大御景半岛小区 环江而立 环境绿化好 全区温馨,恒大御景半岛 ,金沙洲,VR房源,0,4个月以前发布,4室2厅,176.99平米,东,精装,高楼层(共31层),,塔楼,3600000.0,20341
万科四季花城一期2+1户型 唯一物业税费低 业主诚心出,万科四季花城百合苑 ,金沙洲,VR看装修 随时看房,4,8个月以前发布,3室1厅,72平米,西北,精装,低楼层(共6层),,板楼,1250000.0,17362
万科四季花城 全新装修四房 中楼层  南向望花园,万科四季花城海棠苑 ,金沙洲,VR房源 房本满两年,5,1个月以前发布,4室1厅,109.93平米,东南,精装,中楼层(共6层),,塔楼,1880000.0,17102
恒大御景半岛 望江 好楼层  视野好 无欠款过户快,恒大御景半岛 ,金沙洲,VR房源 房本满五年 随时看房,1,3个月以前发布,3室2厅,139.97平米,东,精装,中楼层(共31层),,板塔结合,2450000.0,17504
金名都三房两卫，双阳台户型，格局明亮通透。,金名都 ,金沙洲,VR看装修 随时看房,2,一年前发布,3室1厅,93平米,东南西北,简装,26层,2017年,板塔结合,1790000.0,19248
广佛成熟生活圈交通便利望江装修精致两房。,金名都 ,金沙洲,VR房源 房本满五年,8,一年前发布,2室1厅,77平米,东北,精装,45层,2013年,板塔结合,1450000.0,18832
岐海苑 高层两房 户型方正实用 采光好 业主诚意出售,岐海苑 ,金沙洲,VR看装修 房本满五年 随时看房,0,11,2室1厅,72.38平米,北,简装,中楼层(共17层),,塔楼,1030000.0,14231
时代水岸二期小区，配套齐全，位置好，楼下业态火热,时代水岸二期 ,金沙洲,VR看装修,0,6个月以前发布,4室2厅,116.77平米,东南,精装,高楼层(共33层),2019年,塔楼,2660000.0,22780
沙面新城望花园二房二卫  带产权车位 采光通风好,沙面新城 ,金沙洲,VR房源 房本满五年,3,6个月以前发布,2室2厅,79.07平米,西南,精装,高楼层(共8层),2001年,塔楼,960000.0,12142
满二年 中楼层  望花园	 装修好  配套成熟,新希望金沙公馆 ,金沙洲,VR看装修 房本满两年,0,1个月以前发布,3室2厅,97.87平米,东,精装,中楼层(共33层),,暂无数据,1900000.0,19414
多两个阳台空间 保养新净 业主诚意出售,万科四季花城蔷薇苑 ,金沙洲,VR看装修 房本满五年,0,10,3室2厅,87.12平米,西北,其他,低楼层(共6层),,板楼,1600000.0,18366
糖果2期南向高楼层3房，过五年唯一业主急售！,时代糖果二期 ,金沙洲,VR看装修 房本满两年 随时看房,0,21,3室2厅,87平米,南,精装,高楼层(共18层),,塔楼,1380000.0,15863
满5唯一！东向 一线望江2房  御景湾中间楼层,恒大御景湾 ,金沙洲,VR看装修 房本满五年,1,一年前发布,2室2厅,91.36平米,东,简装,中楼层(共58层),,塔楼,1580000.0,17295
东南朝向，高层采光好，景观很漂亮，房子保养新净,金名都 ,金沙洲,VR房源 房本满五年,0,一年前发布,3室2厅,91.11平米,东南南,精装,45层,2017年,板塔结合,2000000.0,21952
万科四季花城 少有户型 2+1实用三房,万科四季花城米兰苑 ,金沙洲,VR看装修 房本满五年,4,9个月以前发布,3室2厅,78.75平米,东南东北,精装,中楼层(共6层),,板楼,1250000.0,15874
新荔湾花苑   总价低  户型方正  采光充足,新荔湾花园 ,金沙洲,VR看装修 房本满两年 随时看房,1,16,1室0厅,25.63平米,东,简装,高楼层(共8层),,塔楼,220000.0,8584
"通风采光好  ,安静舒适，诚意出售",金名都 ,金沙洲,VR看装修 房本满五年,2,29,3室1厅,90.77平米,西南,精装,45层,2017年,板塔结合,1680000.0,18509
房子江景3房2厅，视野开阔，产权清晰，诚意出售。,恒大御景半岛 ,金沙洲,VR房源 房本满两年 随时看房,5,一年前发布,3室2厅,127平米,东,精装,中楼层(共32层),,塔楼,2200000.0,17323
糖果三期 中层两房 近大门口出入方便 业主自住,时代糖果三期 ,金沙洲,VR房源 房本满五年,3,1个月以前发布,2室1厅,77.4平米,北,精装,中楼层(共18层),,塔楼,1080000.0,13954
新荔湾花园 步梯低层 望花园  中层二房 急售物业,新荔湾花园 ,金沙洲,VR看装修 房本满两年 随时看房,7,一年前发布,2室2厅,66.84平米,西,简装,中楼层(共8层),,塔楼,630000.0,9426
金沙洲万科四季花城 东南单边位 三阳台  新装修,万科四季花城蔷薇苑 ,金沙洲,VR看装修 随时看房,12,一年前发布,3室2厅,113平米,东南,精装,高楼层(共6层),,板楼,1500000.0,13275
东南向，无欠款，采光好，视野开阔,敏捷花城里 ,金沙洲,VR看装修 房本满五年,0,4个月以前发布,2室2厅,72.77平米,南,精装,中楼层(共31层),,塔楼,1150000.0,15804
金沙洲白天鹅花园 少有低层复式3房 带100方私家大花园,白天鹅花园 ,金沙洲,VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,136.16平米,南,精装,低楼层(共9层),,塔楼,1550000.0,11384
此房满五精装修 户型方正实用 产权清晰,时代糖果一期 ,金沙洲,VR房源 房本满五年,4,2个月以前发布,2室1厅,79.22平米,东北,精装,14层,塔楼,,960000.0,12119
西南向 高楼层  满五唯一  无贷款 随时过户,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,1,一年前发布,3室1厅,86.44平米,南北,精装,45层,板塔结合,2015年,1620000.0,18742
东南向江景三房，阳台无遮挡，视野开阔,恒大御景半岛 ,金沙洲,VR房源 随时看房,1,1个月以前发布,3室1厅,97平米,东南,简装,低楼层(共31层),塔楼,2007年,1800000.0,18557
恒大御景半岛  3房2卫  高层   望江  业主诚心出售,恒大御景半岛 ,金沙洲,VR房源 房本满五年,0,1个月以前发布,3室2厅,126.31平米,东,精装,高楼层(共31层),塔楼,,2200000.0,17418
糖果三期 中层两房 近大门口出入方便 业主自住,时代糖果三期 ,金沙洲,VR房源 房本满五年,3,1个月以前发布,2室1厅,77.4平米,北,精装,中楼层(共18层),塔楼,,1080000.0,13954
新荔湾花苑   总价低  户型方正  采光充足,新荔湾花园 ,金沙洲,VR看装修 房本满两年 随时看房,1,16,1室0厅,25.63平米,东,简装,高楼层(共8层),塔楼,,220000.0,8584
房子保养很好，看房方便，不是山顶的房子,金名都 ,金沙洲,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,88.47平米,西北,精装,45层,板塔结合,2017年,1650000.0,18651
御景湾望江3房 户型方正 家具齐全 安静舒适 绿化好,恒大御景湾 ,金沙洲,VR看装修 房本满五年 随时看房,0,2个月以前发布,3室2厅,89.25平米,东东北,精装,低楼层(共58层),塔楼,,1780000.0,19944
电梯三房 前后花园 安静舒适 全新未住,万科四季花城茉莉苑 ,金沙洲,VR看装修 房本满五年 随时看房,2,5个月以前发布,3室2厅,90.34平米,西南,精装,中楼层(共9层),板楼,,1450000.0,16051
恒大御景湾方正两房 业主装修拎包住 看花园看江景观好,恒大御景湾 ,金沙洲,VR看装修 房本满五年,1,7个月以前发布,2室2厅,89.78平米,西,精装,低楼层(共58层),塔楼,,1420000.0,15817
万科四季花城 少有户型 2+1实用三房,万科四季花城米兰苑 ,金沙洲,VR看装修 房本满五年,4,9个月以前发布,3室2厅,78.75平米,东南东北,精装,中楼层(共6层),板楼,,1250000.0,15874
白天鹅花园 步梯中层1房1厅 诚意出售中,白天鹅花园 ,金沙洲,VR看装修 房本满五年,2,6个月以前发布,1室1厅,45.98平米,西,精装,中楼层(共8层),塔楼,2006年,500000.0,10875
恒大御景半岛小区 环江而立 环境绿化好 全区温馨,恒大御景半岛 ,金沙洲,VR房源 房本满五年,0,5,3室2厅,96.8平米,东南,精装,高楼层(共31层),塔楼,,2000000.0,20662
金沙洲地铁六号线 自住三房 急售 环境好居住舒适,万科四季花城丹枫苑 ,金沙洲,VR看装修 房本满五年,0,12,3室2厅,87.35平米,西南,精装,中楼层(共6层),板楼,,1320000.0,15112
金名都南向91㎡，中高楼层，采光好，价钱靓,金名都 ,金沙洲,VR房源 房本满五年,8,1个月以前发布,3室1厅,90.04平米,南,精装,32层,板塔结合,2017年,1650000.0,18326
东南朝向，高层采光好，景观很漂亮，房子保养新净,金名都 ,金沙洲,VR房源 房本满五年,0,一年前发布,3室2厅,91.11平米,东南南,精装,45层,板塔结合,2017年,2000000.0,21952
"通风采光好  ,安静舒适，诚意出售",金名都 ,金沙洲,VR看装修 房本满五年,2,29,3室1厅,90.77平米,西南,精装,45层,板塔结合,2017年,1680000.0,18509
万科四季花城海棠苑 3室2厅 东南,万科四季花城海棠苑 ,金沙洲,VR看装修 房本满五年,1,26,3室2厅,107.6平米,东南,精装,低楼层(共6层),塔楼,,1880000.0,17473
此房满五不唯一，省税费，江景大四房,恒大御景半岛 ,金沙洲,VR看装修 房本满五年 随时看房,0,一年前发布,4室2厅,177.78平米,东,精装,高楼层(共32层),塔楼,,3380000.0,19013
西南向三房 两卫  业主诚心卖的  钥匙看房,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室2厅,90.85平米,西南,精装,32层,板塔结合,2017年,1600000.0,17612
新房全新未住，楼层好采光足，视野开阔，业主诚心卖,新希望金沙公馆 ,金沙洲,VR看装修 随时看房,1,6个月以前发布,3室1厅,97平米,东,其他,低楼层(共33层),塔楼,,1750000.0,18042
大三房两卫，装修保养好，配套齐全,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年,0,一年前发布,3室2厅,116.22平米,南,精装,中楼层(共33层),板塔结合,2008年,4000000.0,34418
中海金沙湾A 全新装修  采光通风好 诚心出售,中海金沙湾A区 ,金沙洲,VR看装修 房本满两年,0,一年前发布,2室2厅,84.47平米,东北,精装,高楼层(共33层),板塔结合,,2230000.0,26400
金名都 新装温馨三房 过五年 无欠款,金名都 ,金沙洲,VR看装修 房本满五年,0,9个月以前发布,3室2厅,96.67平米,东北,精装,44层,板塔结合,2015年,2500000.0,25862
中海金沙里精装三房     户型方正  业主自住保养好,中海金沙里 ,金沙洲,VR房源 房本满五年,0,一年前发布,3室2厅,89平米,西南,精装,高楼层(共48层),塔楼,,2400000.0,26967
中海金沙湾精装2房，景观好，保养好拎包记住,中海金沙湾B区 ,金沙洲,VR看装修 随时看房,2,一年前发布,2室2厅,87平米,东北,精装,低楼层(共33层),塔楼,,2050000.0,23564
房源满两年不唯一 横厅4房通透户型 全新未住,时代水岸二期 ,金沙洲,VR看装修,1,一年前发布,4室2厅,117.08平米,东南,精装,高楼层(共33层),塔楼,2019年,3800000.0,32457
金沙里 证满五唯一 高层户型不错 业主自住保养好,中海金沙里 ,金沙洲,VR房源 房本满五年,0,一年前发布,3室2厅,89.24平米,西北,精装,中楼层(共38层),塔楼,,2500000.0,28015
时代水岸二期 中高层3房 户型方正实用 采光通风好,时代水岸二期 ,金沙洲,VR看装修,0,一年前发布,3室2厅,95平米,西北,简装,中楼层(共33层),塔楼,,2780000.0,29264
金名都前排免爬坡 三房两卫 业主诚心放卖 有车位可售,金名都 ,金沙洲,VR看装修 房本满两年,7,一年前发布,3室2厅,96.75平米,东,精装,45层,板塔结合,2015年,3000000.0,31008
金名都前排免爬坡 三房两卫 业主诚心放卖 有车位可售,金名都 ,金沙洲,VR看装修 房本满两年,7,一年前发布,3室2厅,96.75平米,东,精装,45层,2015年,板塔结合,3000000.0,31008
金名都西区 免爬坡 过五年唯一,金名都 ,金沙洲,VR看装修 房本满五年,0,一年前发布,3室2厅,91.18平米,南北,精装,26层,2015年,板塔结合,3500000.0,38386
12号线地铁口500米高层望保养新江三房2卫,金名都 ,金沙洲,VR房源,0,一年前发布,3室2厅,90.72平米,东北,精装,45层,,板塔结合,2560000.0,28219
敏捷花城精装三房 高层景观好 视野开阔,敏捷花城里 ,金沙洲,VR看装修,5,一年前发布,3室2厅,103平米,东北,精装,高楼层(共34层),,塔楼,1950000.0,18933
金名都三房 满五年唯一 产权清晰 看房方便,金名都 ,金沙洲,VR看装修 房本满五年,0,一年前发布,3室2厅,86.07平米,西南,精装,45层,2015年,板塔结合,2000000.0,23237
中海少有放盘  头排一线江景3房  3阳台,中海金沙湾C区 ,金沙洲,VR房源 房本满五年 随时看房,0,一年前发布,3室2厅,150.46平米,东南,简装,低楼层(共33层),2010年,塔楼,5300000.0,35226
中海金沙湾B区东南靓向三房  业主置换诚心出,中海金沙湾B区 ,金沙洲,VR看装修,0,8个月以前发布,3室2厅,128平米,东南,简装,低楼层(共33层),2011年,塔楼,3580000.0,27969
东向看山 视野开阔  满五年 产权清晰,时代糖果三期 ,金沙洲,VR看装修 房本满五年,0,7个月以前发布,3室2厅,89.61平米,东南,精装,高楼层(共18层),,塔楼,1700000.0,18972
实用3房户型方正，中层望花园，证够五年，没有贷款,恒大御景湾 ,金沙洲,VR看装修,2,一年前发布,3室2厅,88平米,东,精装,中楼层(共33层),,板塔结合,1980000.0,22500
全屋精装80万 高层无遮挡 南向看花园,中海金沙湾A区 ,金沙洲,VR房源 房本满五年,0,3个月以前发布,3室2厅,133.34平米,西南,精装,高楼层(共33层),,板塔结合,3600000.0,26999
房子望花园，业主自住，保养新净，通风采光好,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年,1,5个月以前发布,3室2厅,129.16平米,西南,精装,中楼层(共33层),,板塔结合,3100000.0,24002
金名都舒适小三房 安静不吵 交通便利,金名都 ,金沙洲,VR看装修 房本满两年,6,一年前发布,3室1厅,90.94平米,西南,精装,32层,2017年,板塔结合,2550000.0,28041
低层，20方左右大阳台，东南向,万科四季花城百合苑 ,金沙洲,VR看装修,1,一年前发布,3室2厅,70.51平米,东南西南,精装,低楼层(共6层),2010年,板楼,1850000.0,26238
中海金沙湾A区 大三房 东南向 中间楼层,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年,7,一年前发布,3室2厅,123.44平米,东南,精装,中楼层(共33层),2005年,板塔结合,3950000.0,32000
