标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
户型方正 阳台开阔视野无遮挡 业主诚意出,英豪花园 ,东晓南,近地铁 VR看装修 房本满两年 随时看房,1,21,2室1厅,51.9平米,北,精装,低楼层(共9层),1999年,板楼,1530000.0,29480
第三金碧，厅直出阳台，双地铁50米，每天睡多10min,第三金碧花园 ,金碧,近地铁 VR看装修 房本满五年 随时看房,6,5个月以前发布,2室1厅,73.43平米,东北,精装,中楼层(共32层),2006年,塔楼,2930000.0,39902
宏宇广场 采光通风 装修新净 有阳台,宏宇广场 ,宝岗,VR看装修 房本满两年,2,一年前发布,2室1厅,71.84平米,东南,精装,高楼层(共31层),2000年,塔楼,2350000.0,32712
夏沙巷低层东南向三房 环境清静,大江苑夏沙巷 ,新港西,近地铁 VR房源 房本满两年 随时看房,3,8个月以前发布,3室1厅,64.09平米,东南,其他,低楼层(共8层),1997年,塔楼,1750000.0,27306
电梯三房 过五唯一商品房  全明单边 采光充足,前进路(海珠) ,前进路,VR看装修 房本满五年,5,5个月以前发布,3室1厅,84.28平米,东南北,其他,高楼层(共8层),,塔楼,2460000.0,29189
江南西  电梯三房一厅  户型方正 地铁站旁,天汇大厦 ,前进路,近地铁 VR看装修 房本满五年 随时看房,4,一年前发布,3室1厅,115.79平米,南,简装,低楼层(共28层),1999年,塔楼,3450000.0,29796
新装3房 全明屋 框架结构易于装修改造，生活便利,江南西路 ,江南西,近地铁 VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,55.98平米,南,其他,低楼层(共9层),,塔楼,2400000.0,42873
满五唯一，南向视野开阔采光好，正规三房,保利红棉花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,78.29平米,南,其他,中楼层(共7层),2002年,塔楼,2650000.0,33849
南丽苑   客村地铁   带平台  可操作三房 南北对流,南丽苑 ,客村,近地铁 VR看装修,0,26,2室1厅,76.26平米,北,简装,中楼层(共8层),1999年,塔楼,2600000.0,34094
刚需小两房，框架低层，配套成熟，低总價,宝岗大道 ,宝岗,VR看装修 房本满五年,0,4个月以前发布,2室1厅,36.21平米,南,其他,中楼层(共8层),1989年,塔楼,750000.0,20713
富泽园电梯两房 厅出阳台 户型方正实用,富泽园 ,工业大道北,近地铁 VR看装修 房本满五年,1,3个月以前发布,2室1厅,56.93平米,西南,简装,中楼层(共22层),2001年,塔楼,2450000.0,43036
宝岗大道 方正一房一厅 花园小区 楼龄新 近地铁,乐居苑 ,宝岗,近地铁 VR看装修 房本满两年 随时看房,1,8,1室1厅,37.99平米,东北,简装,低楼层(共9层),1998年,塔楼,800000.0,21059
丽景花苑 2室1厅 北,丽景花苑 ,磨碟沙,近地铁 VR看装修 房本满五年 随时看房,1,3个月以前发布,2室1厅,69.95平米,北,精装,高楼层(共9层),2000年,塔楼,2250000.0,32166
三楼 晓港A 10米  采光充足 大院管理  宜居住,昌岗东路 ,昌岗,VR房源 随时看房,3,4个月以前发布,1室0厅,29.06平米,南,简装,中楼层(共4层),1980年,塔楼,600000.0,20647
保利花园电梯方正三房 高层视野好采光好,保利花园 ,工业大道中,近地铁 VR看装修 房本满五年 随时看房,26,一年前发布,3室2厅,99.66平米,东北,简装,中楼层(共18层),2000年,塔楼,3550000.0,35622
建基路 户型方正 采光通风好 小区配套好,建基路 ,东晓路,VR看装修 房本满五年,3,9个月以前发布,2室1厅,61.02平米,东南,简装,高楼层(共10层),,塔楼,1380000.0,22616
中旅侨苑电梯实用两房，全明屋，采光通风好,中旅侨苑 ,昌岗,近地铁 VR房源 房本满五年 随时看房,5,6个月以前发布,2室1厅,59.46平米,北,简装,低楼层(共32层),2003年,塔楼,2030000.0,34141
怡雅苑三期、南向中高层、采光很好、通风好,怡雅苑(海珠) ,宝岗,VR看装修 房本满五年,2,26,3室2厅,96.21平米,东南,简装,中楼层(共26层),2003年,塔楼,3800000.0,39497
滨江东 纯南向两房 厅出阳台 采光通风好 视野开阔,浪琴居 ,滨江东,VR房源 房本满五年 随时看房,3,一年前发布,2室1厅,69.29平米,东南,简装,28层,2001年,塔楼,3300000.0,47626
江南大道中 双地铁昌岗江南西  中楼层 户型方正,江南大道中 ,江南大道中,近地铁 VR房源 房本满五年 随时看房,2,2个月以前发布,2室1厅,54.1平米,东南,简装,高楼层(共7层),,板楼,1080000.0,19964
白银四楼，通风采光正，衣食住行具备，怡乐路,怡乐路 ,中大,近地铁 VR看装修 随时看房,1,1个月以前发布,2室1厅,51.86平米,北,简装,中楼层(共9层),,塔楼,1380000.0,26611
沙园小区，纯框架电梯两房，满五唯一，菩小,沙园 ,沙园,近地铁 VR看装修 房本满五年 随时看房,6,一年前发布,2室1厅,54.16平米,南,简装,高楼层(共8层),2002年,塔楼,1800000.0,33235
轻工校园环境好 管理严格 一梯两户南北对流 实用两房,广东轻工学院宿舍 ,新港西,近地铁 VR看装修 房本满五年,1,4个月以前发布,2室2厅,63.03平米,南北,精装,高楼层(共9层),1994年,塔楼,2400000.0,38078
中信乐涛苑 电梯中层望花园 过五年唯一 带主套单边位,中信乐涛苑 ,滨江东,近地铁 VR房源 房本满五年 随时看房,4,2个月以前发布,3室2厅,94.7平米,南北,简装,中楼层(共12层),2000年,塔楼,4700000.0,49631
满五唯一，南向视野开阔采光好，正规三房,保利红棉花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,78.29平米,南,其他,中楼层(共7层),2002年,塔楼,2650000.0,33849
金星花园 加装电梯靓房 近赤岗地铁,金星花园 ,赤岗,VR看装修 房本满五年 随时看房,0,3个月以前发布,1室1厅,32.84平米,北,其他,高楼层(共9层),1998年,塔楼,1050000.0,31974
户型方正，采光充足，视野无遮挡,鸣翠花园 ,工业大道南,近地铁 VR房源 房本满五年,0,1个月以前发布,2室2厅,83.35平米,东北,精装,中楼层(共6层),2002年,塔楼,2800000.0,33594
大院管理，电梯两房，通风采光好，望中大校园,新港西路99号大院 ,中大,近地铁 VR看装修 房本满五年,0,1个月以前发布,2室1厅,69.21平米,东南,简装,中楼层(共9层),,塔楼,2180000.0,31499
翠城三期户型方正实用  厅出阳台  采光很好,翠城花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,1,1个月以前发布,2室1厅,80.45平米,东,简装,高楼层(共32层),2009年,塔楼,3700000.0,45992
客村双地铁 南北对流电梯三房 校园环境优雅 层高3.0米,广东教育学院 ,客村,近地铁 VR看装修 房本满五年 随时看房,6,10个月以前发布,3室2厅,92.07平米,南,精装,低楼层(共6层),1990年,板楼,3200000.0,34757
新装3房 全明屋 框架结构易于装修改造，生活便利,江南西路 ,江南西,近地铁 VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,55.98平米,南,其他,低楼层(共9层),,塔楼,2400000.0,42873
楼下十号线地铁口 全明屋，厅出阳台一房一厅,瑞康大厦 ,新港西,近地铁 VR看装修 房本满两年,9,4个月以前发布,1室1厅,31.13平米,南,简装,中楼层(共9层),1997年,塔楼,630000.0,20238
南景园南向正规四房，采光好，楼龄新，视野开阔,南景园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,0,15,4室1厅,139.33平米,东南,简装,低楼层(共18层),2001年,塔楼,5500000.0,39475
全明屋单边位，有电梯位，环境舒适，交通便利 近地铁,港务局宿舍 ,洪德,近地铁 VR看装修 房本满五年 随时看房,1,24,3室1厅,73.34平米,南,简装,中楼层(共7层),1995年,塔楼,1980000.0,26998
海印南苑 一手业主东南向保养新净近地铁 电梯靓楼层,海印南苑 ,东晓路,VR看装修 房本满五年,1,23,3室2厅,117.7平米,东南,精装,中楼层(共28层),2000年,塔楼,4820000.0,40952
户型方正 阳台开阔视野无遮挡 业主诚意出,英豪花园 ,东晓南,近地铁 VR看装修 房本满两年 随时看房,1,21,2室1厅,51.9平米,北,精装,低楼层(共9层),1999年,板楼,1530000.0,29480
江南西  电梯三房一厅  户型方正 地铁站旁,天汇大厦 ,前进路,近地铁 VR看装修 房本满五年 随时看房,4,一年前发布,3室1厅,115.79平米,南,简装,低楼层(共28层),1999年,塔楼,3450000.0,29796
三楼 晓港A 10米  采光充足 大院管理  宜居住,昌岗东路 ,昌岗,VR房源 随时看房,3,4个月以前发布,1室0厅,29.06平米,南,简装,中楼层(共4层),1980年,塔楼,600000.0,20647
南丽苑   客村地铁   带平台  可操作三房 南北对流,南丽苑 ,客村,近地铁 VR看装修,0,26,2室1厅,76.26平米,北,简装,中楼层(共8层),1999年,塔楼,2600000.0,34094
刚需小两房，框架低层，配套成熟，低总價,宝岗大道 ,宝岗,VR看装修 房本满五年,0,4个月以前发布,2室1厅,36.21平米,南,其他,中楼层(共8层),1989年,塔楼,750000.0,20713
富泽园电梯两房 厅出阳台 户型方正实用,富泽园 ,工业大道北,近地铁 VR看装修 房本满五年,1,3个月以前发布,2室1厅,56.93平米,西南,简装,中楼层(共22层),2001年,塔楼,2450000.0,43036
丽景花苑 2室1厅 北,丽景花苑 ,磨碟沙,近地铁 VR看装修 房本满五年 随时看房,1,3个月以前发布,2室1厅,69.95平米,北,精装,高楼层(共9层),2000年,塔楼,2250000.0,32166
东南向精装修，高层大两室，采光通风好,雅景苑 ,滨江东,VR房源 房本满五年,5,5个月以前发布,2室1厅,47.81平米,南,精装,高楼层(共9层),2002年,塔楼,1250000.0,26146
宝岗大道 方正一房一厅 花园小区 楼龄新 近地铁,乐居苑 ,宝岗,近地铁 VR看装修 房本满两年 随时看房,1,8,1室1厅,37.99平米,东北,简装,低楼层(共9层),1998年,塔楼,800000.0,21059
昌岗东路 3室1厅 东 南 西,昌岗东路 ,昌岗,近地铁 VR看装修 房本满五年 随时看房,2,2个月以前发布,3室1厅,79.35平米,东南西,其他,中楼层(共8层),暂无数据,,1780000.0,22433
富基广场楼龄新花园小区 东北望江三房两卫海实,富基广场A区 ,滨江中,VR房源 房本满五年 随时看房,9,2个月以前发布,3室2厅,106.48平米,东东北,精装,34层,塔楼,2005年,4700000.0,44140
方正大三房，视野开阔，东南向采光好，通风透气。,珠江帝景苑 ,滨江东,近地铁 VR房源 房本满五年 随时看房,9,1个月以前发布,3室2厅,146.58平米,南,精装,中楼层(共19层),塔楼,2005年,9800000.0,66858
宏宇广场原装电梯户型方正 西南向两房 省级,宏宇广场 ,宝岗,近地铁 VR看装修 房本满五年,5,一年前发布,2室1厅,65.38平米,西,简装,低楼层(共31层),塔楼,2000年,1800000.0,27532
翠馨华庭 高层东南向 满五年唯一 业主诚心卖,翠馨华庭 ,广州大道南,VR房源 房本满两年 随时看房,2,2个月以前发布,2室1厅,33.42平米,东,简装,高楼层(共24层),塔楼,2003年,1080000.0,32316
海珠区府板块 全屋7位数壕装 高层南向三房安静望花园,叠彩园 ,广州大道南,VR房源 房本满五年,9,一年前发布,3室2厅,102.86平米,南,精装,高楼层(共12层),塔楼,2002年,4680000.0,45499
东南向高楼层四房，精装修视野开阔景观好望广州塔,润汇大厦 ,江南西,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,4室2厅,116.63平米,东南南,精装,高楼层(共31层),塔楼,2001年,4990000.0,42785
江南西路 青葵大街 方正户型 准电梯 厅出阳台,江南西路 ,江南西,VR看装修 房本满五年,0,10,3室2厅,75.69平米,东南,其他,高楼层(共8层),塔楼,,2830000.0,37390
