标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
急卖笋电梯小高层品质小区满五唯一,金富苑 ,天润路,近地铁 VR看装修 房本满五年,4,一年前发布,4室2厅,94.58平米,南北,精装,9层,1999年,塔楼,4980000.0,52654
天河北 御晖苑复式 靠水利学院  采光通风好,御晖苑 ,天润路,房本满五年 随时看房,3,一年前发布,1室1厅,26.3平米,北,精装,4层,2000年,板塔结合,1000000.0,38023
天河智慧城地铁口旁 业主诚心卖 采光视野好 实用率高,万科云城米酷 ,智慧城,近地铁 房本满两年,1,一年前发布,1室1厅,26.19平米,北,简装,中楼层(共15层),,塔楼,620000.0,23674
阳光家园 小户型 采光通风好 装修保养好,阳光家园(天河) ,沙太南,VR看装修 房本满五年,0,9个月以前发布,1室1厅,28.86平米,西,其他,中楼层(共9层),2002年,塔楼,950000.0,32918
双地铁，户型方正4房双阳台，大院环境绿化高安静舒适,燕塘大院 ,燕塘,近地铁 VR看装修 房本满五年 随时看房,1,7个月以前发布,4室1厅,96.53平米,东南,其他,低楼层(共6层),1998年,塔楼,3980000.0,41231
天河智慧城米酷 4.5米复式小户型年轻人选择,万科云城米酷 ,智慧城,近地铁 房本满五年,2,一年前发布,1室1厅,26.2平米,东北,精装,高楼层(共15层),2016年,塔楼,650000.0,24810
天河区 侨乐新村 电梯大四房 带30平大露台 双卫,侨乐新村 ,沙太南,近地铁 VR房源 房本满五年,22,一年前发布,4室2厅,98.48平米,西北,其他,低楼层(共9层),1995年,塔楼,4000000.0,40618
金融城 满五年税费少采光户型好 中高层 改善大户户型,法院小区  ,东圃,近地铁 VR看装修 房本满五年,12,一年前发布,4室2厅,97.86平米,南,简装,中楼层(共12层),1999年,塔楼,4980000.0,50890
南兴花园 电梯房 视野开阔望白云山 高层 无遮挡,南兴花园(天河区) ,天河客运站,近地铁 VR房源 房本满两年,1,一年前发布,4室2厅,97.54平米,西北,其他,中楼层(共12层),2004年,塔楼,3680000.0,37729
侨乐新村 中层方正四房 满五年唯一物业,侨乐新村 ,沙太南,近地铁 VR看装修 房本满五年,1,6个月以前发布,4室1厅,96.92平米,西北,简装,中楼层(共9层),1995年,塔楼,3000000.0,30954
天河鸿运花园 电梯四房 通风采光好,天河鸿运花园 ,天河公园,VR房源 房本满五年,0,一年前发布,4室2厅,97.28平米,东西,其他,低楼层(共9层),1999年,塔楼,4800000.0,49343
珠江新城，中楼层东向单位，格局方正，宽敞一房一厅。,富力爱丁堡国际公寓 ,珠江新城西,近地铁 房本满五年,7,一年前发布,1室1厅,91.31平米,东,精装,中楼层(共32层),2007年,塔楼,4800000.0,52569
电梯高层，18号线在建，入户不错，通风采光不错,阳光家园(天河) ,沙太南,VR房源 房本满五年 随时看房,2,一年前发布,1室0厅,28.57平米,南,其他,高楼层(共9层),2002年,塔楼,850000.0,29752
侨乐新村 电梯大面积四房 单边位南北东朝向 随时交易,侨乐新村 ,沙太南,近地铁 VR看装修 房本满五年,0,一年前发布,4室2厅,108.48平米,南,其他,中楼层(共8层),1995年,塔楼,4280000.0,39455
电子五所东区 实用大四房  全新装修 拎包入住 少有放,电子五所宿舍 ,粤垦,VR看装修 房本满两年,1,10个月以前发布,4室2厅,93.04平米,东南,精装,中楼层(共5层),1998年,板楼,4600000.0,49442
珠江新城，中楼层东向单位，格局方正，宽敞一房一厅。,富力爱丁堡国际公寓 ,珠江新城西,近地铁 房本满五年,7,一年前发布,1室1厅,91.31平米,东,精装,中楼层(共32层),2007年,塔楼,4800000.0,52569
华景新城 户型好 通风采光好 业主诚心卖房,华景新城叠翠居 ,华景新城,VR看装修 房本满两年,0,3个月以前发布,4室1厅,99.68平米,西南,其他,低楼层(共9层),1994年,塔楼,5000000.0,50161
建丽花园高层南向4房 采光好 不入证面积多,建丽花园 ,长兴,VR房源 房本满五年 随时看房,0,3个月以前发布,4室1厅,100.35平米,南,其他,高楼层(共11层),2005年,塔楼,4780000.0,47634
望天河都市繁华，大一房一厅，舒适的环境,富力爱丁堡国际公寓 ,珠江新城西,近地铁 房本满五年,5,一年前发布,1室1厅,91.31平米,东,精装,中楼层(共32层),2007年,塔楼,4800000.0,52569
满五年不唯一 复式四房 看房方便,保利林海山庄 ,龙洞,近地铁 VR看装修 房本满五年,0,一年前发布,4室2厅,98.32平米,南,简装,高楼层(共9层),1994年,塔楼,7990000.0,81266
财富世纪广场 高楼层  南向一房一厅,财富世纪广场 ,珠江新城东,房本满五年,0,一年前发布,1室1厅,109.75平米,南,精装,高楼层(共28层),2009年,塔楼,4600000.0,41914
楼层采光好，业主诚心卖，看房方便,富力万科云启 ,车陂,房本满五年,14,一年前发布,1室0厅,25.97平米,北,精装,高楼层(共5层),2018年,板楼,610000.0,23489
车陂地铁口物业  次新楼盘 格局方正 精装一房,富力万科云启 ,车陂,房本满五年,4,一年前发布,1室0厅,26.5平米,南,其他,高楼层(共5层),2018年,板楼,700000.0,26416
环宇花园南向一房，中楼层，采光好,环宇花园 ,天河公园,VR看装修 房本满五年 随时看房,2,一年前发布,1室1厅,25.11平米,南,其他,中楼层(共19层),2000年,塔楼,920000.0,36639
天鹅花苑五期 楼南向四房有小露台 精装修,天鹅花苑 ,长兴,近地铁 VR房源 房本满两年,2,一年前发布,4室1厅,104.69平米,南,精装,低楼层(共7层),2003年,塔楼,4290000.0,40979
金融城云启 交通便利 视野开阔 安静望花园,富力万科云启 ,车陂,房本满五年,0,一年前发布,1室0厅,25.97平米,南,其他,高楼层(共5层),,板楼,790000.0,30420
富力万科云启，温馨舒适，交通便捷，精装修,富力万科云启 ,车陂,房本满五年,16,一年前发布,1室1厅,25.97平米,南,精装,中楼层(共5层),2018年,板楼,650000.0,25029
*科米酷 环境舒适  近地铁   精装带阳台  即买即收租,万科云城米酷 ,智慧城,近地铁 房本满五年 随时看房,20,一年前发布,1室1厅,26.2平米,北,其他,高楼层(共15层),,塔楼,650000.0,24810
珠江新城板块   总*低   看房方便,铂金公寓 ,珠江新城东,房本满五年,274,一年前发布,1室1厅,25.79平米,东南,精装,低楼层(共3层),,塔楼,820000.0,31796
天河北 大院管理社区 加装电梯四房 户型方正实用,东河苑 ,体育中心,近地铁 VR看装修 房本满五年,0,25,4室2厅,93.75平米,东北,其他,中楼层(共8层),1999年,塔楼,4580000.0,48854
园区内安静位置    四房两卫带主套  一手业主  诚心出,华南国家植物园  ,长兴,近地铁 VR房源 房本满五年,1,3个月以前发布,4室1厅,99.69平米,南,其他,中楼层(共7层),,暂无数据,5550000.0,55673
富力云启 地铁口精装1房 南向采光好,富力万科云启 ,车陂,近地铁 房本满五年,0,一年前发布,1室0厅,28.01平米,南,精装,高楼层(共4层),2018年,板楼,650000.0,23206
户型方正  视野开阔    独立产权,万科云城米酷 ,智慧城,近地铁 房本满五年 随时看房,5,7个月以前发布,1室1厅,25.4平米,南,简装,高楼层(共15层),2017年,塔楼,530000.0,20867
全新装修，有小阳台，有窗，采光充足，交通便利,铂金公寓 ,珠江新城东,房本满五年,16,一年前发布,1室1厅,25.74平米,南,精装,低楼层(共3层),,塔楼,980000.0,38074
天河北粤垦路电梯大四房，生活配套完善,侨源山庄 ,粤垦,近地铁 VR看装修 房本满五年,3,一年前发布,4室1厅,109.04平米,北,简装,低楼层(共23层),1998年,塔楼,4050000.0,37143
天河区地铁沿线 电梯小户型 配套设施齐全,阳光家园(天河) ,沙太南,VR看装修 房本满两年,2,9个月以前发布,1室1厅,28.86平米,南,其他,中楼层(共9层),2002年,塔楼,830000.0,28760
急卖！一房，原装电梯，优质物业,瑞心苑 ,粤垦,近地铁 VR房源 房本满两年 随时看房,0,23,1室0厅,29.82平米,西南,精装,低楼层(共12层),2000年,塔楼,1420000.0,47620
天河区 侨乐新村 电梯中高层 大三房 近地铁 南北通透,侨乐新村 ,沙太南,近地铁 VR房源 房本满五年 随时看房,1,4个月以前发布,4室2厅,96.92平米,南北,简装,高楼层(共9层),1996年,塔楼,2970000.0,30644
通风采光好近6号线天平架地铁看房方便,象牙厂宿舍 ,沙太南,VR看装修 房本满五年,2,一年前发布,1室1厅,27.78平米,东南,精装,高楼层(共6层),1988年,塔楼,660000.0,23759
优质原装电梯东南向中层望花园，采光好，户型实用,新燕花园 ,燕塘,近地铁 VR看装修 房本满五年 随时看房,0,10个月以前发布,4室2厅,96.98平米,东南南,简装,9层,2004年,塔楼,4500000.0,46402
高楼层，南向朝向，视野无遮挡。,万科云城米酷 ,智慧城,近地铁 房本满两年,1,10个月以前发布,1室1厅,26.2平米,南,精装,高楼层(共15层),,塔楼,570000.0,21756
龙口东路南向四房 有电梯 安静 大院管理,司法局宿舍(天河区) ,龙口东,近地铁 VR房源 房本满五年,0,1个月以前发布,4室1厅,94.49平米,东东南南,简装,低楼层(共9层),2000年,塔楼,4580000.0,48471
小面积住宅，户型好，高楼层南向，看房方便,环宇花园 ,天河公园,VR看装修 房本满两年,0,1个月以前发布,1室1厅,28.42平米,南,精装,高楼层(共19层),2000年,塔楼,950000.0,33428
天河18号线地铁口一居室 看中好谈,阳光家园(天河) ,沙太南,VR看装修 房本满五年 随时看房,3,11个月以前发布,1室1厅,28.63平米,南,简装,中楼层(共9层),2002年,塔楼,720000.0,25149
南向一房 户型方正实用，框架结构，采光通风好,水荫四横路 ,水荫,VR看装修 房本满两年,8,一年前发布,1室0厅,26.72平米,东南,简装,高楼层(共9层),1990年,塔楼,790000.0,29566
南向户型 实用一房一厅 采光好,富力爱丁堡国际公寓 ,珠江新城西,近地铁 房本满五年,11,一年前发布,1室2厅,97.17平米,南,简装,中楼层(共32层),2007年,塔楼,4550000.0,46826
一梯两户  南北对流 配套齐全 燕塘站3/6号线,金建苑 ,燕塘,近地铁 VR看装修 房本满两年,4,一年前发布,4室2厅,95.27平米,南北,简装,低楼层(共8层),,板楼,3380000.0,35479
南向望江 产权清晰 证心放卖 随时可看,富力爱丁堡国际公寓 ,珠江新城西,近地铁 房本满五年,3,一年前发布,1室1厅,97.17平米,南,其他,中楼层(共32层),2007年,塔楼,4680000.0,48164
富力万科云启，精装修，近4号线车陂地铁站,富力万科云启 ,车陂,房本满五年,2,一年前发布,1室0厅,25.97平米,东,精装,中楼层(共5层),2018年,板楼,590000.0,22719
近地铁口，精装一房，安静望花园，物业好，业主诚心,富力万科云启 ,车陂,近地铁 房本满五年 随时看房,6,一年前发布,1室0厅,28.01平米,南,其他,中楼层(共4层),2018年,板楼,810000.0,28919
天河北苑 原装电梯高层4房 格局方正实用,天河北苑 ,沙太南,近地铁 VR看装修 房本满五年,4,一年前发布,4室1厅,95平米,东北,其他,高楼层(共9层),2004年,塔楼,3600000.0,37895
恒大珺睿 次新楼  复式一房一厅  配套成熟,恒大珺睿 ,珠江新城东,房本满两年,2,一年前发布,1室1厅,100.64平米,西北,精装,低楼层(共20层),2017年,塔楼,5000000.0,49683
龙口中路 精装小单间 近地铁  50年产权 急急急,国光小区 ,龙口东,近地铁 房本满五年,29,一年前发布,1室0厅,26.2平米,南,精装,低楼层(共3层),,塔楼,540000.0,20611
好房推介，业主诚意卖，满五唯一，看房提前约,环宇花园 ,天河公园,VR看装修 房本满五年,2,8个月以前发布,1室0厅,25.18平米,南北,其他,高楼层(共19层),2000年,塔楼,830000.0,32963
珠江新城 精装复式 租金划算 位置便利 近地铁,铂金公寓 ,珠江新城东,房本满五年,4,一年前发布,1室1厅,26.58平米,南,简装,低楼层(共3层),,塔楼,800000.0,30098
瑞心苑，格局方正，小户型，电梯中高层，采光好,瑞心苑 ,粤垦,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,1室0厅,29.82平米,东,精装,中楼层(共12层),2000年,塔楼,1750000.0,58686
格局方正一房，采光好，产权清晰，看房方便业主诚心出,阳光家园(天河) ,沙太南,VR看装修 房本满五年,2,一年前发布,1室0厅,28.86平米,南,其他,高楼层(共9层),2002年,塔楼,820000.0,28414
珠江新城东区两位数即可拥有，马上可以收租,力迅上筑 ,珠江新城东,近地铁 房本满五年,2,5个月以前发布,1室0厅,27.07平米,北,精装,低楼层(共6层),2005年,塔楼,900000.0,33248
地铁口 电梯平层南向 户型方正实用,天鹅花苑 ,长兴,近地铁 VR看装修 房本满五年,0,7个月以前发布,4室1厅,93.87平米,南,其他,高楼层(共9层),1993年,塔楼,3180000.0,33877
近地铁公园，东向安静舒适，配套齐全。,叠翠台 ,天河公园,房本满两年,4,6个月以前发布,1室1厅,29.41平米,东,精装,低楼层(共22层),,塔楼,680000.0,23122
满五年，采光充足，总JIA低，楼层好，交通便利,环宇花园 ,天河公园,VR房源 房本满五年,2,一年前发布,1室1厅,25.11平米,东东南南,简装,中楼层(共19层),2000年,塔楼,760000.0,30267
恒大珺睿 全新复式未住 家私家电齐全,恒大珺睿 ,珠江新城东,房本满五年,34,一年前发布,1室1厅,95.2平米,北,其他,低楼层(共20层),2017年,塔楼,5000000.0,52522
骏景花园 南向四房 望小区 精装修 有小露台,骏景花园 ,棠下,近地铁 VR看装修 房本满五年,15,7个月以前发布,4室2厅,109.23平米,西南,精装,低楼层(共11层),2000年,塔楼,5000000.0,45775
紧靠本部新装修 四房业主诚心卖东南四房,信成小区 ,体育中心,近地铁 VR看装修 房本满五年,5,一年前发布,4室2厅,102.22平米,东南南,精装,7层,1995年,塔楼,4880000.0,47741
3房改4房，通风采光好，安静，,宝翠园 ,龙洞,近地铁 VR看装修 房本满五年,1,一年前发布,4室2厅,96.38平米,南,精装,低楼层(共16层),2017年,塔楼,8200000.0,85080
大院管理     精装四房二厅  交通方便,龙岗路34号大院 ,沙河,近地铁 VR看装修 房本满五年,0,12,4室2厅,93.33平米,北西北,其他,低楼层(共8层),,塔楼,3680000.0,39430
云城米酷 产权清晰  即买即收租 满二可交易,万科云城米酷 ,智慧城,近地铁 房本满五年 随时看房,3,一年前发布,1室1厅,25.06平米,南,精装,高楼层(共17层),2017年,塔楼,520000.0,20751
龙口安静实用精装电梯4房，通风采光好,卫生院宿舍 ,龙口西,近地铁 VR看装修 房本满五年 随时看房,0,7个月以前发布,4室2厅,94.24平米,西北,其他,中楼层(共9层),1997年,塔楼,4990000.0,52950
龙口xi花园小区近地铁精装修四房楼层好视野开阔,德荣小区 ,龙口西,VR看装修 房本满两年,1,3个月以前发布,4室1厅,95.33平米,西北,精装,高楼层(共18层),1997年,板塔结合,4990000.0,52345
环宇花园 南向一房 安静 视野开阔,环宇花园 ,天河公园,VR房源 房本满五年 随时看房,7,一年前发布,1室0厅,28.43平米,南,简装,高楼层(共19层),2000年,塔楼,1000000.0,35175
天河市区刚需上车盘，可以放户口，可出租,迎翠春庭 ,棠下,近地铁 VR看装修 房本满五年,1,一年前发布,1室0厅,28.64平米,南,其他,中楼层(共9层),2000年,塔楼,760000.0,26537
户型方正  视野开阔  独立产权,万科云城米酷 ,智慧城,近地铁 房本满两年 随时看房,2,6个月以前发布,1室1厅,26.07平米,北,精装,中楼层(共15层),2017年,塔楼,620000.0,23783
棠德花苑 望花园安静 采光通风很好 业主诚心放卖,棠德花苑 ,棠下,近地铁 VR房源 房本满两年,4,一年前发布,1室0厅,27.67平米,西,简装,高楼层(共9层),2000年,板塔结合,750000.0,27106
天河区市区地段云启大单间诚心出,富力万科云启 ,车陂,房本满五年,0,3个月以前发布,1室0厅,25.97平米,东,其他,中楼层(共5层),,板楼,580000.0,22334
天河北低总*，次房新装修，保养比较好,金碧翡翠华庭 ,天润路,近地铁 房本满五年 随时看房,1,6个月以前发布,1室1厅,26.42平米,南,精装,中楼层(共5层),,塔楼,900000.0,34066
棠德花苑 望花园安静 采光通风很好 业主诚心放卖,棠德花苑 ,棠下,近地铁 VR房源 房本满两年,4,一年前发布,1室0厅,27.67平米,西,简装,高楼层(共9层),2000年,板塔结合,750000.0,27106
万科云城米酷 1室1厅 北,万科云城米酷 ,智慧城,近地铁 房本满两年,0,8个月以前发布,1室1厅,25.3平米,北,其他,高楼层(共14层),,塔楼,680000.0,26878
地铁口 个人产权  27平 空间大实用,万科云城米酷 ,智慧城,近地铁 房本满五年,1,11个月以前发布,1室1厅,27.04平米,南,其他,中楼层(共15层),2017年,塔楼,600000.0,22190
天河区沙河双铁旁合适刚需客户上车装修好直接拎包入住,先烈东路 ,沙河,VR看装修 房本满五年,9,一年前发布,1室1厅,27.91平米,东,其他,高楼层(共9层),,塔楼,650000.0,23290
沙河顶地铁口工业大学四房一厅双阳台户型方正南北对流,广东工业大学沙河校区 ,沙河,近地铁 VR看装修 房本满五年,2,7个月以前发布,4室1厅,100.83平米,南,其他,高楼层(共6层),1985年,板楼,4000000.0,39671
地铁口独立产权，精装保养好配套齐全,万科云城米酷 ,智慧城,近地铁 房本满五年,0,一年前发布,1室1厅,26.07平米,北,精装,中楼层(共15层),2017年,塔楼,680000.0,26084
珠江新城东区两位数即可拥有，马上可以收租,力迅上筑 ,珠江新城东,近地铁 房本满五年,2,5个月以前发布,1室0厅,27.07平米,北,精装,低楼层(共6层),2005年,塔楼,900000.0,33248
瑞心苑，格局方正，小户型，电梯中高层，采光好,瑞心苑 ,粤垦,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,1室0厅,29.82平米,东,精装,中楼层(共12层),2000年,塔楼,1750000.0,58686
满五年，采光充足，总JIA低，楼层好，交通便利,环宇花园 ,天河公园,VR房源 房本满五年,2,一年前发布,1室1厅,25.11平米,东东南南,简装,中楼层(共19层),2000年,塔楼,760000.0,30267
地铁口 电梯平层南向 户型方正实用,天鹅花苑 ,长兴,近地铁 VR看装修 房本满五年,0,7个月以前发布,4室1厅,93.87平米,南,其他,高楼层(共9层),1993年,塔楼,3180000.0,33877
3房改4房，通风采光好，安静，,宝翠园 ,龙洞,近地铁 VR看装修 房本满五年,1,一年前发布,4室2厅,96.38平米,南,精装,低楼层(共16层),2017年,塔楼,8200000.0,85080
天河北后花园，低密度小高层洋房，首付低，上车盘,冠庭园 ,沙河,VR看装修 房本满两年,1,2个月以前发布,1室0厅,29.51平米,东北,简装,高楼层(共6层),2001年,塔楼,880000.0,29821
云城米酷 产权清晰  即买即收租 满二可交易,万科云城米酷 ,智慧城,近地铁 房本满五年 随时看房,3,一年前发布,1室1厅,25.06平米,南,精装,高楼层(共17层),2017年,塔楼,520000.0,20751
大院管理     精装四房二厅  交通方便,龙岗路34号大院 ,沙河,近地铁 VR看装修 房本满五年,0,12,4室2厅,93.33平米,北西北,其他,低楼层(共8层),,塔楼,3680000.0,39430
朝南  视野开阔  业主诚心卖  有红本,联泰天河YOHO ,智慧城,近地铁 房本满两年,2,一年前发布,1室1厅,25.06平米,南,其他,高楼层(共8层),,塔楼,800000.0,31924
电梯高层南向 带阳台 望珠江新城广州塔,环宇花园 ,天河公园,VR房源 房本满两年,12,一年前发布,1室1厅,29.37平米,南,精装,高楼层(共19层),2000年,塔楼,990000.0,33708
11号线地铁口旁 燕岭公园环境好 东南向,瘦狗岭路9号大院 ,粤垦,VR房源 房本满两年,3,1个月以前发布,1室1厅,28.99平米,东南,其他,高楼层(共9层),1999年,暂无数据,750000.0,25871
华景新城 天河公园旁 加拿大花园 刚需上车盘,加拿大花园 ,华景新城,房本满五年,2,一年前发布,1室1厅,26.08平米,西,其他,中楼层(共7层),1995年,塔楼,700000.0,26841
公路局大院电梯一房 满五不唯一 大院管理 方正实用,公路局大院 ,沙河,近地铁 VR看装修 房本满五年 随时看房,0,一年前发布,1室1厅,27.06平米,南,精装,低楼层(共9层),1990年,塔楼,1150000.0,42499
天河区永福正街  户型方正   标准一房一厅,水荫路永福正街 ,水荫,近地铁 VR看装修 房本满五年 随时看房,53,一年前发布,1室1厅,36.96平米,南北,简装,中楼层(共9层),,塔楼,600000.0,16234
远洋天骄广场 1室1厅 南,远洋天骄广场 ,天河客运站,近地铁 房本满两年 随时看房,0,一年前发布,1室1厅,57.27平米,南,其他,15层,2018年,塔楼,870000.0,15192
天河客运站地铁 精装一房 次新小区 LOFO风格,远洋天骄广场 ,天河客运站,近地铁 房本满两年,4,一年前发布,1室1厅,46.74平米,西北,精装,15层,,塔楼,950000.0,20326
：龙岗路  实用一房一厅 近沙河顶地铁口 小户型,龙岗路 ,沙河,近地铁 VR看装修 房本满五年,2,一年前发布,1室1厅,37.58平米,西北,简装,高楼层(共9层),1999年,塔楼,950000.0,25280
刚需上车天河四海小 框架结构公积金贷无压力,陶苑小区 ,沙太南,近地铁 VR房源 房本满五年,3,5个月以前发布,1室1厅,34.13平米,南,其他,高楼层(共9层),1993年,塔楼,750000.0,21975
此房交通便利，楼下即是地铁站，公交车站，出行方便。,天河新天地 ,天河客运站,近地铁 房本满五年,2,一年前发布,1室1厅,39.13平米,南,简装,中楼层(共15层),2014年,塔楼,980000.0,25045
楼下即是地铁站 公交车站 出行方便 楼龄新 装..,天河新天地 ,天河客运站,房本满五年,3,一年前发布,1室0厅,36.31平米,西南,其他,中楼层(共15层),2014年,塔楼,900000.0,24787
总监强烈推荐 远洋优质好房 房型端正采光好,远洋天骄广场 ,天河客运站,近地铁 房本满两年,0,一年前发布,1室1厅,47.79平米,南,精装,15层,2017年,塔楼,960000.0,20088
此房满五年，业主装修保养较好 通风采光好 可随时约看,民政局大院 ,水荫,近地铁 VR看装修 房本满两年 随时看房,2,1个月以前发布,1室0厅,23.97平米,南,简装,中楼层(共9层),,塔楼,680000.0,28369
天河新天地 1室0厅 西南,天河新天地 ,天河客运站,,2,6个月以前发布,1室0厅,36.21平米,西南,其他,高楼层(共15层),2014年,塔楼,900000.0,24856
店长强烈推荐 嫁格可谈 看房方便 等有缘人,远洋天骄广场 ,天河客运站,近地铁 房本满两年,4,一年前发布,1室1厅,46平米,东,精装,15层,,塔楼,700000.0,15218
天河客运站地铁口上盖 精装单间,天河新天地 ,天河客运站,近地铁 房本满五年,28,一年前发布,1室1厅,38.15平米,东,精装,中楼层(共15层),2014年,塔楼,900000.0,23592
天河远洋天骄广场 业主有心卖 保养好 等待有缘人,远洋天骄广场 ,天河客运站,近地铁 房本满两年,4,一年前发布,1室1厅,46.43平米,西,其他,15层,,塔楼,820000.0,17661
天河新天地 1室0厅 西南,天河新天地 ,天河客运站,,2,6个月以前发布,1室0厅,36.21平米,西南,其他,高楼层(共15层),2014年,塔楼,900000.0,24856
店长强烈推荐 嫁格可谈 看房方便 等有缘人,远洋天骄广场 ,天河客运站,近地铁 房本满两年,4,一年前发布,1室1厅,46平米,东,精装,15层,,塔楼,700000.0,15218
地铁口 动物园宿舍 小院子实用一房一厅 通风采光好,水荫路永福正街 ,水荫,近地铁 VR房源 房本满五年 随时看房,6,一年前发布,1室1厅,41.61平米,南,简装,高楼层(共6层),,塔楼,928000.0,22303
近天河北双地铁 满五年唯一 商品房 框架可以公积金,沙和路沙东大街 ,沙河,近地铁 VR看装修 房本满五年 随时看房,11,一年前发布,1室1厅,40.72平米,南,简装,中楼层(共6层),,塔楼,730000.0,17928
天河新天地精装一房 配套完善 诚意出手,天河新天地 ,天河客运站,近地铁 房本满五年,0,7个月以前发布,1室0厅,38.28平米,南,精装,中楼层(共15层),2014年,塔楼,900000.0,23511
天河区，杂技团，小区管理，安静，居家舒适。,杂技团宿舍 ,水荫,近地铁 VR房源 房本满五年,1,9个月以前发布,1室1厅,32.86平米,北,简装,低楼层(共4层),1986年,板楼,990000.0,30128
天河区 广州大道旁 龙岗东小区 近地铁两房 小区管理,龙岗东小区 ,沙河,近地铁 VR房源 房本满五年 随时看房,11,一年前发布,1室1厅,48.4平米,南,简装,中楼层(共8层),,塔楼,990000.0,20455
远洋天骄 南向单位 匠心装修 电梯中高楼层 采光通风好,远洋天骄广场 ,天河客运站,近地铁 房本满两年,5,一年前发布,1室1厅,46.74平米,南,精装,15层,,塔楼,950000.0,20326
天河新天地 复式一房 高层 采光好,天河新天地 ,天河客运站,近地铁 房本满五年,6,一年前发布,1室1厅,38.63平米,东南,其他,高楼层(共15层),2014年,塔楼,1000000.0,25887
满五唯一，省税。业主诚心出....,侨源山庄 ,粤垦,近地铁 VR看装修 房本满五年,1,7个月以前发布,4室2厅,148.86平米,东南,简装,低楼层(共23层),1998年,塔楼,5000000.0,33589
天河新天地地铁口靓房精装修交通方便,天河新天地 ,天河客运站,近地铁 房本满五年,2,一年前发布,1室0厅,42.43平米,西,其他,高楼层(共15层),2014年,塔楼,950000.0,22390
近地铁 远洋天骄广场 东南向一房 采光好 装修养护好,远洋天骄广场 ,天河客运站,近地铁 房本满两年,3,一年前发布,1室1厅,46.74平米,南,精装,15层,,塔楼,900000.0,19256
