位置,次数,经度,纬度
侨诚花园 ,5,113.291794,23.068968
南华东路 ,5,113.268516,23.110767
沙园 ,5,113.265104,23.085737
大江苑夏沙巷 ,5,113.310533,23.100101
滨江西路 ,5,113.248006,23.10346
晓港西马路 ,5,113.282939,23.091437
同福中路 ,5,113.260544,23.105181
海印南苑 ,4,113.286532,23.100538
海悦大厦 ,4,113.261137,23.107032
海外花园 ,4,113.275097,23.08682
雅景苑 ,4,113.308868,23.100253
侨诚花园宝通街 ,4,113.289786,23.070611
同福东路 ,4,113.266344,23.106807
工业大道北 ,4,113.256088,23.094763
建基路 ,3,113.286824,23.099829
昌岗中路 ,3,113.269933,23.086098
电子七所大院 ,3,,
珠江广场 ,3,113.309646,23.103324
南华西路 ,3,113.256739,23.105767
雅致花园 ,3,113.274378,23.074177
富基广场B区 ,3,113.270057,23.106971
晓燕湾 ,3,113.27793,23.079302
福雅居 ,3,113.253245,23.102165
滨江1933 ,3,113.262716,23.108972
南村路 ,3,113.267512,23.10465
素社新村 ,3,113.280521,23.103698
富力千禧花园 ,3,113.287312,23.095686
金雅苑 ,3,113.293409,23.102931
泰沙路 ,3,113.28558,23.083133
金汇花园 ,3,,
乐居苑 ,3,113.260766,23.095813
南丽苑 ,3,113.323166,23.097834
南田路 ,3,113.264394,23.098954
瑞康大厦 ,3,113.296902,23.087234
凤凰新村 ,3,113.253976,23.091885
宏宇广场 ,3,113.263052,23.1011
保利花园 ,3,113.273873,23.070692
润汇大厦 ,3,113.269841,23.094692
海意名苑 ,3,113.269805,23.101554
嘉鸿花园 ,3,113.291424,23.066229
双子星城 ,3,113.299297,23.088973
梅园阁 ,2,113.255286,23.094286
凤阳小区 ,2,113.286724,23.083052
浪琴居 ,2,113.307348,23.102145
保利百合花园二期 ,2,113.277292,23.073414
嘉丽苑 ,2,113.270212,23.098331
江燕花园 ,2,113.278325,23.079332
怡乐路13号大院 ,2,113.291843,23.102915
新城国际 ,2,,
聚宝阁 ,2,,
金融街融御 ,2,113.27666,23.06438
凤安花园 ,2,113.252661,23.097093
雅郡花园 ,2,113.386718,23.091938
海韵轩 ,2,113.251323,23.094086
滨江瑞城 ,2,113.295994,23.06848
南洲名苑 ,2,113.295838,23.066393
江南美景花园 ,2,113.292907,23.09102
金影花园 ,2,113.32138,23.092369
梅园南路 ,2,113.257687,23.092593
小港路 ,2,113.270263,23.108914
邦泰公馆 ,2,113.339343,23.099067
金丰花园 ,2,113.328088,23.087096
同庆路 ,2,113.264844,23.109533
丽景花苑 ,2,113.338815,23.097893
天汇大厦 ,2,113.275625,23.097241
宝岗大道 ,2,113.266861,23.0935
富泽园 ,2,113.252988,23.092012
海富花园 ,2,113.277736,23.083776
广东教育学院 ,2,113.317264,23.100727
新港西路99号大院 ,2,113.292528,23.092418
南北广场 ,2,113.262176,23.10093
南景园 ,2,113.276031,23.079586
英豪花园 ,2,113.299131,23.068403
嘉仕花园东区 ,2,113.295046,23.10176
东翠花园 ,2,113.289885,23.101793
中旅侨苑 ,2,113.272585,23.088399
怡乐路 ,2,113.290385,23.09751
珠江帝景苑 ,2,113.330384,23.102132
光大花园水岸榕城 ,2,113.260308,23.085585
自由心岸 ,2,113.284722,23.105225
穗花新村 ,2,113.275968,23.096273
光大花园 ,2,113.257471,23.085674
保利百合花园 ,2,113.277292,23.073414
怡安花园 ,2,113.274351,23.108346
建基路电信大厦 ,2,113.286824,23.099829
润南花园 ,2,113.282177,23.084164
金满楼(海珠区) ,2,,
怡雅苑(海珠) ,1,113.263777,23.109847
广东轻工学院宿舍 ,1,,
海天花苑 ,1,113.314068,23.101741
光大花园中海锦榕湾 ,1,113.258819,23.084844
荔福花园 ,1,113.261138,23.092063
珠光高派华庭 ,1,113.30483,23.102211
纵横公寓 ,1,113.330616,23.095816
合生颐景华苑 ,1,113.295556,23.070358
怡雅居 ,1,113.330311,23.088772
经典居 ,1,113.314853,23.101126
中信乐涛苑 ,1,113.308542,23.099176
金星花园 ,1,113.33742,23.0882
港务局宿舍 ,1,113.249822,23.099008
鸣翠花园 ,1,113.285506,23.06741
翠馨华庭 ,1,113.315192,23.084334
叠彩园 ,1,113.310744,23.086129
远洋宿舍（晓港） ,1,113.440012,23.098965
广纸小区 ,1,,
花城湾畔 ,1,113.277248,23.111618
荔福小区 ,1,113.261182,23.090892
朗晴居二期 ,1,113.273065,23.109872
富力顺意花园 ,1,113.274224,23.076046
坚真花园 ,1,113.326916,23.081699
杏坛小区 ,1,113.268366,23.098155
沙园路(海珠) ,1,,
会展西岸 ,1,113.33647,23.099224
江南新苑 ,1,113.286969,23.091923
锦丽居 ,1,113.290898,23.071849
橡胶新村102号大院 ,1,113.254054,23.064414
东晓大厦 ,1,113.285724,23.097178
南翠苑 ,1,113.282696,23.094796
南方花园 ,1,113.2755,23.088351
电器研究所 ,1,113.309498,23.094253
康怡花苑 ,1,,
可逸家园 ,1,113.269544,23.092013
荔海鸣蝉花园 ,1,113.329461,23.081715
雅居乐海珠小雅 ,1,113.275585,23.067156
聚德花苑 ,1,113.327932,23.084867
军休五所家属院 ,1,,
赤岗三街2至28号小区 ,1,113.327821,23.089782
海珠半岛花园 ,1,113.29376,23.103927
礼岗路 ,1,113.276002,23.086912
敦和花园 ,1,113.314177,23.091181
粤信广场阳光公寓 ,1,113.331875,23.09406
顺景雅苑 ,1,113.293313,23.0893
富景花园 ,1,113.289665,23.091998
缝纫机厂宿舍 ,1,,
海琴湾宜利苑 ,1,113.307044,23.102862
丽海雅居 ,1,113.281968,23.108811
梅园西路 ,1,113.254804,23.093999
光大花园榕城尚品公寓 ,1,113.255516,23.083875
赤岗路 ,1,113.327437,23.090585
悦龙阁 ,1,113.285411,23.103228
海景阁 ,1,113.290083,23.103582
仲恺路 ,1,113.280398,23.104948
奇星药厂宿舍 ,1,113.327015,23.098833
新港中路 ,1,113.324945,23.096188
富力金禧花园 ,1,113.26069,23.106089
江南嘉居 ,1,113.370649,22.992466
丰盈居 ,1,113.314012,23.102847
碧海大厦 ,1,,
革新路 ,1,113.253928,23.09132
燕子岗路 ,1,113.279095,23.077318
南边路(海珠区) ,1,,
星御翠园 ,1,113.29983,23.08069
逸翠居 ,1,113.280172,23.079813
工业大道中福南新街 ,1,113.367901,22.92981
同乐大厦 ,1,113.263923,23.1062
石岗路34号大院 ,1,113.276196,23.069304
翠怡小区 ,1,113.280316,23.083818
细岗路 ,1,113.280743,23.091535
晓园新村晓园新 ,1,113.281966,23.086998
赤岗二街1号大院 ,1,113.328308,23.090725
晓园新村晓园东 ,1,113.281547,23.088646
南华花园 ,1,113.289042,23.086726
汇龙居 ,1,113.330314,23.089739
昌盛小区 ,1,113.259961,23.095469
怡龙大厦 ,1,113.259737,23.102098
米兰苑 ,1,113.316839,23.103288
海珠花园窝趣公寓 ,1,113.301808,23.068074
晓港东三马路 ,1,113.288557,23.089858
橡胶新村远洋宿舍 ,1,113.254054,23.064414
广船宿舍 ,1,,
新港西路 ,1,113.300125,23.091618
蓝色快线 ,1,113.270786,23.106218
滨江中路 ,1,113.279943,23.109802
豪丰园 ,1,113.262949,23.10816
南村水产大院 ,1,113.45074,23.094564
自由人花园 ,22,113.222395,23.344972
天马丽苑二期 ,19,113.185073,23.368747
雪域澜庭A1区 ,16,113.229405,23.432372
班芙小镇 ,16,113.223316,23.479119
时代城 ,12,113.543415,23.111907
富力金港城东区 ,12,113.361344,23.458405
花城路 ,10,113.212915,23.38156
绿地空港国际中心 ,9,113.262877,23.369141
祈福天龙苑 ,9,113.194928,23.371177
雅居乐锦城花漾集 ,9,113.190728,23.416799
豪利花园 ,9,113.249223,23.359871
雅居乐花城雅郡 ,8,113.191888,23.360074
名门国际 ,8,,
祈福万景峰 ,8,113.198767,23.370354
建设北路 ,8,113.205262,23.398743
保利城 ,7,113.164353,23.375358
云峰学府花园 ,7,113.174295,23.427156
云峰花园 ,7,113.245625,23.37843
越秀臻悦府 ,7,113.240445,23.37734
富丽花园 ,6,113.193199,23.381257
学府南苑 ,6,113.178557,23.422532
峰境园 ,6,,
保利悦廷 ,6,113.181596,23.376513
金联市场 ,6,113.223198,23.381802
凯旋国际 ,5,113.236731,23.407927
中建·映花悦府 ,5,113.189477,23.360303
雪域澜庭A2区 ,5,113.226253,23.430546
福宁路 ,5,113.338822,22.965938
花都颐和山庄 ,5,113.273891,23.5129
东方文德森岛湖 ,4,113.192317,23.430442
颐和盛世 ,4,113.076489,23.237277
致岭假日花园 ,4,113.187304,23.444569
万科天景花园 ,4,113.182416,23.37338
宝铼雅居 ,4,113.164334,23.395909
荔园悦享花醍 ,4,,
绿地新里缇香公馆 ,4,113.206213,23.407753
中新花园 ,4,113.193566,23.374294
祈福辉煌台 ,4,113.192905,23.37523
豪利幸福里 ,4,113.192611,23.443123
富力金港城南区 ,4,113.356941,23.457068
广州融创文旅城B1区 ,4,113.267121,23.1228
富庄庭 ,3,113.227175,23.387046
风神花园 ,3,113.15542,23.380076
祈福生活无限 ,3,113.236407,23.38633
雅居乐雍华廷二期 ,3,113.234689,23.398862
碧泰豪苑 ,3,113.209199,23.410879
岭南公馆 ,3,,
豪骏名苑 ,3,113.197232,23.380935
智烨山水豪庭 ,3,113.190319,23.439547
湖畔花园 ,3,113.220956,23.372619
雅居乐·岭会 ,3,113.228921,23.469193
南航碧花园D区 ,3,113.191315,23.483842
雅居乐万科热橙 ,3,113.277932,23.441501
芷兰苑 ,3,113.208298,23.397082
金花园小区 ,3,113.206179,23.390306
勤天安合商务大厦 ,3,113.246221,23.383363
万虹花园 ,3,113.18484,23.468353
碧桂园星港国际 ,3,113.248224,23.387387
家和逸品苑 ,3,113.208625,23.402028
粮食局小区 ,3,113.207489,23.372188
商业大道 ,3,113.238964,23.389974
青云楼 ,3,113.212874,23.383184
新中路 ,3,113.211267,23.368898
嘉汇城一期 ,3,113.231546,23.334435
双赢如家公寓 ,3,113.195071,23.379202
逸泉韵翠花园 ,3,,
华南苑 ,2,113.212087,23.3701
文苑小区 ,2,113.351948,23.301414
骏威锦东花园C区 ,2,113.228187,23.408925
东晖名苑 ,2,113.216117,23.404396
美力花园 ,2,,
公园前9号小区 ,2,113.265467,23.128343
花城苑 ,2,113.296633,23.109146
雅居乐雍逸豪庭 ,2,113.379503,23.010132
华景雅苑德维轩 ,2,113.190919,23.412476
华侨花园 ,2,113.218645,23.39312
工会大厦 ,2,113.276819,23.118065
松园大厦(花都区) ,2,,
东骏花园 ,2,113.214369,23.402117
天马河壹号 ,2,113.183617,23.377081
中房观湖国际 ,2,113.223384,23.372578
小城之春雅居 ,2,113.360185,23.136551
云珠花园 ,2,113.229802,23.398225
福虹阳光美地 ,2,113.203556,23.398364
新鸿基御华园 ,2,113.192474,23.447142
紫薇丽都 ,2,113.231154,23.403821
建设路(花都区) ,2,,
芙蓉春晓 ,2,113.230571,23.470628
万科兰乔圣菲 ,2,113.238524,23.501007
雅居乐汇通广场 ,2,113.189451,23.422386
广州融创文旅城商务公寓 ,2,113.285092,23.097962
新华路 ,2,,
云山大道 ,2,113.215197,23.384741
桐悦花园 ,2,,
花城美汇 ,2,113.215513,23.376183
花城悦翠园 ,2,113.273184,23.441489
中建天骄 ,2,113.265106,23.165964
桃源盛世名苑 ,2,113.212327,23.424056
花都站前路 ,2,113.203834,23.38205
裕兴新村 ,2,113.200138,23.394124
公园前路 ,2,113.211446,23.380167
富雅西苑小区 ,2,113.191925,23.412636
天贵雅苑D区 ,2,113.224219,23.429766
金河湾花园一期 ,2,113.22547,23.384576
美雅苑 ,2,113.220577,23.394094
美林轩逸时光 ,2,113.308334,23.097684
合和新城 ,2,113.255899,23.371045
俊怡御景花园 ,2,113.209788,23.418374
雅居乐雍华廷一期 ,2,113.234689,23.398862
凤凰御景 ,2,113.235392,23.405818
天马河壹号一期 ,2,113.184208,23.373348
五洲花园 ,2,113.224256,23.383004
雅宝新城 ,2,113.184596,23.430638
顺景楼(花城路) ,2,113.213943,23.380381
来福花园 ,1,113.22606,23.382455
银雅华庭 ,1,113.207503,23.395174
凤华路13号 ,1,113.206341,23.39079
新花苑小区 ,1,113.216397,23.379681
红珠路 ,1,113.357062,23.358139
益登华庭 ,1,113.176381,23.457863
深航御花园 ,1,113.28082,23.084672
新都园 ,1,113.204712,23.396858
钻石豪庭 ,1,113.226587,23.404657
融创雪域华庭 ,1,,
荣威楼 ,1,113.208053,23.390249
豪逸名苑 ,1,113.193113,23.378333
天贵雅苑A区 ,1,113.224624,23.431671
在水一方 ,1,113.239026,23.150806
卓粤卓雅名苑 ,1,113.211182,23.423729
永大新城 ,1,113.214935,23.395637
尚品雅居山语 ,1,113.300382,23.336792
越秀臻裕府 ,1,,
嘉都汇 ,1,113.263427,23.375407
祈福聚龙堡 ,1,113.272706,23.43765
狮峰公馆 ,1,113.183545,23.377596
逸贤苑 ,1,113.201675,23.401769
秀全大道 ,1,113.212734,23.379591
融创天玥 ,1,113.224877,23.423152
金地商置峯华 ,1,,
金碧御水山庄 ,1,113.204089,23.488477
勤天一品树院 ,1,113.225579,23.492726
嘉华世家 ,1,113.182264,23.456294
永星景苑 ,1,113.184234,23.378919
凤华路 ,1,113.205546,23.390301
秀全苑 ,1,113.215643,23.401949
怡翠苑 ,1,113.199004,23.400275
新晖朗悦居 ,1,113.233204,23.386138
骏辉雅苑 ,1,113.212496,23.418664
嘉爵园 ,1,113.210288,23.419551
清狮花园 ,1,113.154202,23.460486
凯旋大厦 ,1,113.20729,23.374008
富都楼 ,1,,
好美嘉园 ,1,113.1116,23.332089
嘉华广场 ,1,113.32738,23.175469
友田大厦 ,1,113.172516,23.455939
炭步楼 ,1,113.203688,23.394166
馨泉花园 ,1,113.259734,23.403989
广晟中铁建花语天珹 ,1,,
阳光城兰园翡丽湾 ,1,,
粤富花园 ,1,113.221796,23.382453
新景豪苑 ,1,113.20063,23.400818
倚湖居 ,1,113.190826,23.441099
海怡阁 ,1,,
日昌豪苑 ,1,113.226989,23.384609
路劲隽悦豪庭一期 ,1,113.193801,23.417713
百业广场 ,1,113.217194,23.400389
金都花园 ,1,113.193576,23.38013
荣华楼 ,1,113.250163,23.122036
永福大厦 ,1,113.202255,23.389016
侨苑小区(花都区) ,1,113.318697,23.139874
马鞍山一号 ,1,113.233304,23.390968
远洋芙蓉墅 ,1,113.218688,23.494735
怡康花园(花都) ,1,,
京仕广场 ,1,113.258277,23.375398
广州融创文旅城B3区 ,1,113.267405,23.122556
时代云港 ,1,113.235989,23.344435
凯旋门 ,1,113.226248,23.41202
大城云山 ,99,113.49141,23.452709
竹丝岗大马路 ,24,113.293613,23.128062
华标荔苑 ,16,113.490846,23.450043
智汇国际 ,8,113.491774,23.446334
时代印象 ,7,113.494597,23.454192
农林下路 ,6,113.297696,23.12938
梅花村 ,6,113.305896,23.127078
万科金色家园 ,5,113.298975,23.130646
城西花园 ,5,113.209683,23.157618
荔林春晓 ,5,113.493357,23.446398
东华东路 ,5,113.290819,23.121187
锦绣新天地 ,4,113.622938,23.118887
上雅君庭 ,4,113.492583,23.44666
天马丽苑二期 ,4,113.185073,23.368747
纺织路(海珠) ,4,113.263777,23.109847
聚龙花园 ,4,113.253359,23.101226
竹丝岗二马路39号大院 ,3,113.295855,23.128886
东川路 ,3,113.286208,23.12292
中海誉城北苑 ,3,113.526306,23.163667
越秀岭南山畔 ,3,113.272118,23.124571
富力金港城东区 ,3,113.361344,23.458405
海外花园 ,3,113.275097,23.08682
环市东路 ,3,113.293214,23.135139
福今北 ,3,,
万福路 ,3,113.274078,23.120143
富力环市西苑 ,3,113.239334,23.14163
保利百合花园二期 ,2,113.277292,23.073414
庄士映蝶蓝湾 ,2,113.496982,22.965946
豪骏名苑 ,2,113.197232,23.380935
珠光山水御苑 ,2,113.622712,23.589035
华侨城(番禺) ,2,,
梅园阁 ,2,113.255286,23.094286
东风东路754号之一大院 ,2,113.300452,23.130713
文德路 ,2,113.271786,23.122986
大德路 ,2,113.259438,23.118095
中山二路 ,2,113.290929,23.125031
竹丝岗二马路 ,2,113.296188,23.128508
泰沙路 ,2,113.28558,23.083133
御金沙 ,2,113.204835,23.166689
东湖铭泰公馆 ,2,113.288828,23.118271
江南西路 ,2,113.271099,23.094876
岐山中路 ,2,113.439148,22.956634
华润置地·瑞府 ,2,113.430422,23.142431
东方花园3区 ,2,113.379067,22.930968
嘉丽苑 ,2,113.270212,23.098331
力迅商务大厦 ,2,113.342135,23.115433
福景园 ,2,,
招商雍景湾北区 ,2,,
珠江铂世湾 ,2,113.364644,23.023344
雅居乐雍华廷二期 ,2,113.234689,23.398862
建设二马路 ,2,113.282206,23.135296
锦绣花园南区 ,2,113.310483,22.969417
珠江嘉园 ,2,113.557093,23.197305
顺欣花园 ,2,113.617465,23.146235
锦绣半岛西区 ,2,113.257631,23.041574
祈福新村天湖居 ,2,113.341657,22.95958
百合苑B区 ,2,113.371261,23.117419
鸿图苑 ,2,113.225959,23.084721
倚莲半岛花园 ,2,113.491517,22.996887
小北路 ,2,113.271763,23.134039
电子五所宿舍 ,2,113.681723,23.275091
天成居 ,2,113.390512,23.11506
